date,open,high,low,close,volume,marketcap,average
20180110,0.159425,0.174887,0.146192,0.168423,519129,59784500,0.16
20180109,0.137741,0.167720,0.136123,0.158659,535778,51652900,0.15
20180108,0.152445,0.160674,0.118827,0.137655,433773,57166800,0.14
20180107,0.155487,0.169036,0.147126,0.152129,468573,58307500,0.16
20180106,0.124279,0.186485,0.120357,0.155551,1804240,46604800,0.15
20180105,0.102911,0.125136,0.098712,0.121990,389356,38591400,0.11
20180104,0.101730,0.106867,0.090788,0.102585,461898,38148900,0.10
20180103,0.091903,0.113050,0.087167,0.101472,418022,34463700,0.10
20180102,0.097295,0.113188,0.087187,0.096100,574644,36485800,0.10
20180101,0.086844,0.097342,0.082733,0.097306,211964,32566600,0.09
20171231,0.088427,0.093068,0.081751,0.086646,261508,33160200,0.09
20171230,0.105112,0.105438,0.075827,0.088927,542242,39417000,0.09
20171229,0.086282,0.107978,0.080787,0.105971,450864,32355700,0.09
20171228,0.081373,0.086823,0.069098,0.086823,293116,30514900,0.08
20171227,0.097891,0.101050,0.070121,0.081643,526387,36709300,0.09
20171226,0.089142,0.098816,0.074772,0.095399,537809,33428400,0.09
20171225,0.088781,0.098865,0.084480,0.088544,501363,33292700,0.09
20171224,0.104516,0.105257,0.078966,0.088631,504156,39193500,0.09
20171223,0.092573,0.132067,0.088875,0.103610,714785,34715000,0.11
20171222,0.127894,0.129452,0.068103,0.093628,873253,47960400,0.10
20171221,0.146348,0.173479,0.119189,0.130294,1327170,54880400,0.15
20171220,0.197885,0.204296,0.131291,0.147355,1327620,74206900,0.17
20171219,0.172686,0.234789,0.171362,0.198108,1449410,64757100,0.20
20171218,0.153448,0.173219,0.140898,0.173219,928172,57542900,0.16
20171217,0.149363,0.166189,0.126427,0.153639,1132640,56011100,0.15
20171216,0.094991,0.150038,0.094282,0.150038,1684160,35621500,0.12
20171215,0.095190,0.102083,0.077020,0.094780,1178550,35696300,0.09
20171214,0.087030,0.098123,0.084652,0.094587,712753,32636400,0.09
20171213,0.074749,0.088987,0.067933,0.087281,1000620,28030900,0.08
20171212,0.058505,0.080406,0.052757,0.073933,830016,21939200,0.07
20171211,0.047155,0.058714,0.046392,0.057829,451743,17683300,0.05
20171210,0.054572,0.054572,0.041224,0.047540,246698,20464500,0.05
20171209,0.055346,0.061367,0.047577,0.054522,351483,20754700,0.05
20171208,0.052955,0.057485,0.046144,0.055012,384704,19858100,0.05
20171207,0.052450,0.057819,0.044512,0.052845,535416,19668700,0.05
20171206,0.052699,0.054636,0.045617,0.052867,515182,19762200,0.05
20171205,0.069254,0.069254,0.043788,0.052940,1044750,25970400,0.06
20171204,0.064028,0.071116,0.047466,0.069477,1449470,24010400,0.06
20171203,0.051305,0.065561,0.049874,0.063485,649954,19239600,0.06
20171202,0.046240,0.054599,0.045577,0.052277,441335,17340100,0.05
20171201,0.036186,0.046234,0.034845,0.046126,384448,13569800,0.04
20171130,0.035787,0.038826,0.029902,0.035951,290017,13420100,0.03
20171129,0.035912,0.039374,0.029413,0.034793,283579,13466900,0.03
20171128,0.037487,0.038045,0.034867,0.035988,208760,14057500,0.04
20171127,0.033468,0.037352,0.031567,0.036881,179629,12550400,0.03
20171126,0.029306,0.035042,0.028755,0.033653,150339,10989700,0.03
20171125,0.036057,0.037713,0.026921,0.029443,253715,13521400,0.03
20171124,0.027999,0.036258,0.023280,0.036258,311636,10499600,0.03
20171123,0.022271,0.031015,0.021209,0.028095,200804,8351710,0.03
20171122,0.020950,0.022364,0.020789,0.022256,73623,7856330,0.02
20171121,0.022265,0.023206,0.020441,0.020903,123371,8349520,0.02
20171120,0.021548,0.023050,0.020282,0.022086,103435,8080620,0.02
20171119,0.020844,0.024225,0.017511,0.021678,158278,7816680,0.02
20171118,0.021020,0.021431,0.020400,0.020889,41754,7882630,0.02
20171117,0.021432,0.023567,0.020574,0.021090,74540,8036990,0.02
20171116,0.021334,0.022238,0.019634,0.021463,82535,8000320,0.02
20171115,0.019683,0.022264,0.019275,0.021215,85286,7381080,0.02
20171114,0.021306,0.022171,0.019347,0.019670,80768,7989550,0.02
20171113,0.017942,0.022038,0.016469,0.021274,99200,6728140,0.02
20171112,0.020375,0.020375,0.015635,0.017913,65726,7640630,0.02
20171111,0.020770,0.022663,0.019922,0.019988,90062,7788750,0.02
20171110,0.023829,0.025056,0.020510,0.020840,80901,8935780,0.02
20171109,0.027148,0.028682,0.022487,0.022956,208298,10180500,0.03
20171108,0.022111,0.027979,0.021371,0.027197,172937,8291650,0.02
20171107,0.020974,0.022737,0.019392,0.021788,111718,7865160,0.02
20171106,0.022471,0.024082,0.020824,0.020986,34963,8426440,0.02
20171105,0.024821,0.025486,0.021437,0.022147,52414,9307890,0.02
20171104,0.024885,0.025941,0.023469,0.024846,28457,9331890,0.02
20171103,0.023730,0.026952,0.022398,0.024884,103093,8898820,0.02
20171102,0.022965,0.025582,0.021399,0.023723,94055,8611950,0.02
20171101,0.025253,0.025966,0.021599,0.022929,123229,9469970,0.02
