date,open,high,low,close,volume,marketcap,average
20180110,0.533063,0.534239,0.423769,0.457450,5619,,0.48
20180109,0.426947,0.609359,0.422772,0.532365,7623,,0.52
20180108,0.403867,0.672555,0.283856,0.428114,12608,,0.48
20180107,0.206430,0.485033,0.165455,0.402802,16841,,0.33
20180106,0.188522,0.191498,0.151679,0.191261,591,,0.17
20180105,0.179897,0.190989,0.135339,0.188372,1846,,0.16
20180104,0.197436,0.200767,0.131923,0.179861,1550,,0.17
20180103,0.192716,0.200695,0.154844,0.196360,681,,0.18
20180102,0.175248,0.197452,0.163713,0.193403,482,,0.18
20180101,0.182456,0.182456,0.104713,0.175262,1336,,0.14
20171231,0.138842,0.182869,0.114095,0.180778,1732,,0.15
20171230,0.135970,0.152473,0.125551,0.140358,332,,0.14
20171229,0.112847,0.137946,0.111535,0.136313,421,,0.12
20171228,0.120869,0.135207,0.107560,0.111691,1890,,0.12
20171227,0.145225,0.150242,0.099826,0.121123,599,,0.13
20171226,0.130381,0.147843,0.114739,0.145120,101,,0.13
20171225,0.132417,0.136271,0.124705,0.130515,20,,0.13
20171224,0.116851,0.131056,0.097097,0.131056,41,,0.11
20171223,0.121211,0.134363,0.115049,0.115575,50,,0.12
20171222,0.138118,0.139478,0.084814,0.120077,51,,0.11
20171221,0.154448,0.175856,0.133747,0.137640,260,,0.15
20171220,0.169316,0.227223,0.141577,0.154045,1781,,0.18
20171219,0.219844,0.247307,0.157539,0.169483,668,,0.20
20171218,0.249863,0.249863,0.180454,0.219658,1860,,0.22
20171217,0.309290,0.309290,0.164513,0.249108,2078,,0.24
20171216,0.192880,0.329300,0.154989,0.309250,4939,,0.24
20171215,0.141161,0.194843,0.118749,0.192610,849,,0.16
20171214,0.106441,0.183334,0.082377,0.140949,1849,,0.13
20171213,0.238797,0.238797,0.106030,0.106783,1831,,0.17
20171212,0.067347,0.071035,0.065768,0.070034,63,,0.07
20171211,0.129905,0.133095,0.066491,0.067131,291,,0.10
20171210,0.049624,0.051879,0.043686,0.050829,8,,0.05
20171209,0.055622,0.056446,0.032912,0.049424,27,,0.04
20171208,0.059529,0.060417,0.042246,0.055678,185,,0.05
20171207,0.049999,0.059389,0.040952,0.059389,149,,0.05
20171206,0.042474,0.075470,0.042474,0.050085,247,,0.06
20171205,0.051521,0.051698,0.037797,0.042568,138,,0.04
20171204,0.042157,0.051420,0.035569,0.051420,103,,0.04
20171203,0.033123,0.065467,0.032937,0.042017,162,,0.05
20171202,0.064109,0.064768,0.031647,0.033091,69,,0.05
20171201,0.043970,0.080836,0.042298,0.064163,523,,0.06
20171130,0.042853,0.044598,0.023566,0.044188,129,,0.03
20171129,0.049541,0.065659,0.019590,0.042205,506,,0.04
20171128,0.048777,0.059458,0.048306,0.049888,137,,0.05
20171127,0.039227,0.063236,0.039227,0.048651,110,,0.05
20171126,0.051603,0.052464,0.039083,0.039220,99,,0.05
20171125,0.048439,0.051620,0.048165,0.051620,250,,0.05
20171124,0.046213,0.067886,0.045332,0.048537,48,,0.06
20171123,0.053464,0.059858,0.046276,0.046276,4,,0.05
20171122,0.052660,0.053743,0.045614,0.053481,5,,0.05
20171121,0.047306,0.054322,0.046407,0.052533,10,,0.05
20171120,0.050513,0.060660,0.046094,0.047297,3,,0.05
20171119,0.061828,0.064264,0.043166,0.050536,132,,0.05
20171118,0.053730,0.062420,0.031111,0.061943,187,,0.05
20171117,0.054599,0.055884,0.029049,0.053937,231,,0.04
20171116,0.061638,0.065302,0.054348,0.054689,249,,0.06
20171115,0.073058,0.079368,0.059957,0.061317,59,,0.07
20171114,0.055447,0.073057,0.054562,0.073008,0,,0.06
20171113,0.054364,0.077917,0.050297,0.055330,29,,0.06
20171112,0.058905,0.059592,0.051272,0.054285,33,,0.06
20171111,0.075479,0.078481,0.058017,0.073844,89,,0.07
20171110,0.041347,0.084943,0.041347,0.075749,438,,0.06
20171109,0.059067,0.059067,0.039269,0.041225,116,,0.05
20171108,0.053371,0.059133,0.040038,0.059128,164,,0.05
20171107,0.055045,0.056955,0.052410,0.053539,279,,0.05
20171106,0.059147,0.059397,0.039612,0.055134,286,,0.05
20171105,0.041015,0.060484,0.040609,0.059016,6,,0.05
20171104,0.066796,0.069161,0.041085,0.041093,29,,0.06
20171103,0.057029,0.068323,0.050699,0.066970,12,,0.06
20171102,0.056655,0.058493,0.054672,0.057104,305,,0.06
20171101,0.060573,0.061941,0.054569,0.056592,54,,0.06
20171031,0.056621,0.060617,0.056621,0.060617,328,,0.06
20171030,0.062185,0.066609,0.049854,0.056814,200,,0.06
20171029,0.057737,0.066221,0.057584,0.062548,125,,0.06
20171028,0.058902,0.076735,0.057535,0.057816,48,,0.07
20171027,0.098368,0.100198,0.050406,0.058742,285,,0.08
20171026,0.074547,0.099586,0.044566,0.098346,989,,0.07
20171025,0.083657,0.087033,0.070697,0.074556,447,,0.08
20171024,0.084288,0.088440,0.067890,0.083624,680,,0.08
20171023,0.091483,0.105328,0.083083,0.084474,1429,,0.09
20171022,0.086718,0.106413,0.083379,0.091631,569,,0.09
20171021,0.104730,0.112337,0.081881,0.086691,1231,,0.10
20171020,0.238508,0.321217,0.077930,0.104950,11519,,0.20
20171019,0.100682,0.239990,0.088159,0.238441,2471,,0.16
20171018,0.089556,0.101855,0.072723,0.100630,380,,0.09
20171017,0.087899,0.103493,0.057242,0.089550,787,,0.08
20171016,0.085378,0.093078,0.084282,0.087886,135,,0.09
20171015,0.098243,0.123219,0.081831,0.085367,60,,0.10
20171014,0.115602,0.132333,0.074617,0.098067,243,,0.10
20171013,0.111153,0.165379,0.110443,0.115571,43,,0.14
20171012,0.105357,0.153620,0.105086,0.110812,239,,0.13
20171011,0.152027,0.152454,0.097562,0.105268,301,,0.13
20171010,0.176562,0.179305,0.096713,0.152053,2160,,0.14
20171009,0.154193,0.207020,0.116456,0.176575,803,,0.16
20171008,0.206717,0.242349,0.153367,0.154154,2401,,0.20
20171007,0.159995,0.207759,0.159559,0.207271,872,,0.18
20171006,0.160711,0.215398,0.158375,0.159943,2645,,0.19
20171005,0.210606,0.268671,0.141324,0.160711,3117,,0.20
20171004,0.285618,0.421356,0.130930,0.210416,2760,,0.28
20171003,0.395727,0.427834,0.265598,0.284957,2893,,0.35
20171002,0.517186,0.521171,0.271618,0.413499,3240,,0.40
20171001,0.432875,0.555156,0.420313,0.517414,4986,,0.49
20170930,0.577156,0.692389,0.429617,0.432642,13107,,0.56
20170929,0.488939,0.603447,0.488939,0.603279,54803,,0.55
