date,open,high,low,close,volume,marketcap,average
20180110,0.009639,0.011999,0.008660,0.011999,6130,1584090,0.01
20180109,0.011747,0.012259,0.008423,0.009626,7249,1930490,0.01
20180108,0.011399,0.012513,0.006288,0.011779,14976,1873420,0.01
20180107,0.011526,0.012199,0.010169,0.011415,3812,1894170,0.01
20180106,0.011379,0.011805,0.010724,0.011534,1006,1870100,0.01
20180105,0.009412,0.011923,0.008960,0.011370,1838,1546850,0.01
20180104,0.010800,0.010973,0.008767,0.009410,4864,1774850,0.01
20180103,0.009940,0.011001,0.008474,0.010741,8556,1633560,0.01
20180102,0.007831,0.011033,0.007831,0.009975,4112,1286940,0.01
20180101,0.006292,0.010476,0.006168,0.007831,6152,1033980,0.01
20171231,0.008900,0.009100,0.005221,0.006267,3366,1462670,0.01
20171230,0.010147,0.011054,0.006330,0.008997,3783,1665010,0.01
20171229,0.004919,0.012035,0.004443,0.010173,6222,805474,0.01
20171228,0.009465,0.009496,0.004689,0.004869,2363,1546620,0.01
20171227,0.012986,0.017884,0.008342,0.009485,13116,2117680,0.01
20171226,0.003482,0.015427,0.003358,0.012977,18599,566695,0.01
20171225,0.002395,0.004409,0.002281,0.003486,3231,388890,0.00
20171224,0.002775,0.002775,0.002034,0.002370,734,449729,0.00
20171223,0.002344,0.002947,0.002311,0.002745,1104,379093,0.00
20171222,0.002357,0.002520,0.001736,0.002322,427,380349,0.00
20171221,0.001483,0.002956,0.001475,0.002349,64,238892,0.00
20171220,0.003171,0.003171,0.001419,0.001480,1975,509621,0.00
20171219,0.002487,0.003427,0.002446,0.003174,955,398860,0.00
20171218,0.003252,0.003252,0.002383,0.002485,241,520438,0.00
20171217,0.002532,0.003395,0.002453,0.003243,201,404295,0.00
20171216,0.002294,0.003025,0.002265,0.002532,1372,365531,0.00
20171215,0.002820,0.003040,0.002266,0.002291,649,448354,0.00
20171214,0.002456,0.002820,0.002436,0.002816,557,389713,0.00
20171213,0.001900,0.002688,0.001650,0.002464,945,300861,0.00
20171212,0.001515,0.002560,0.001480,0.001899,1481,239384,0.00
20171211,0.001220,0.001575,0.001214,0.001510,24,192281,0.00
20171210,0.001203,0.001666,0.001106,0.001229,121,189232,0.00
20171209,0.001789,0.001816,0.001084,0.001198,236,280805,0.00
20171208,0.002083,0.002114,0.001659,0.001791,220,326185,0.00
20171207,0.001786,0.002160,0.001611,0.002078,624,279066,0.00
20171206,0.001404,0.001919,0.001404,0.001789,683,218957,0.00
20171205,0.001748,0.001788,0.001275,0.001407,89,272062,0.00
20171204,0.001574,0.001745,0.000980,0.001745,495,244360,0.00
20171203,0.001093,0.001570,0.000635,0.001569,594,169358,0.00
20171202,0.001197,0.001679,0.001079,0.001092,197,185081,0.00
20171201,0.001199,0.001598,0.001149,0.001198,218,184966,0.00
20171130,0.001671,0.001818,0.001139,0.001205,23,257157,0.00
20171129,0.001688,0.001931,0.001182,0.001646,328,259181,0.00
20171128,0.001561,0.001697,0.001472,0.001689,343,239165,0.00
20171127,0.001677,0.001852,0.001412,0.001557,660,256420,0.00
20171126,0.001312,0.001713,0.001310,0.001677,217,200134,0.00
20171125,0.001314,0.001439,0.001282,0.001312,498,199940,0.00
20171124,0.001447,0.001454,0.001302,0.001316,68,219704,0.00
20171123,0.001563,0.001651,0.001296,0.001449,330,236808,0.00
20171122,0.001623,0.001660,0.001297,0.001563,26,245354,0.00
20171121,0.001319,0.001646,0.001217,0.001619,959,198916,0.00
20171120,0.001448,0.001549,0.001318,0.001318,506,217911,0.00
20171119,0.001480,0.001794,0.001389,0.001448,182,222180,0.00
20171118,0.001691,0.001717,0.001482,0.001482,370,253378,0.00
20171117,0.001726,0.001766,0.001438,0.001698,394,257999,0.00
20171116,0.001534,0.001761,0.001478,0.001729,299,228747,0.00
20171115,0.001388,0.001532,0.001226,0.001526,508,206618,0.00
20171114,0.001241,0.001431,0.001104,0.001387,717,184236,0.00
20171113,0.001174,0.001337,0.001066,0.001238,233,173934,0.00
20171112,0.001209,0.001326,0.000997,0.001172,480,178630,0.00
20171111,0.001183,0.001563,0.001144,0.001210,579,174511,0.00
20171110,0.001640,0.001823,0.001151,0.001188,1060,241218,0.00
20171109,0.001269,0.001786,0.001209,0.001635,5162,186328,0.00
20171108,0.001708,0.001708,0.001218,0.001271,187,250097,0.00
20171107,0.001392,0.001785,0.001392,0.001713,450,203339,0.00
20171106,0.001479,0.001782,0.001389,0.001394,361,215530,0.00
20171105,0.001549,0.001847,0.001459,0.001475,242,225274,0.00
20171104,0.001720,0.001720,0.001471,0.001552,170,249547,0.00
20171103,0.001826,0.001929,0.001707,0.001725,424,264305,0.00
20171102,0.001682,0.001844,0.001572,0.001828,497,242906,0.00
20171101,0.001482,0.002148,0.001276,0.001680,2347,213515,0.00
20171031,0.001348,0.001845,0.001286,0.001483,513,193755,0.00
20171030,0.001355,0.002340,0.001331,0.001353,2494,194216,0.00
20171029,0.001661,0.001707,0.001275,0.001362,199,237610,0.00
20171028,0.001729,0.001757,0.001135,0.001663,10,246740,0.00
20171027,0.001295,0.001734,0.000912,0.001724,287,184377,0.00
20171026,0.001090,0.001311,0.001082,0.001295,3,154742,0.00
20171025,0.001159,0.001327,0.001035,0.001090,659,164192,0.00
20171024,0.002170,0.002170,0.001152,0.001158,81,306758,0.00
20171023,0.001196,0.002218,0.001043,0.002175,578,168624,0.00
20171022,0.001323,0.001934,0.001170,0.001198,200,186105,0.00
20171021,0.001741,0.001783,0.001314,0.001323,68,244380,0.00
20171020,0.001255,0.001772,0.001128,0.001745,329,175686,0.00
20171019,0.001397,0.001435,0.001255,0.001255,413,195064,0.00
20171018,0.001400,0.001608,0.001284,0.001396,70,195059,0.00
20171017,0.001560,0.001625,0.001391,0.001400,95,216841,0.00
20171016,0.001708,0.001716,0.001503,0.001560,467,236722,0.00
20171015,0.001755,0.001766,0.001637,0.001707,539,242754,0.00
20171014,0.001697,0.001820,0.001635,0.001752,168,234064,0.00
20171013,0.001687,0.002612,0.001657,0.001696,656,232100,0.00
20171012,0.001448,0.002563,0.001444,0.001681,2252,198754,0.00
20171011,0.001191,0.001509,0.001181,0.001447,684,163046,0.00
20171010,0.001197,0.001638,0.001182,0.001191,750,163441,0.00
20171009,0.001611,0.001614,0.001169,0.001197,600,219504,0.00
20171008,0.002222,0.002357,0.000843,0.001611,1411,301978,0.00
20171007,0.001487,0.002402,0.001081,0.002228,754,201616,0.00
20171006,0.001124,0.001504,0.001122,0.001487,138,152027,0.00
20171005,0.001013,0.001135,0.000998,0.001124,2,136670,0.00
20171004,0.001771,0.001772,0.001007,0.001012,101,238313,0.00
20171003,0.001981,0.001981,0.001487,0.001767,318,265925,0.00
20171002,0.000923,0.002117,0.000922,0.001981,571,123539,0.00
20171001,0.001303,0.002162,0.000905,0.000923,447,174062,0.00
20170930,0.001836,0.001839,0.001149,0.001303,715,244513,0.00
20170929,0.001594,0.001849,0.001025,0.001835,185,211723,0.00
20170928,0.000926,0.001840,0.000915,0.001595,201,122668,0.00
20170927,0.000894,0.001108,0.000855,0.000926,447,118220,0.00
20170926,0.001337,0.001774,0.000895,0.000897,141,176318,0.00
20170925,0.000955,0.003222,0.000828,0.001337,709,125561,0.00
20170924,0.001099,0.001099,0.000952,0.000956,87,144105,0.00
20170923,0.001082,0.001145,0.001072,0.001099,12,141575,0.00
20170922,0.001195,0.001361,0.001062,0.001085,63,155914,0.00
20170921,0.001009,0.001404,0.000991,0.001196,5,131271,0.00
20170920,0.000978,0.001611,0.000961,0.001014,138,127002,0.00
20170919,0.001354,0.001356,0.000980,0.000980,651,175300,0.00
20170918,0.001367,0.001476,0.001308,0.001351,544,176542,0.00
20170917,0.001300,0.001705,0.001256,0.001370,65,167430,0.00
20170916,0.001335,0.002014,0.001280,0.001301,121,171523,0.00
20170915,0.001136,0.001913,0.001116,0.001339,116,145483,0.00
20170914,0.001551,0.001837,0.001127,0.001127,273,198150,0.00
20170913,0.001619,0.001619,0.001474,0.001551,27,206366,0.00
20170912,0.002065,0.002083,0.001482,0.001626,75,262401,0.00
20170911,0.001700,0.002072,0.001613,0.002063,38,215487,0.00
20170910,0.001646,0.001703,0.001538,0.001703,26,208060,0.00
20170909,0.001602,0.001675,0.001583,0.001650,288,201926,0.00
20170908,0.003244,0.003251,0.001561,0.001599,207,407836,0.00
20170907,0.001339,0.003835,0.001305,0.003243,155,167846,0.00
20170906,0.001547,0.001736,0.001232,0.001341,340,193460,0.00
20170905,0.001981,0.002169,0.001492,0.001545,75,247036,0.00
20170904,0.002633,0.002635,0.001910,0.001971,124,327457,0.00
20170903,0.003458,0.003501,0.002438,0.002632,67,428954,0.00
20170902,0.003250,0.003502,0.002831,0.003456,562,401984,0.00
20170901,0.003222,0.003766,0.003222,0.003246,582,397449,0.00
20170831,0.003160,0.004323,0.003130,0.003221,746,388714,0.00
20170830,0.003216,0.004604,0.003027,0.003165,358,394511,0.00
20170829,0.002897,0.004396,0.002879,0.003220,229,354370,0.00
20170828,0.001607,0.012338,0.001601,0.002892,13130,196053,0.01
20170827,0.000956,0.001620,0.000956,0.001609,623,116271,0.00
20170826,0.000786,0.001611,0.000769,0.000956,100,95378,0.00
20170825,0.001255,0.001929,0.000736,0.000786,405,151872,0.00
20170824,0.002030,0.002038,0.001069,0.001257,154,244908,0.00
20170823,0.001062,0.002040,0.001013,0.002029,883,127806,0.00
20170822,0.001040,0.001532,0.000968,0.001065,42,124790,0.00
20170821,0.000933,0.001699,0.000714,0.001038,31,111618,0.00
20170820,0.001617,0.001617,0.000937,0.000937,155,192843,0.00
20170819,0.001315,0.001655,0.001271,0.001624,6,156380,0.00
20170818,0.001327,0.001671,0.001286,0.001316,24,157358,0.00
20170817,0.002546,0.002555,0.001330,0.001331,574,301048,0.00
20170816,0.002492,0.002576,0.002344,0.002548,504,293899,0.00
20170815,0.002942,0.002942,0.002279,0.002489,191,345986,0.00
20170814,0.002437,0.002934,0.002033,0.002934,818,285753,0.00
20170813,0.001934,0.002776,0.001934,0.002436,160,226085,0.00
20170812,0.001825,0.002342,0.001821,0.001936,89,212758,0.00
20170811,0.002186,0.002448,0.001814,0.001827,296,254113,0.00
20170810,0.001872,0.002500,0.001865,0.002186,257,216954,0.00
20170809,0.003248,0.003256,0.001792,0.001872,58,375283,0.00
20170808,0.003358,0.003429,0.001618,0.003250,43,386853,0.00
20170807,0.002544,0.003368,0.001944,0.003354,288,292222,0.00
20170806,0.001432,0.002592,0.001389,0.002550,9,164037,0.00
20170805,0.002769,0.003095,0.001371,0.001432,110,316192,0.00
20170804,0.002174,0.002779,0.000277,0.002770,436,247500,0.00
20170803,0.002298,0.003016,0.002102,0.002174,101,260897,0.00
20170802,0.003412,0.003415,0.002259,0.002294,133,386110,0.00
20170801,0.002834,0.003491,0.002445,0.003412,211,319737,0.00
20170731,0.003426,0.003429,0.002807,0.002832,323,385376,0.00
20170730,0.003125,0.003432,0.003018,0.003422,15,350527,0.00
20170729,0.004033,0.004044,0.003080,0.003126,59,450955,0.00
20170728,0.003619,0.004065,0.003571,0.004048,485,403434,0.00
20170727,0.004570,0.004623,0.003454,0.003608,415,507887,0.00
20170726,0.003712,0.004587,0.003304,0.004557,708,411325,0.00
20170725,0.004975,0.005043,0.003558,0.003711,87,549513,0.00
20170724,0.005754,0.006085,0.004958,0.004975,819,633666,0.01
20170723,0.005790,0.005999,0.005178,0.005761,35,635626,0.01
20170722,0.005032,0.007112,0.004845,0.005790,459,550751,0.01
20170721,0.004867,0.006082,0.004654,0.005033,105,530947,0.01
20170720,0.004510,0.005615,0.003588,0.004831,237,490562,0.00
20170719,0.004260,0.007035,0.003355,0.004524,547,461879,0.01
20170718,0.003245,0.009086,0.002706,0.004253,2209,350771,0.01
20170717,0.002981,0.003242,0.002003,0.003237,794,321132,0.00
20170716,0.002978,0.003077,0.002223,0.002984,138,319821,0.00
20170715,0.002795,0.003554,0.002032,0.002987,538,299290,0.00
20170714,0.002739,0.004657,0.002719,0.002800,143,292318,0.00
20170713,0.002649,0.003509,0.002648,0.002741,725,281789,0.00
20170712,0.003990,0.004887,0.002214,0.002647,2369,423099,0.00
20170711,0.008449,0.009098,0.004010,0.004010,2051,893074,0.01
20170710,0.012451,0.012472,0.006784,0.008467,2386,1311910,0.01
20170709,0.004512,0.013034,0.003798,0.012427,7045,473924,0.01
20170708,0.002276,0.004510,0.002251,0.004508,3199,238322,0.00
20170707,0.002443,0.003408,0.001875,0.002275,2111,254881,0.00
20170706,0.002470,0.002999,0.002246,0.002441,148,256880,0.00
20170705,0.002538,0.002538,0.001928,0.002469,241,263145,0.00
20170704,0.002739,0.002833,0.001974,0.002540,73,283069,0.00
