date,open,high,low,close,volume,marketcap,average
20180110,13.18,15.15,11.05,15.15,555844,12541600,13.10
20180109,14.76,15.12,12.97,13.16,278696,14046700,14.04
20180108,16.13,16.19,13.96,14.80,318894,15349800,15.08
20180107,17.20,17.20,15.21,16.15,324223,16369200,16.20
20180106,16.98,17.59,10.77,17.21,544196,16162300,14.18
20180105,13.66,17.11,10.51,16.97,676101,12785000,13.81
20180104,15.94,16.20,13.38,13.66,271689,14375900,14.79
20180103,16.09,16.36,12.48,15.85,799297,13983000,14.42
20180102,14.69,16.49,12.98,16.15,486041,12514600,14.73
20180101,13.98,15.00,13.47,14.69,721582,11591700,14.23
20171231,14.21,14.95,12.46,13.93,608863,11399500,13.71
20171230,16.37,16.37,11.14,14.37,594316,12748500,13.76
20171229,16.41,17.15,13.99,16.41,785024,12420300,15.57
20171228,17.64,17.72,13.90,16.24,816754,12968000,15.81
20171227,19.10,19.95,11.12,17.68,766624,,15.54
20171226,16.99,19.44,16.73,19.08,953689,,18.09
20171225,13.08,17.80,12.32,16.99,847452,,15.06
20171224,18.82,18.82,12.19,12.95,627872,,15.50
20171223,18.03,20.35,12.65,18.61,751984,,16.50
20171222,18.06,19.39,14.04,17.86,902561,,16.71
20171221,18.32,19.40,17.41,18.00,852151,,18.41
20171220,21.31,21.41,17.14,18.27,1307100,,19.27
20171219,21.50,22.91,19.60,21.33,1143470,,21.26
20171218,23.22,24.11,20.49,21.47,1301860,,22.30
20171217,24.21,24.68,21.58,23.15,922891,,23.13
20171216,21.01,24.86,19.85,24.26,1224730,,22.36
20171215,18.22,22.54,18.22,20.98,1350270,,20.38
20171214,17.62,18.53,10.65,18.24,1043310,,14.59
