date,open,high,low,close,volume,marketcap,average
20180110,2.68,2.70,1.97,1.97,20025,1024880,2.33
20180109,2.87,3.08,1.80,2.61,30829,1090980,2.44
20180108,1.22,3.24,1.05,2.87,35220,462541,2.15
20180107,0.890915,1.43,0.843230,1.14,8577,336839,1.14
20180106,0.776629,1.07,0.769143,0.892384,8996,292607,0.92
20180105,0.776818,0.866348,0.731498,0.776534,1843,291640,0.80
20180104,0.809476,0.810664,0.640638,0.776377,3290,302837,0.73
20180103,0.741455,0.816020,0.644729,0.806080,913,276406,0.73
20180102,0.595987,0.821232,0.569727,0.743629,5613,221398,0.70
20180101,0.687470,0.690248,0.492259,0.595692,3645,254483,0.59
20171231,0.590662,0.862921,0.543471,0.687478,4239,217875,0.70
20171230,0.608171,0.677997,0.499219,0.595640,1648,223528,0.59
20171229,0.640628,0.702435,0.566143,0.609595,2514,234616,0.63
20171228,0.592580,0.634332,0.424068,0.634332,3579,216251,0.53
20171227,0.559326,0.620408,0.526929,0.593718,3886,203381,0.57
20171226,0.509970,0.586365,0.423384,0.558502,3306,184747,0.50
20171225,0.444340,0.576134,0.437277,0.510212,940,160392,0.51
20171224,0.605732,0.639524,0.386519,0.444122,1323,217808,0.51
20171223,0.540067,0.653167,0.489851,0.599213,873,193508,0.57
20171222,0.615644,0.658245,0.351257,0.533063,993,219770,0.50
20171221,0.398066,0.649530,0.394186,0.613798,2366,141578,0.52
20171220,0.378329,0.441870,0.294988,0.399003,815,134072,0.37
20171219,0.449237,0.505830,0.375775,0.375775,223,158616,0.44
20171218,0.597928,0.599602,0.348469,0.449086,2187,210315,0.47
20171217,0.490246,0.671828,0.405445,0.598262,2089,171805,0.54
20171216,0.389167,0.495001,0.330120,0.483064,1056,135868,0.41
20171215,0.389908,0.492232,0.366193,0.389146,278,135604,0.43
20171214,0.512927,0.641601,0.331511,0.387323,915,177712,0.49
20171213,0.310071,0.542426,0.273526,0.513665,3329,107021,0.41
20171212,0.373583,0.844110,0.237661,0.309569,1488,128447,0.54
20171211,0.563476,0.714985,0.369617,0.372643,4708,192990,0.54
20171210,0.561417,0.580539,0.351581,0.568754,3201,191530,0.47
20171209,0.549638,0.558447,0.318262,0.548519,3009,186800,0.44
20171208,0.494014,0.726543,0.359471,0.549873,562,167238,0.54
20171207,0.705302,0.742144,0.442206,0.492953,2252,237831,0.59
20171206,0.509338,0.706630,0.430876,0.706630,830,171097,0.57
20171205,0.431722,0.560160,0.413975,0.510475,1473,144466,0.49
20171204,0.550906,0.630346,0.426945,0.430881,943,172976,0.53
20171203,0.382075,0.589070,0.341947,0.549229,211,119966,0.47
20171202,0.253527,0.425651,0.247513,0.381468,382,79603,0.34
20171201,0.498223,0.526171,0.105024,0.254379,717,156434,0.32
20171130,0.520142,0.555949,0.369418,0.500693,855,163316,0.46
20171129,0.420062,0.583674,0.419911,0.512288,976,131893,0.50
20171128,0.474429,0.563097,0.386464,0.420265,279,148963,0.47
20171127,0.186624,0.499445,0.186624,0.473217,3223,58597,0.34
20171126,0.372076,0.379401,0.184979,0.186584,2422,116826,0.28
20171125,0.342018,0.404937,0.341228,0.372166,96,107388,0.37
20171124,0.323526,0.387871,0.264912,0.342751,628,101582,0.33
20171123,0.322391,0.453190,0.261669,0.324347,1500,101226,0.36
20171122,0.425006,0.447275,0.217077,0.323236,2317,133445,0.33
20171121,0.403727,0.565389,0.297555,0.424139,348,126764,0.43
20171120,0.754083,0.852437,0.384659,0.403762,3909,236770,0.62
20171119,0.518749,0.887960,0.491627,0.754190,715,162777,0.69
20171118,0.366244,0.573208,0.328835,0.519535,71,114438,0.45
20171117,0.596793,0.606931,0.219319,0.367642,1897,185712,0.41
20171116,0.621118,1.10,0.397664,0.598349,1196,192436,0.75
20171115,0.331798,0.618753,0.326307,0.618753,93,102382,0.47
20171114,0.125675,0.631327,0.125675,0.331532,204,38615,0.38
20171113,0.346606,0.348794,0.078232,0.125413,43,106052,0.21
20171112,0.448912,0.585420,0.342793,0.345909,110,136775,0.46
20171111,0.467890,0.596466,0.264011,0.447761,142,141938,0.43
20171110,0.129603,0.911575,0.129603,0.469717,320,39146,0.52
20171109,0.730059,0.730059,0.128788,0.129219,36,219559,0.43
20171108,0.610512,0.730977,0.332718,0.730977,212,182806,0.53
20171107,0.678600,0.699001,0.522463,0.611718,61,202291,0.61
20171106,0.451445,0.757349,0.447383,0.680391,178,133984,0.60
20171105,0.455884,0.836115,0.424108,0.451065,409,134708,0.63
20171104,0.572430,0.935425,0.454590,0.454590,496,168384,0.70
20171103,0.393187,0.632101,0.384247,0.573055,287,115141,0.51
20171102,0.526815,0.540593,0.219765,0.220339,240,153573,0.38
20171101,0.432694,0.588706,0.429123,0.549484,535,125563,0.51
20171031,0.386206,0.563044,0.384149,0.433152,207,111562,0.47
20171030,0.461542,0.559755,0.382851,0.387522,203,132720,0.47
20171029,0.899952,0.900203,0.426502,0.463995,54,257627,0.66
20171028,0.478271,0.943355,0.478271,0.900769,8,136281,0.71
20171027,0.627273,0.636589,0.400123,0.476971,11,177917,0.52
20171026,0.405358,1.05,0.399013,0.626714,11,114448,0.72
20171025,0.662199,0.664079,0.384124,0.405406,778,186098,0.52
20171024,0.555254,0.998873,0.531249,0.661604,2,155333,0.77
20171023,0.505450,0.560497,0.464613,0.556862,0,140722,0.51
20171022,0.658308,0.665578,0.501733,0.506117,193,182422,0.58
20171021,0.604528,0.667143,0.560091,0.658446,134,166711,0.61
20171020,0.714200,0.853423,0.602688,0.605721,22,196004,0.73
20171019,0.285338,0.894063,0.284704,0.714360,344,77951,0.59
20171018,0.561565,0.580565,0.267683,0.289589,0,152658,0.42
20171017,0.693326,0.695304,0.555060,0.561526,62,187571,0.63
20171016,0.524166,0.696831,0.524166,0.693216,287,141127,0.61
20171015,0.720233,0.792187,0.505001,0.524035,284,192981,0.65
20171014,0.591837,0.719391,0.589095,0.718755,34,157859,0.65
20171013,0.569416,0.614322,0.564803,0.591677,454,151106,0.59
20171012,0.496015,0.585376,0.491240,0.567667,182,127419,0.54
20171011,0.629318,0.633560,0.492914,0.495595,122,161658,0.56
20171010,0.498083,0.646317,0.493746,0.629387,105,127946,0.57
20171009,0.792160,0.804586,0.495773,0.498102,6,203489,0.65
20171008,1.01,1.10,0.516435,0.792563,78,259209,0.81
20171007,0.473529,2.89,0.473086,1.01,649,121639,1.68
20171006,0.433990,0.474701,0.433117,0.473376,599,111482,0.45
20171005,0.553010,0.555966,0.422655,0.433992,137,141649,0.49
20171004,0.485411,0.567613,0.453726,0.552510,855,123721,0.51
20171003,0.447060,0.520067,0.426954,0.484288,575,113358,0.47
20171002,0.441025,0.449837,0.440710,0.447031,435,111259,0.45
20171001,0.432458,0.760236,0.426907,0.441219,305,108528,0.59
20170930,0.590412,0.628534,0.422973,0.432224,219,147429,0.53
20170929,0.434476,0.712148,0.402378,0.590337,3443,107898,0.56
20170928,0.428457,0.502797,0.420205,0.434812,377,105858,0.46
20170927,0.465120,0.510042,0.416082,0.428442,1332,114301,0.46
20170926,0.550087,0.746399,0.408375,0.466606,1937,134479,0.58
20170925,0.527985,0.665389,0.485176,0.550140,1081,128902,0.58
20170924,0.669449,0.742202,0.441990,0.528423,489,163247,0.59
20170923,0.271233,0.768699,0.268632,0.666229,4008,66038,0.52
20170922,0.315899,0.323809,0.264394,0.272001,210,76658,0.29
20170921,0.349730,0.352080,0.313475,0.316260,254,84448,0.33
