date,open,high,low,close,volume,marketcap,average
20180110,0.003356,0.003471,0.001611,0.003001,7034100,,0.00
20180109,0.003618,0.003846,0.003180,0.003353,5119080,,0.00
20180108,0.004726,0.004775,0.002746,0.003483,6968290,,0.00
20180107,0.005006,0.005848,0.003567,0.004733,7934330,,0.00
20180106,0.004603,0.006438,0.004060,0.005179,9947600,,0.01
20180105,0.001826,0.005286,0.001667,0.005096,14482700,,0.00
20180104,0.001370,0.001826,0.001222,0.001826,3143310,,0.00
20180103,0.001339,0.001489,0.001180,0.001362,2264470,,0.00
20180102,0.001356,0.001779,0.001113,0.001343,4346300,,0.00
20180101,0.000701,0.001520,0.000550,0.001356,2454420,,0.00
20171231,0.000509,0.000710,0.000388,0.000698,406579,,0.00
20171230,0.000591,0.000728,0.000398,0.000515,428874,,0.00
20171229,0.000436,0.000735,0.000432,0.000592,799151,,0.00
20171228,0.000555,0.000570,0.000411,0.000432,266312,,0.00
