date,open,high,low,close,volume,marketcap,average
20180110,0.146045,0.149534,0.107049,0.149534,1195,,0.13
20180109,0.087648,0.149319,0.083785,0.145853,1426,,0.12
20180108,0.095104,0.095461,0.082894,0.087888,389,,0.09
20180107,0.099947,0.099947,0.092797,0.095237,218,,0.10
20180106,0.072522,0.100234,0.070251,0.100020,219,,0.09
20180105,0.064368,0.094029,0.063743,0.072464,146,,0.08
20180104,0.089135,0.090569,0.063044,0.064355,79,,0.08
20180103,0.062013,0.088822,0.061622,0.088650,88,,0.08
20180102,0.057922,0.063537,0.057237,0.062234,103,,0.06
20180101,0.056484,0.056523,0.052163,0.053518,13,,0.05
20171231,0.045899,0.072939,0.045443,0.056267,40,,0.06
20171230,0.082626,0.082654,0.043946,0.046400,2,,0.06
20171229,0.044271,0.084814,0.043653,0.082834,1,,0.06
20171228,0.071994,0.101122,0.041696,0.043817,970,,0.07
20171227,0.056380,0.072228,0.039893,0.072145,3,,0.06
20171226,0.034267,0.110429,0.034127,0.056339,547,,0.07
20171225,0.029442,0.034843,0.027727,0.034302,15,,0.03
20171224,0.025707,0.030103,0.025038,0.029139,16,,0.03
20171223,0.028958,0.029821,0.023929,0.025427,2,,0.03
20171222,0.038968,0.039352,0.026684,0.028687,1,,0.03
20171221,0.041043,0.043293,0.027098,0.038834,16,,0.04
20171220,0.035237,0.041167,0.028716,0.040936,331,,0.03
20171219,0.038267,0.045647,0.034103,0.035272,105,,0.04
20171218,0.047638,0.047638,0.036661,0.038235,8,,0.04
20171217,0.038953,0.049023,0.038178,0.047495,39,,0.04
20171216,0.037588,0.039256,0.035690,0.038948,33,,0.04
20171215,0.035663,0.038499,0.035657,0.037535,11,,0.04
20171214,0.035853,0.036049,0.035389,0.035610,7,,0.04
20171211,0.032933,0.036224,0.032789,0.035779,3,,0.03
20171210,0.029677,0.034069,0.028997,0.033173,3,,0.03
20171208,0.043389,0.044035,0.035205,0.038432,4,,0.04
20171207,0.035027,0.043287,0.034443,0.043287,78,,0.04
20171206,0.034400,0.036817,0.032221,0.035087,4,,0.03
20171205,0.032754,0.035036,0.032182,0.034477,27,,0.03
20171204,0.044180,0.045546,0.032033,0.032690,33,,0.04
20171203,0.040119,0.084156,0.039636,0.044034,1598,,0.06
20171202,0.021769,0.040763,0.021456,0.040081,82,,0.03
20171201,0.020186,0.021914,0.019110,0.021787,344,,0.02
20171130,0.020444,0.022238,0.018718,0.020286,6,,0.02
20171129,0.024026,0.027835,0.019711,0.020134,244,,0.02
