date,open,high,low,close,volume,marketcap,average
20180110,0.033347,0.050176,0.029138,0.030395,6368,599653,0.04
20180109,0.032230,0.034779,0.026447,0.033244,2104,579566,0.03
20180108,0.034661,0.037103,0.026759,0.032318,8751,623273,0.03
20180107,0.036586,0.037312,0.028810,0.034699,6655,657882,0.03
20180106,0.030245,0.041223,0.029825,0.036612,5974,543869,0.04
20180105,0.046759,0.046759,0.028416,0.030216,9804,840811,0.04
20180104,0.041028,0.048293,0.033219,0.046750,7966,737770,0.04
20180103,0.048838,0.050482,0.033772,0.040852,6587,878205,0.04
20180102,0.032866,0.051009,0.026480,0.049010,14691,591000,0.04
20180101,0.030415,0.089049,0.027820,0.032865,18036,546924,0.06
20171231,0.025565,0.033601,0.023186,0.030329,2140,459714,0.03
20171230,0.020614,0.039545,0.020210,0.025819,18742,370686,0.03
20171229,0.022538,0.024726,0.017591,0.020662,6779,405288,0.02
20171228,0.019854,0.022742,0.015037,0.022712,8176,357007,0.02
20171227,0.020638,0.026652,0.017123,0.019856,5078,371114,0.02
20171226,0.024162,0.028920,0.020505,0.020621,3828,434489,0.02
20171225,0.017707,0.024400,0.014500,0.024187,1781,318400,0.02
20171224,0.022841,0.023155,0.013856,0.017551,5091,410730,0.02
20171223,0.021417,0.026727,0.018088,0.022599,5896,385128,0.02
20171222,0.017727,0.024252,0.012382,0.021219,17361,318759,0.02
20171221,0.018053,0.019374,0.012023,0.017665,6741,324634,0.02
20171220,0.022854,0.028800,0.010266,0.018014,4745,410959,0.02
20171219,0.013844,0.034840,0.010201,0.022828,6027,248947,0.02
20171218,0.016509,0.017651,0.004749,0.013841,11019,296875,0.01
20171217,0.023110,0.023831,0.013620,0.016061,3852,415555,0.02
20171216,0.020788,0.025316,0.020420,0.023070,8954,373804,0.02
20171215,0.020307,0.021431,0.014425,0.020760,6814,365159,0.02
20171214,0.019854,0.022436,0.016356,0.020282,5300,357008,0.02
20171213,0.026658,0.030380,0.019598,0.019757,10206,479362,0.02
20171212,0.023649,0.029471,0.023099,0.026638,13166,425264,0.03
20171211,0.020091,0.028996,0.016302,0.023630,16729,361275,0.02
20171210,0.020171,0.021136,0.014812,0.020227,9690,362708,0.02
20171209,0.017558,0.029612,0.013547,0.020135,12856,315728,0.02
20171208,0.014534,0.016873,0.011961,0.016110,5927,261345,0.01
20171207,0.012804,0.015943,0.010575,0.014517,4722,230235,0.01
20171206,0.013164,0.013531,0.010090,0.012828,4027,236714,0.01
20171205,0.012403,0.019564,0.008827,0.013216,15803,223031,0.01
20171204,0.006266,0.012448,0.005029,0.012448,4804,112676,0.01
20171203,0.005348,0.007116,0.004944,0.005152,1763,96167,0.01
20171202,0.003136,0.008030,0.002936,0.005343,5105,56390,0.01
20171201,0.002865,0.003264,0.002463,0.003138,993,51519,0.00
20171130,0.003580,0.004018,0.002356,0.002876,2218,64382,0.00
20171129,0.004582,0.004863,0.002832,0.003533,7100,82392,0.00
20171128,0.004309,0.004799,0.003169,0.004181,11160,77480,0.00
20171127,0.005428,0.006618,0.004261,0.004314,11782,97614,0.01
20171126,0.007051,0.007051,0.005189,0.005428,6581,126791,0.01
20171125,0.006752,0.008417,0.005057,0.007052,16347,121415,0.01
20171124,0.006080,0.008449,0.004118,0.006753,13365,109325,0.01
20171123,0.006680,0.007090,0.004478,0.006104,2720,120122,0.01
20171122,0.004035,0.007864,0.003389,0.006678,3160,72556,0.01
20171121,0.002681,0.004041,0.002569,0.004029,2821,48202,0.00
20171120,0.004597,0.004723,0.002616,0.002684,177,82655,0.00
20171119,0.004941,0.005288,0.003301,0.004602,955,88857,0.00
20171118,0.005921,0.005922,0.004103,0.004952,704,106469,0.01
20171117,0.006194,0.006203,0.003814,0.005936,820,111385,0.01
20171116,0.004883,0.006587,0.004834,0.006199,5178,87797,0.01
20171115,0.006670,0.008076,0.004395,0.004883,9670,119938,0.01
20171114,0.007217,0.007735,0.005727,0.006666,8945,129780,0.01
20171113,0.005054,0.007597,0.005054,0.007216,4059,90885,0.01
20171112,0.004163,0.005414,0.003752,0.004771,498,74851,0.00
20171111,0.005148,0.005504,0.004086,0.004163,890,92568,0.00
20171110,0.007021,0.007761,0.004939,0.005164,746,126246,0.01
20171109,0.008571,0.008986,0.006978,0.007008,2476,154127,0.01
20171108,0.007508,0.009156,0.006480,0.008589,2333,135010,0.01
20171107,0.004409,0.007946,0.004409,0.007528,2150,79278,0.01
20171106,0.006313,0.009615,0.004148,0.004405,2691,113525,0.01
20171105,0.007438,0.007445,0.003905,0.006304,1093,133753,0.01
20171104,0.008741,0.008741,0.006018,0.007430,6430,157184,0.01
20171103,0.004875,0.009232,0.004823,0.008740,10177,,0.01
20171102,0.007597,0.011922,0.004263,0.004863,5333,,0.01
20171101,0.013904,0.014919,0.007577,0.007577,9397,,0.01
20171031,0.012799,0.019896,0.012799,0.013926,34057,,0.02
20171030,0.009820,0.016747,0.009491,0.012792,26770,,0.01
20171029,0.010699,0.014822,0.009840,0.009840,17977,,0.01
20171028,0.014998,0.014998,0.006971,0.010704,20921,,0.01
20171027,0.006758,0.023336,0.006758,0.014951,66699,,0.02
