date,open,high,low,close,volume,marketcap,average
20180110,0.845334,1.19,0.638648,0.948763,9628720,,0.91
20180109,1.01,1.01,0.825968,0.843441,1835510,,0.92
20180108,1.58,1.58,0.990146,1.01,2265170,,1.29
20180107,1.41,1.69,1.37,1.58,506084,,1.53
20180106,1.36,1.61,1.12,1.41,597791,,1.37
20180105,1.99,1.99,1.18,1.36,885334,,1.58
20180104,1.67,2.62,1.64,1.99,2097020,,2.13
20180103,13.18,16.62,1.33,1.66,2163520,,8.98
20180102,15.85,18.01,9.34,13.72,40839,,13.68
20180101,14.82,17.66,11.11,15.81,82431,,14.38
20171231,9.02,20.12,7.10,14.25,129139,,13.61
20171230,17.74,20.39,6.51,9.10,148001,,13.45
20171229,3.67,28.25,3.61,17.75,165839,,15.93
20171228,3.79,3.79,3.36,3.65,18524,,3.58
20171227,4.11,5.98,3.40,3.79,19234,,4.69
20171226,4.21,6.04,3.54,4.10,42625,,4.79
20171225,3.90,4.57,3.89,4.21,7745,,4.23
20171224,4.27,4.53,3.55,3.88,22356,,4.04
20171223,2.51,4.50,2.51,4.22,37826,,3.50
20171222,2.53,2.83,1.91,2.49,17203,,2.37
20171221,2.72,2.86,2.45,2.68,14037,,2.66
20171220,2.55,2.71,2.46,2.71,7091,,2.58
20171219,2.53,2.73,2.47,2.73,5259,,2.60
20171218,2.16,2.64,2.06,2.54,3385,,2.35
20171217,2.09,2.38,2.09,2.16,10272,,2.23
20171216,2.46,3.59,2.05,2.09,9242,,2.82
20171215,4.23,5.49,2.04,2.45,1763,,3.77
20171214,2.31,6.90,2.18,2.87,7427,,4.54
20171213,2.09,2.32,1.94,2.31,18762,,2.13
