date,open,high,low,close,volume,marketcap,average
20180110,0.003213,0.003271,0.002627,0.002700,28,65048,0.00
20180109,0.003313,0.003394,0.003164,0.003209,29,67077,0.00
20180108,0.003583,0.003596,0.003215,0.003322,21,72533,0.00
20180107,0.003613,0.003633,0.003337,0.003588,4,73138,0.00
20180106,0.003397,0.003625,0.003273,0.003615,2,68770,0.00
20180105,0.003235,0.003423,0.003205,0.003394,2,65499,0.00
20180102,0.002565,0.002646,0.002477,0.002570,3,51935,0.00
20180101,0.002447,0.002610,0.002447,0.002565,5,49532,0.00
20171231,0.002289,0.002411,0.002266,0.002397,24,46334,0.00
20171230,0.002464,0.002495,0.002191,0.002314,24,49891,0.00
20171229,0.001915,0.002496,0.001836,0.002471,22,38770,0.00
20171227,0.002059,0.002153,0.002042,0.002075,21,41682,0.00
20171226,0.001811,0.002098,0.001803,0.002057,21,36662,0.00
20171225,0.001831,0.002232,0.001725,0.001813,29,37076,0.00
20171224,0.002191,0.002426,0.001723,0.001812,203,44357,0.00
20171223,0.002141,0.002349,0.002121,0.002167,25,43347,0.00
20171222,0.002357,0.002380,0.001915,0.002090,7,47718,0.00
20171221,0.002308,0.002608,0.002272,0.002349,9,46720,0.00
20171220,0.002412,0.002426,0.002207,0.002302,4,48831,0.00
20171219,0.002679,0.002688,0.002387,0.002478,6,54232,0.00
20171218,0.004168,0.004245,0.002669,0.002676,36,84374,0.00
20171217,0.004090,0.004193,0.004009,0.004044,2,82806,0.00
20171216,0.002471,0.004122,0.002456,0.004090,152,50018,0.00
20171215,0.002322,0.003937,0.002322,0.002820,126,47016,0.00
20171214,0.002328,0.002332,0.002304,0.002319,17,47125,0.00
20171213,0.002591,0.002626,0.002390,0.002484,31,52464,0.00
20171212,0.002694,0.002841,0.002588,0.002589,32,54539,0.00
20171211,0.003354,0.003722,0.002685,0.002685,5,67910,0.00
20171210,0.002256,0.003443,0.001986,0.003379,129,45666,0.00
20171209,0.003253,0.003301,0.002032,0.002247,229,65854,0.00
20171208,0.003124,0.003256,0.002394,0.003256,29,63246,0.00
20171207,0.002610,0.003117,0.002610,0.003117,944,52837,0.00
20171206,0.002223,0.002618,0.002223,0.002614,9,45009,0.00
20171205,0.002215,0.002369,0.002184,0.002228,95,44838,0.00
20171204,0.002150,0.002291,0.002119,0.002210,209,43529,0.00
20171203,0.002077,0.002127,0.002063,0.002121,29,42050,0.00
