date,open,high,low,close,volume,marketcap,average
20180110,0.001460,0.002250,0.001266,0.002250,33736,,0.00
20180109,0.001054,0.001663,0.000609,0.001459,21360,,0.00
20180108,0.000651,0.001061,0.000473,0.000755,7356,,0.00
20180107,0.000860,0.000860,0.000497,0.000652,4123,,0.00
20180106,0.000510,0.000863,0.000491,0.000861,999,,0.00
20180105,0.000607,0.000912,0.000509,0.000509,1586,,0.00
20180104,0.000913,0.000927,0.000584,0.000607,563,,0.00
20180103,0.000890,0.000919,0.000595,0.000908,1106,,0.00
20180102,0.000675,0.000912,0.000546,0.000893,794,,0.00
20180101,0.000559,0.000806,0.000539,0.000675,603,,0.00
20171231,0.000636,0.000846,0.000507,0.000557,3443,,0.00
20171230,0.000580,0.000655,0.000368,0.000643,2715,,0.00
20171229,0.000579,0.000605,0.000428,0.000581,1858,,0.00
20171228,0.000310,0.000573,0.000276,0.000573,6605,,0.00
20171227,0.000475,0.000497,0.000307,0.000311,702,,0.00
20171226,0.000418,0.000484,0.000416,0.000475,128,,0.00
20171225,0.000423,0.000435,0.000277,0.000418,379,,0.00
20171224,0.000438,0.000438,0.000254,0.000418,736,,0.00
20171223,0.000276,0.000470,0.000272,0.000433,396,,0.00
20171222,0.000314,0.000445,0.000251,0.000410,651,,0.00
20171221,0.000494,0.000522,0.000303,0.000313,392,,0.00
20171220,0.000352,0.000508,0.000321,0.000493,1849,,0.00
20171219,0.000383,0.000572,0.000345,0.000353,1216,,0.00
20171218,0.000574,0.000574,0.000367,0.000382,1279,,0.00
20171217,0.000195,0.000593,0.000191,0.000572,722,,0.00
20171216,0.000529,0.000589,0.000174,0.000195,563,,0.00
20171215,0.000332,0.000536,0.000174,0.000529,109,,0.00
20171214,0.000328,0.000341,0.000324,0.000331,646,,0.00
20171213,0.000346,0.000350,0.000159,0.000329,309,,0.00
20171212,0.000505,0.000522,0.000329,0.000345,216,,0.00
20171211,0.000305,0.000517,0.000162,0.000503,348,,0.00
20171210,0.000150,0.000472,0.000134,0.000307,159,,0.00
20171209,0.000325,0.000330,0.000149,0.000150,157,,0.00
20171208,0.000347,0.000352,0.000153,0.000326,529,,0.00
20171207,0.000412,0.000446,0.000154,0.000346,793,,0.00
20171206,0.000234,0.000413,0.000234,0.000413,139,,0.00
20171205,0.000233,0.000354,0.000230,0.000235,166,,0.00
20171204,0.000225,0.000233,0.000218,0.000233,551,,0.00
20171203,0.000219,0.000354,0.000212,0.000224,41,,0.00
20171202,0.000218,0.000336,0.000215,0.000218,190,,0.00
20171201,0.000200,0.000322,0.000189,0.000218,159,,0.00
20171130,0.000295,0.000319,0.000184,0.000201,252,,0.00
20171129,0.000199,0.000322,0.000199,0.000290,145,,0.00
20171128,0.000195,0.000200,0.000193,0.000199,235,,0.00
20171127,0.000186,0.000292,0.000186,0.000195,391,,0.00
20171126,0.000175,0.000354,0.000175,0.000186,42,,0.00
20171125,0.000164,0.000348,0.000163,0.000175,124,,0.00
20171124,0.000161,0.000167,0.000158,0.000165,26,,0.00
20171123,0.000165,0.000248,0.000161,0.000161,226,,0.00
20171122,0.000243,0.000331,0.000164,0.000165,367,,0.00
20171121,0.000247,0.000330,0.000234,0.000243,378,,0.00
20171120,0.000241,0.000331,0.000238,0.000247,620,,0.00
20171119,0.000156,0.000322,0.000155,0.000241,1059,,0.00
20171118,0.000231,0.000312,0.000155,0.000156,2367,,0.00
20171117,0.000235,0.000321,0.000227,0.000231,903,,0.00
20171116,0.000219,0.000377,0.000214,0.000236,450,,0.00
20171115,0.000198,0.000366,0.000198,0.000218,529,,0.00
20171114,0.000196,0.000336,0.000195,0.000198,486,,0.00
20171113,0.000176,0.000269,0.000176,0.000196,259,,0.00
20171112,0.000254,0.000254,0.000170,0.000176,38,,0.00
20171111,0.000263,0.000336,0.000200,0.000255,82,,0.00
20171110,0.000356,0.000367,0.000213,0.000264,356,,0.00
20171109,0.000299,0.000371,0.000282,0.000355,237,,0.00
20171108,0.000285,0.000377,0.000213,0.000299,210,,0.00
20171107,0.000278,0.000354,0.000210,0.000286,533,,0.00
20171106,0.000370,0.000371,0.000142,0.000279,341,,0.00
20171105,0.000295,0.000449,0.000292,0.000369,525,,0.00
20171104,0.000358,0.000368,0.000282,0.000296,294,,0.00
20171103,0.000351,0.000373,0.000290,0.000359,542,,0.00
20171102,0.000404,0.000426,0.000274,0.000352,701,,0.00
20171101,0.000387,0.000404,0.000318,0.000403,514,,0.00
20171031,0.000306,0.000387,0.000305,0.000387,920,,0.00
20171030,0.000308,0.000370,0.000302,0.000307,924,,0.00
20171029,0.000286,0.000373,0.000286,0.000310,460,,0.00
20171028,0.000288,0.000461,0.000284,0.000287,1918,,0.00
20171027,0.000294,0.000356,0.000285,0.000287,1466,,0.00
20171026,0.000287,0.000410,0.000228,0.000294,1887,,0.00
20171025,0.000331,0.000341,0.000218,0.000287,398,,0.00
20171024,0.000293,0.000402,0.000224,0.000331,255,,0.00
20171023,0.000239,0.000425,0.000227,0.000294,386,,0.00
20171022,0.000421,0.000480,0.000175,0.000240,1636,,0.00
20171021,0.000360,0.000433,0.000303,0.000421,390,,0.00
20171020,0.000399,0.000457,0.000337,0.000361,2712,,0.00
20171019,0.000391,0.000454,0.000336,0.000399,1933,,0.00
20171018,0.000336,0.000499,0.000330,0.000391,2071,,0.00
20171017,0.000405,0.000509,0.000334,0.000336,2944,,0.00
20171016,0.000342,0.000631,0.000335,0.000404,7029,,0.00
20171015,0.000410,0.000411,0.000329,0.000341,564,,0.00
20171014,0.000452,0.000460,0.000337,0.000409,509,,0.00
20171013,0.000381,0.000523,0.000324,0.000452,763,,0.00
20171012,0.000338,0.000436,0.000294,0.000380,1558,,0.00
20171011,0.000333,0.000439,0.000331,0.000338,3139,,0.00
20171010,0.000383,0.000435,0.000286,0.000333,1617,,0.00
20171009,0.000460,0.000462,0.000321,0.000383,2663,,0.00
20171008,0.000489,0.000538,0.000443,0.000460,4162,,0.00
20171007,0.000525,0.000658,0.000478,0.000490,16113,,0.00
20171006,0.000259,0.000828,0.000259,0.000568,67204,,0.00
20171005,0.000253,0.000297,0.000208,0.000259,11859,,0.00
20171004,0.000302,0.000303,0.000252,0.000253,2040,,0.00
20171003,0.000220,0.000310,0.000220,0.000302,4185,,0.00
20171002,0.000352,0.000482,0.000220,0.000220,70909,,0.00
20171001,0.000434,0.000476,0.000301,0.000352,7049,,0.00
20170930,0.000459,0.000685,0.000293,0.000434,41307,,0.00
20170929,0.000336,0.000585,0.000335,0.000459,16514,,0.00
