date,open,high,low,close,volume,marketcap,average
20180110,0.001168,0.001304,0.000337,0.000392,958097,,0.00
20180109,0.001355,0.001666,0.001071,0.001167,146130,,0.00
20180108,0.000977,0.001604,0.000799,0.001359,408983,,0.00
20180107,0.000516,0.000991,0.000337,0.000978,242776,,0.00
20180106,0.000170,0.000518,0.000164,0.000516,56879,,0.00
20180105,0.000152,0.000171,0.000149,0.000170,1629,,0.00
20180104,0.000152,0.000155,0.000144,0.000152,807,,0.00
20180103,0.000148,0.000155,0.000147,0.000151,7761,,0.00
20180102,0.000135,0.000152,0.000130,0.000149,2549,,0.00
20180101,0.000140,0.000140,0.000129,0.000135,173,,0.00
20171231,0.000127,0.000142,0.000126,0.000139,926,,0.00
20171230,0.000145,0.000145,0.000122,0.000129,1386,,0.00
20171229,0.000145,0.000151,0.000141,0.000145,760,,0.00
20171228,0.000155,0.000156,0.000136,0.000143,2741,,0.00
20171227,0.000158,0.000166,0.000147,0.000155,28773,,0.00
20171226,0.000139,0.000161,0.000139,0.000158,12941,,0.00
20171225,0.000141,0.000145,0.000133,0.000139,3439,,0.00
20171224,0.000146,0.000146,0.000126,0.000139,13973,,0.00
20171223,0.000137,0.000157,0.000136,0.000144,4671,,0.00
20171222,0.000157,0.000159,0.000114,0.000136,12416,,0.00
20171221,0.000165,0.000174,0.000151,0.000157,42578,,0.00
20171220,0.000173,0.000178,0.000158,0.000164,34660,,0.00
20171219,0.000382,0.000384,0.000168,0.000174,15608,,0.00
20171218,0.000191,0.000382,0.000183,0.000382,127763,,0.00
20171217,0.000096,0.000200,0.000092,0.000191,111342,,0.00
20171216,0.000007,0.000009,0.000006,0.000006,42,,0.00
20171215,0.000009,0.000009,0.000005,0.000007,55,,0.00
20171214,0.000012,0.000012,0.000009,0.000009,12,,0.00
20171213,0.000026,0.000033,0.000011,0.000012,832,,0.00
20171212,0.000024,0.000038,0.000024,0.000026,108,,0.00
20171211,0.000020,0.000024,0.000014,0.000024,38,,0.00
20171210,0.000017,0.000022,0.000015,0.000021,0,,0.00
20171209,0.000014,0.000019,0.000014,0.000017,33,,0.00
20171208,0.000012,0.000014,0.000009,0.000014,21,,0.00
20171207,0.000012,0.000012,0.000011,0.000012,0,,0.00
20171206,0.000008,0.000012,0.000008,0.000012,92,,0.00
20171205,0.000012,0.000012,0.000008,0.000009,5,,0.00
20171204,0.000012,0.000014,0.000012,0.000012,0,,0.00
20171203,0.000013,0.000014,0.000012,0.000012,197,,0.00
20171202,0.000014,0.000016,0.000013,0.000015,14,,0.00
20171201,0.000011,0.000019,0.000011,0.000014,134,,0.00
20171130,0.000011,0.000015,0.000011,0.000011,35,,0.00
20171129,0.000020,0.000022,0.000010,0.000011,158,,0.00
20171128,0.000011,0.000025,0.000005,0.000020,780,,0.00
20171127,0.000013,0.000013,0.000010,0.000011,5,,0.00
20171126,0.000016,0.000016,0.000011,0.000013,20,,0.00
20171125,0.000017,0.000017,0.000006,0.000016,55,,0.00
20171124,0.000016,0.000017,0.000016,0.000017,405,,0.00
20171123,0.000020,0.000024,0.000012,0.000012,1,1804040,0.00
20171122,0.000011,0.000022,0.000010,0.000021,7,1012850,0.00
20171121,0.000014,0.000014,0.000011,0.000011,6,1246120,0.00
20171120,0.000014,0.000014,0.000013,0.000014,141,1233530,0.00
20171119,0.000013,0.000014,0.000011,0.000014,441,1194460,0.00
20171118,0.000017,0.000022,0.000013,0.000013,117,1537430,0.00
20171117,0.000013,0.000017,0.000013,0.000017,764,1219040,0.00
20171116,0.000002,0.000014,0.000002,0.000013,589,167907,0.00
20171115,0.000012,0.000013,0.000001,0.000002,2193,1104480,0.00
20171114,0.000011,0.000012,0.000010,0.000012,101,988509,0.00
20171113,0.000011,0.000011,0.000010,0.000011,0,986762,0.00
20171112,0.000011,0.000011,0.000010,0.000011,22,1014930,0.00
20171111,0.000011,0.000012,0.000010,0.000011,36,976057,0.00
20171110,0.000011,0.000012,0.000009,0.000010,0,1038640,0.00
20171109,0.000013,0.000015,0.000011,0.000011,76,1214800,0.00
20171108,0.000011,0.000014,0.000011,0.000014,423,988063,0.00
20171107,0.000013,0.000013,0.000011,0.000011,79,1189020,0.00
20171106,0.000010,0.000013,0.000010,0.000013,38,946193,0.00
20171105,0.000012,0.000014,0.000010,0.000010,281,1056900,0.00
20171104,0.000012,0.000012,0.000011,0.000011,46,1055280,0.00
20171103,0.000009,0.000012,0.000009,0.000012,19,790478,0.00
20171102,0.000010,0.000011,0.000008,0.000009,193,908433,0.00
20171101,0.000009,0.000011,0.000008,0.000010,864,849383,0.00
20171031,0.000012,0.000014,0.000009,0.000009,560,1044420,0.00
20171030,0.000017,0.000021,0.000011,0.000012,611,1499620,0.00
20171029,0.000012,0.000018,0.000012,0.000017,167,1095560,0.00
20171028,0.000012,0.000018,0.000012,0.000012,361,1115600,0.00
20171027,0.000013,0.000018,0.000012,0.000012,155,1145720,0.00
20171026,0.000016,0.000016,0.000012,0.000013,0,1473320,0.00
20171025,0.000015,0.000017,0.000014,0.000016,72,1327610,0.00
20171024,0.000012,0.000017,0.000012,0.000015,184,1090010,0.00
20171023,0.000011,0.000012,0.000010,0.000012,75,996835,0.00
20171022,0.000010,0.000015,0.000010,0.000011,96,888872,0.00
20171021,0.000014,0.000015,0.000010,0.000010,432,1253620,0.00
20171020,0.000008,0.000014,0.000007,0.000014,1674,680416,0.00
20171019,0.000010,0.000012,0.000007,0.000008,1843,935740,0.00
20171018,0.000011,0.000014,0.000009,0.000010,3152,1034790,0.00
20171017,0.000011,0.000015,0.000009,0.000012,1736,998735,0.00
20171016,0.000012,0.000012,0.000011,0.000011,1014,1068080,0.00
