date,open,high,low,close,volume,marketcap,average
20180110,0.027748,0.028395,0.023789,0.026997,259228,,0.03
20180109,0.021385,0.029869,0.019767,0.027712,516391,,0.02
20180108,0.023613,0.024189,0.018735,0.021443,175710,,0.02
20180107,0.021159,0.024652,0.020021,0.023646,172234,,0.02
20180106,0.022928,0.023875,0.019852,0.021175,285146,,0.02
20180105,0.022316,0.024552,0.020596,0.022910,246226,,0.02
20180104,0.024641,0.025163,0.021358,0.022312,262540,,0.02
20180103,0.024776,0.025694,0.022955,0.024507,226827,,0.02
20180102,0.022007,0.026265,0.020721,0.024864,215151,,0.02
20180101,0.022370,0.023225,0.020005,0.022009,89912,,0.02
20171231,0.022123,0.024755,0.021013,0.022284,164072,,0.02
20171230,0.024063,0.024071,0.020842,0.022365,128500,,0.02
20171229,0.021412,0.026041,0.020766,0.024124,186387,,0.02
20171228,0.024050,0.024152,0.019303,0.021193,146883,,0.02
20171227,0.024706,0.026431,0.022021,0.024100,137276,,0.02
20171226,0.026048,0.027288,0.022169,0.024688,234621,,0.02
20171225,0.024511,0.026529,0.023216,0.026075,79481,,0.02
20171224,0.026730,0.026730,0.021947,0.024259,165664,,0.02
20171223,0.020960,0.029580,0.020814,0.025282,295602,,0.03
20171222,0.022155,0.022512,0.015910,0.020764,129588,,0.02
20171221,0.024560,0.026254,0.021526,0.022079,159340,,0.02
20171220,0.023785,0.028550,0.021243,0.024496,292670,,0.02
20171219,0.019325,0.026921,0.018406,0.023809,368141,,0.02
20171218,0.020088,0.021544,0.018541,0.019308,329676,,0.02
20171217,0.020840,0.021800,0.015593,0.020028,530686,,0.02
20171216,0.025059,0.025230,0.017773,0.020837,281002,,0.02
20171215,0.023389,0.025869,0.021605,0.025023,431827,,0.02
20171214,0.024563,0.027151,0.022267,0.023353,295505,,0.02
20171213,0.023841,0.025534,0.021899,0.024642,228631,,0.02
20171212,0.023403,0.027629,0.021659,0.023821,257004,,0.02
20171211,0.027292,0.031434,0.018023,0.023496,480394,,0.02
20171210,0.028571,0.031756,0.024921,0.027491,264910,,0.03
20171209,0.031552,0.039907,0.023123,0.028456,686699,,0.03
20171208,0.027942,0.032234,0.025376,0.031584,361874,,0.03
20171207,0.030356,0.033206,0.022533,0.027877,884309,,0.03
20171206,0.025742,0.032299,0.025742,0.030409,323425,,0.03
20171205,0.028907,0.034739,0.025379,0.025799,566466,,0.03
20171204,0.029903,0.031505,0.022430,0.028851,605220,,0.03
20171203,0.031046,0.035488,0.020818,0.030141,451244,,0.03
20171202,0.034830,0.035456,0.029098,0.031016,301821,,0.03
20171201,0.036475,0.038473,0.024883,0.034860,607587,,0.03
20171130,0.041379,0.043648,0.034250,0.036656,429040,,0.04
20171129,0.044080,0.047935,0.034008,0.038236,475437,,0.04
20171128,0.037070,0.054758,0.034952,0.044124,730725,,0.04
20171127,0.043048,0.044724,0.034249,0.036975,351333,,0.04
20171126,0.043906,0.048069,0.037475,0.043040,344334,,0.04
20171125,0.044662,0.047439,0.043564,0.043921,163882,,0.05
20171124,0.040346,0.048248,0.038683,0.044753,269710,,0.04
20171123,0.042023,0.045317,0.037615,0.040401,337413,,0.04
20171122,0.047304,0.049088,0.040292,0.040292,478746,,0.04
20171121,0.053156,0.055351,0.042078,0.047179,503721,,0.05
20171120,0.048260,0.053965,0.045779,0.053146,532150,,0.05
20171119,0.044875,0.049503,0.042524,0.048278,329532,,0.05
20171118,0.053752,0.056981,0.041823,0.045618,485831,,0.05
20171117,0.061737,0.063393,0.051475,0.053958,561244,,0.06
20171116,0.060503,0.063196,0.057329,0.061896,809776,,0.06
20171115,0.060612,0.063910,0.055237,0.061101,754632,,0.06
20171114,0.059640,0.061927,0.056146,0.060571,407693,,0.06
20171113,0.051546,0.061248,0.049518,0.059515,465190,,0.06
20171112,0.058486,0.063145,0.043929,0.051469,375865,,0.05
20171111,0.068844,0.071787,0.042395,0.063085,1058060,,0.06
20171110,0.076631,0.078606,0.067102,0.069091,1336680,,0.07
20171109,0.075623,0.079762,0.067856,0.076436,1480940,,0.07
20171108,0.071002,0.090110,0.066006,0.069257,2158200,,0.08
20171107,0.062389,0.094216,0.061141,0.071224,541489,,0.08
20171106,0.045727,0.070464,0.044920,0.062659,1331650,,0.06
20171105,0.044971,0.051892,0.041181,0.045582,834784,,0.05
20171104,0.035156,0.046664,0.034397,0.045055,808836,,0.04
20171103,0.031234,0.036340,0.029753,0.035302,598735,,0.03
