date,open,high,low,close,volume,marketcap,average
20180110,0.004441,0.006095,0.004294,0.005494,17,,0.01
20180109,0.003919,0.004478,0.003919,0.004439,71,,0.00
20180108,0.003326,0.004025,0.003289,0.003930,1511,,0.00
20180107,0.002007,0.003793,0.002003,0.003296,260,,0.00
20180106,0.001918,0.002011,0.001508,0.002008,314,,0.00
20180105,0.002355,0.002513,0.001852,0.001909,11,,0.00
20180104,0.002349,0.002478,0.002243,0.002364,11,,0.00
20180103,0.000840,0.002366,0.000835,0.002346,11,,0.00
20180102,0.002249,0.002620,0.000803,0.000836,6,,0.00
20180101,0.002208,0.002276,0.002158,0.002244,98,,0.00
20171231,0.000398,0.002436,0.000395,0.002211,548,,0.00
20171230,0.002765,0.002765,0.000380,0.000401,56,,0.00
20171229,0.002394,0.002819,0.002369,0.002766,345,,0.00
20171228,0.000444,0.002406,0.000414,0.002379,518,,0.00
20171227,0.000452,0.002569,0.000186,0.000445,42,,0.00
20171226,0.003920,0.004084,0.000076,0.000451,333,,0.00
20171225,0.003854,0.004066,0.001411,0.003918,28,,0.00
20171224,0.004066,0.004066,0.003471,0.003835,3,,0.00
20171223,0.003267,0.004480,0.001175,0.004019,273,,0.00
20171222,0.001041,0.003477,0.000745,0.003240,60,,0.00
20171221,0.003199,0.003365,0.003175,0.003263,228,,0.00
20171220,0.004564,0.004565,0.001148,0.003196,224,,0.00
20171219,0.001336,0.004995,0.000995,0.004569,220,,0.00
20171218,0.002514,0.004741,0.001336,0.001340,196,,0.00
20171217,0.001039,0.003066,0.001039,0.002517,16,,0.00
20171216,0.000960,0.002901,0.000960,0.001036,39,,0.00
20171215,0.002638,0.006259,0.000952,0.000958,182,,0.00
20171214,0.002594,0.002759,0.002443,0.002636,38,,0.00
20171213,0.003007,0.003074,0.002330,0.002596,4,,0.00
20171212,0.002340,0.003026,0.002279,0.003005,79,,0.00
20171211,0.001927,0.002355,0.001925,0.002355,34,,0.00
20171210,0.001810,0.002011,0.001781,0.001925,49,,0.00
20171208,0.002958,0.003236,0.002885,0.003147,82,,0.00
20171207,0.002117,0.003275,0.002084,0.002954,77,,0.00
20171206,0.001699,0.002239,0.001666,0.002124,82,,0.00
20171205,0.001742,0.001747,0.001687,0.001702,87,,0.00
20171204,0.001730,0.001762,0.001673,0.001742,17,,0.00
20171203,0.001849,0.001863,0.001671,0.001727,49,,0.00
20171202,0.003649,0.003712,0.001711,0.001849,194,,0.00
20171201,0.003490,0.003687,0.001397,0.003649,170,,0.00
20171130,0.002658,0.003606,0.001276,0.003499,105,,0.00
20171129,0.002429,0.004132,0.002410,0.002625,131,,0.00
20171128,0.001235,0.003167,0.001227,0.002427,1095,,0.00
20171127,0.002353,0.002568,0.001236,0.001237,344,,0.00
20171126,0.002324,0.002353,0.001244,0.002353,278,,0.00
20171125,0.002350,0.004494,0.001074,0.002324,503,,0.00
20171124,0.001507,0.002919,0.000623,0.002350,1532,,0.00
20171123,0.001035,0.002162,0.001035,0.001514,2622,,0.00
20171122,0.001781,0.001781,0.000339,0.001032,2706,,0.00
20171121,0.038891,0.039477,0.017002,0.017092,58003,,0.03
20171120,0.049463,0.058766,0.038952,0.038952,95040,,0.05
