date,open,high,low,close,volume,marketcap,average
20180110,0.000137,0.000145,0.000087,0.000130,7482,4892350,0.00
20180109,0.000159,0.000159,0.000124,0.000137,11959,5683070,0.00
20180108,0.000164,0.000167,0.000128,0.000159,27461,5840430,0.00
20180107,0.000158,0.000176,0.000125,0.000164,57443,5597530,0.00
20180106,0.000121,0.000157,0.000121,0.000146,22892,4276840,0.00
20180105,0.000083,0.000123,0.000078,0.000118,72397,2936870,0.00
20180104,0.000063,0.000089,0.000061,0.000083,50584,2224470,0.00
20180103,0.000046,0.000087,0.000046,0.000062,31404,1632100,0.00
20180102,0.000045,0.000055,0.000039,0.000049,17270,1588960,0.00
20180101,0.000045,0.000056,0.000032,0.000045,13109,1589760,0.00
20171231,0.000029,0.000049,0.000028,0.000045,7753,1037870,0.00
20171230,0.000046,0.000046,0.000027,0.000030,8076,1600110,0.00
20171229,0.000047,0.000055,0.000039,0.000046,11335,1640450,0.00
20171228,0.000029,0.000047,0.000027,0.000046,26482,996408,0.00
20171227,0.000029,0.000031,0.000022,0.000029,4030,1008790,0.00
20171226,0.000017,0.000047,0.000017,0.000029,10008,602518,0.00
20171225,0.000015,0.000019,0.000013,0.000017,3887,534231,0.00
20171224,0.000015,0.000016,0.000013,0.000013,1075,512258,0.00
20171223,0.000012,0.000015,0.000010,0.000015,2511,411228,0.00
20171222,0.000015,0.000016,0.000011,0.000012,1214,527778,0.00
20171221,0.000012,0.000015,0.000010,0.000015,1462,422810,0.00
20171220,0.000019,0.000019,0.000009,0.000012,1782,651369,0.00
20171219,0.000029,0.000031,0.000014,0.000018,2355,984505,0.00
20171218,0.000043,0.000068,0.000017,0.000029,2166,1470690,0.00
20171217,0.000014,0.000047,0.000013,0.000043,4004,477929,0.00
20171216,0.000024,0.000024,0.000013,0.000014,5181,806766,0.00
20171215,0.000045,0.000059,0.000023,0.000024,1582,1524020,0.00
20171214,0.000021,0.000045,0.000015,0.000044,560,706111,0.00
20171213,0.000045,0.000048,0.000020,0.000021,1917,1551290,0.00
20171212,0.000016,0.000050,0.000013,0.000045,3263,543084,0.00
20171211,0.000120,0.000133,0.000014,0.000016,7653,4071900,0.00
20171210,0.000027,0.000125,0.000011,0.000120,5428,907132,0.00
20171209,0.000081,0.000102,0.000026,0.000027,3537,2742420,0.00
20171208,0.000061,0.000103,0.000041,0.000081,3787,2085910,0.00
20171207,0.000010,0.000061,0.000008,0.000061,1076,326413,0.00
20171206,0.000025,0.000046,0.000010,0.000010,1057,851102,0.00
20171205,0.000020,0.000042,0.000019,0.000025,1514,688301,0.00
20171204,0.000022,0.000031,0.000005,0.000020,1648,754785,0.00
20171203,0.000014,0.000027,0.000012,0.000023,329,461990,0.00
20171202,0.000017,0.000034,0.000014,0.000014,225,561357,0.00
20171201,0.000011,0.000022,0.000011,0.000017,307,353504,0.00
20171130,0.000017,0.000017,0.000005,0.000011,488,554902,0.00
20171129,0.000009,0.000018,0.000008,0.000016,645,314534,0.00
20171128,0.000016,0.000028,0.000009,0.000009,413,534591,0.00
20171127,0.000021,0.000026,0.000016,0.000016,594,713713,0.00
20171126,0.000014,0.000021,0.000007,0.000021,382,452860,0.00
20171125,0.000014,0.000026,0.000010,0.000014,190,452852,0.00
20171124,0.000008,0.000016,0.000008,0.000014,183,270021,0.00
20171123,0.000013,0.000013,0.000007,0.000008,581,419984,0.00
20171122,0.000042,0.000043,0.000007,0.000013,515,1397930,0.00
20171121,0.000018,0.000052,0.000015,0.000041,389,607268,0.00
20171120,0.000008,0.000025,0.000008,0.000018,185,250353,0.00
20171119,0.000014,0.000014,0.000007,0.000008,251,465744,0.00
20171118,0.000005,0.000017,0.000005,0.000014,246,164687,0.00
20171117,0.000012,0.000013,0.000005,0.000005,509,378922,0.00
20171116,0.000015,0.000025,0.000008,0.000012,133,493481,0.00
20171115,0.000014,0.000016,0.000007,0.000015,699,462981,0.00
20171114,0.000027,0.000042,0.000014,0.000014,367,878028,0.00
20171113,0.000014,0.000027,0.000006,0.000027,205,442561,0.00
20171112,0.000022,0.000022,0.000005,0.000014,271,705694,0.00
20171111,0.000010,0.000027,0.000010,0.000022,296,317211,0.00
20171110,0.000014,0.000017,0.000008,0.000010,691,452026,0.00
20171109,0.000019,0.000023,0.000008,0.000014,2322,614940,0.00
20171108,0.000038,0.000039,0.000015,0.000019,482,1207980,0.00
20171107,0.000036,0.000038,0.000017,0.000038,387,1166940,0.00
20171106,0.000041,0.000059,0.000028,0.000036,596,1320990,0.00
20171105,0.000007,0.000041,0.000007,0.000041,81,236502,0.00
20171104,0.000009,0.000009,0.000007,0.000007,130,276506,0.00
20171103,0.000009,0.000015,0.000007,0.000009,1174,292358,0.00
20171102,0.000009,0.000009,0.000006,0.000009,143,275554,0.00
20171101,0.000017,0.000022,0.000007,0.000009,487,541499,0.00
20171031,0.000010,0.000018,0.000008,0.000017,184,306547,0.00
20171030,0.000041,0.000041,0.000007,0.000010,874,1273650,0.00
20171029,0.000015,0.000041,0.000015,0.000041,646,453031,0.00
