date,open,high,low,close,volume,marketcap,average
20180110,2.56,2.58,2.12,2.35,217586,4284290,2.35
20180109,2.51,2.71,2.31,2.51,545698,4204050,2.51
20180108,2.46,2.63,2.20,2.52,470995,4109680,2.42
20180107,2.70,2.93,2.39,2.46,816907,4524830,2.66
20180106,2.63,3.24,2.59,2.71,942363,4398600,2.92
20180105,2.16,3.81,1.99,2.57,3081340,3621680,2.90
20180104,2.05,2.19,1.89,2.19,230549,3432310,2.04
20180103,1.82,2.23,1.70,2.04,371756,3037850,1.96
20180102,1.82,2.15,1.67,1.82,1073980,3041820,1.91
20180101,1.43,1.84,1.37,1.82,328347,2390520,1.60
20171231,1.28,1.51,1.26,1.42,133769,2135340,1.39
20171230,1.46,1.50,1.19,1.27,113046,2449930,1.34
20171229,1.50,1.68,1.45,1.47,296605,2518010,1.56
20171228,1.59,1.59,1.22,1.48,459695,2654360,1.41
20171227,1.56,1.79,1.43,1.56,313777,2616430,1.61
20171226,1.52,1.75,1.42,1.55,311985,2540110,1.58
20171225,1.18,1.94,1.11,1.49,1024710,1975600,1.52
20171224,1.15,1.18,0.993865,1.15,68959,1929970,1.09
20171223,0.978737,1.33,0.971885,1.12,298908,1637800,1.15
20171222,1.06,1.11,0.710787,0.966865,96457,1772900,0.91
20171221,1.00,1.26,0.999745,1.05,217198,1675300,1.13
20171220,0.999218,1.05,0.889527,0.998533,75373,1672070,0.97
20171219,1.03,1.10,0.967125,1.00,102210,1728920,1.03
20171218,0.954874,1.09,0.918004,1.03,835975,1597870,1.00
20171217,0.958480,1.01,0.900095,0.951991,44725,1603910,0.96
20171216,0.883450,0.988980,0.861956,0.958354,85541,1478350,0.93
20171215,0.917938,1.01,0.777908,0.882212,224025,1536060,0.89
20171214,0.793606,1.01,0.787584,0.916561,276078,1328010,0.90
20171213,0.790447,0.867922,0.749491,0.796471,55335,1322720,0.81
20171212,0.749206,0.945757,0.710903,0.808921,210770,1253710,0.83
20171211,0.701463,0.899813,0.672460,0.746808,174527,1173820,0.79
20171210,0.817914,0.818783,0.667099,0.706565,28519,1368680,0.74
20171209,0.796010,0.875648,0.731781,0.808102,37161,1332030,0.80
20171208,0.902048,0.902048,0.698578,0.796811,45552,1509470,0.80
20171207,0.912650,0.966140,0.785309,0.899932,73573,1527210,0.88
20171206,0.880854,0.947395,0.813216,0.914219,91996,1474010,0.88
20171205,0.838186,0.889300,0.805879,0.882810,64701,1402610,0.85
20171204,0.758841,0.836542,0.744563,0.836542,45362,1269830,0.79
20171203,0.760678,0.828748,0.711575,0.741904,35803,1272910,0.77
20171202,0.827544,0.827544,0.732350,0.759952,47992,1384800,0.78
20171201,0.676435,0.838746,0.648779,0.815656,419877,1131930,0.74
20171130,0.665205,0.743955,0.602268,0.679805,57336,1113140,0.67
20171129,0.782228,0.863041,0.655279,0.655279,41849,1308970,0.76
20171128,0.766868,0.803296,0.746938,0.783008,40539,1283260,0.78
20171127,0.749255,0.782961,0.737552,0.764889,52688,1253790,0.76
20171126,0.723442,0.760110,0.712574,0.749106,16850,1210600,0.74
