date,open,high,low,close,volume,marketcap,average
20180110,10.64,11.59,9.59,10.81,194322,14507600,10.59
20180109,10.99,13.62,10.09,10.44,288978,14748200,11.86
20180108,11.55,12.10,9.54,11.02,299797,15440300,10.82
20180107,10.69,13.24,9.74,11.26,313559,14139800,11.49
20180106,9.67,11.01,9.02,10.08,264180,12670600,10.02
20180105,8.45,9.92,7.89,9.67,230679,10952500,8.90
20180104,8.57,9.34,7.52,8.45,287234,10996800,8.43
20180103,7.24,14.15,6.08,8.53,438904,9191590,10.12
20180102,5.45,7.52,5.06,7.27,334480,6844770,6.29
20180101,5.85,6.19,5.42,5.45,150883,7260290,5.80
20171231,5.62,6.43,5.19,5.83,131203,6896430,5.81
20171230,5.91,6.59,4.83,5.68,192357,7174700,5.71
20171229,4.93,6.23,4.86,5.94,236938,5918540,5.54
20171228,5.16,5.47,4.36,4.87,110424,6119320,4.92
20171227,4.60,5.31,4.46,4.76,152100,5401420,4.88
20171226,4.02,4.92,4.02,4.60,138086,4664050,4.47
20171225,4.00,4.22,3.73,4.07,118217,4577580,3.97
20171224,4.05,4.17,3.46,3.96,83759,4587420,3.81
20171223,3.70,4.45,3.66,4.01,77684,4132030,4.05
20171222,4.43,4.47,3.12,3.82,93624,4890090,3.79
20171221,4.86,5.19,4.21,4.41,139178,5306050,4.70
20171220,4.93,4.93,4.25,4.61,122478,5311460,4.59
20171219,5.15,5.24,4.76,4.94,105712,5479280,5.00
20171218,5.26,5.33,4.98,5.15,148884,5517890,5.16
20171217,5.35,5.79,5.16,5.20,139807,5545720,5.47
20171216,4.95,6.12,4.77,5.36,135167,5059380,5.45
20171215,4.73,5.12,4.61,4.81,114327,4767570,4.87
20171214,4.82,5.20,4.43,4.72,156122,4799000,4.81
20171213,4.61,5.49,4.36,4.84,121576,4518550,4.93
20171212,4.35,5.16,4.21,4.60,111906,4205440,4.69
20171211,3.98,5.17,3.93,4.33,109927,3796500,4.55
20171210,3.88,4.33,3.37,4.01,72599,3645540,3.85
20171209,3.73,4.59,3.57,3.86,115701,3454450,4.08
20171208,4.55,4.60,2.56,3.73,127059,4154520,3.58
20171207,3.77,4.76,3.37,4.61,123745,3391110,4.06
20171206,3.96,4.48,3.56,3.78,99087,3506740,4.02
20171205,4.19,4.69,3.97,3.97,99369,3655500,4.33
20171204,4.64,5.02,3.87,4.18,91105,3989510,4.45
20171203,4.00,4.51,3.69,4.51,157982,3381600,4.10
20171202,3.72,4.09,3.63,3.99,108372,3097450,3.86
20171201,3.72,4.04,3.47,3.72,97781,3050680,3.75
20171130,3.27,3.99,3.25,3.78,94320,2633500,3.62
20171129,4.47,4.55,3.21,3.22,157218,3539830,3.88
20171128,2.55,4.54,2.42,4.54,173648,1983740,3.48
20171127,2.36,2.76,1.95,2.54,172121,1804550,2.35
20171126,2.66,3.00,1.82,2.36,128997,2000850,2.41
20171125,3.26,3.27,2.19,2.66,144130,2407710,2.73
20171124,3.29,3.47,2.85,3.27,177461,2385780,3.16
20171123,3.63,3.65,3.22,3.22,117032,2581910,3.44
20171122,3.25,3.82,3.15,3.63,146828,2267120,3.48
20171121,3.82,3.87,3.07,3.24,136375,2615540,3.47
20171120,3.22,3.91,2.92,3.68,158414,2158150,3.42
20171119,3.88,3.99,3.08,3.22,97817,2550610,3.54
20171118,3.90,4.31,3.49,3.84,134012,2537240,3.90
20171117,4.42,4.68,3.85,3.88,77591,2797090,4.26
20171116,4.09,4.85,3.93,4.43,87832,2540270,4.39
20171115,4.09,4.63,4.05,4.14,143699,2459160,4.34
20171114,3.80,4.28,3.69,4.11,130634,2239190,3.99
20171113,3.07,4.43,3.00,3.79,103825,1751340,3.71
20171112,3.41,3.90,2.76,3.07,83628,1917080,3.33
20171111,4.60,4.73,3.41,3.41,108495,2506280,4.07
20171110,3.82,4.86,3.82,4.48,186276,2049350,4.34
20171109,3.89,4.32,3.47,3.81,151818,,3.90
20171108,3.86,3.89,3.55,3.89,160993,,3.72
