date,open,high,low,close,volume,marketcap,average
20180110,876.26,1199.87,843.93,1199.87,221,,1021.90
20180109,1355.39,1388.56,862.82,875.12,1112,,1125.69
20180108,1628.47,1634.58,180.19,1359.09,616,,907.38
20180107,334.10,1651.54,324.53,1630.76,568,,988.03
20180106,1698.38,1709.64,1652.41,1671.35,523,,1681.03
20180105,1516.77,1711.40,1493.33,1697.03,531,,1602.37
20180104,1521.06,1545.54,1436.70,1463.38,599,,1491.12
20180103,1483.56,1546.17,1467.18,1512.77,620,,1506.68
20180102,1385.93,1520.01,1383.31,1488.84,600,,1451.66
20180101,1398.12,1399.07,1291.14,1368.45,707,,1345.11
20171231,1404.90,1405.59,1392.73,1392.73,720,,1399.16
20171230,1449.57,1450.05,1217.33,1234.33,207,,1333.69
20171229,1446.75,1512.56,1412.65,1453.22,244,,1462.61
20171228,1551.59,1558.16,1362.60,1431.93,1337,,1460.38
20171227,1583.70,1655.90,554.37,1554.85,1535,,1105.13
20171226,1410.35,1613.95,1387.26,1582.55,1207,,1500.61
20171225,1782.12,1834.00,1678.33,1744.83,799,,1756.16
20171224,1847.85,1847.85,1589.81,1763.81,808,,1718.83
20171223,1744.52,1980.86,1720.00,1827.66,837,,1850.43
20171222,1987.84,2007.43,1448.01,1728.20,792,,1727.72
20171221,2085.28,2199.56,1916.22,1980.98,907,,2057.89
20171220,2228.93,2256.35,1994.34,2079.84,953,,2125.34
20171219,2420.57,2429.24,2157.17,2231.13,1022,,2293.20
20171218,2458.45,2479.38,2348.18,2418.52,1108,,2413.78
20171217,2531.57,2595.41,2100.00,2451.02,1282,,2347.70
20171216,2449.38,2635.37,2418.45,2531.25,1340,,2526.91
20171215,2305.68,2512.37,2305.24,2445.95,1293,,2408.80
20171214,2276.17,2371.84,2250.45,2302.22,2764,,2311.14
20171213,2416.91,2448.99,2229.45,2283.50,2808,,2339.22
20171212,2355.45,2484.44,2300.23,2414.89,1544,,2392.34
20171211,2133.05,2448.83,2123.73,2347.91,1501,,2286.28
20171210,2105.24,2206.62,1853.34,2148.56,1374,,2029.98
20171209,2276.93,2310.67,1896.17,2096.74,2052,,2103.42
20171208,2599.83,2638.61,1971.47,2279.23,2214,,2305.04
20171207,2197.74,2593.73,2120.29,2593.73,2472,,2357.01
20171206,2211.44,2324.72,1949.82,2201.52,2420,,2137.27
20171205,2203.03,2252.33,2172.27,2216.36,12,,2212.30
20171204,2124.69,2198.71,2107.37,2198.71,2468,,2153.04
20171203,2058.11,2237.19,2001.18,2117.67,1244,,2119.18
20171202,2176.86,2238.97,2145.55,2188.56,2481,,2192.26
20171201,1998.61,2191.43,1892.12,2178.71,2471,,2041.77
20171130,2752.03,2993.57,1898.55,2008.57,2355,,2446.06
20171129,2963.48,3244.57,2546.04,2710.40,2011,,2895.31
20171128,2911.98,2978.93,2883.84,2966.44,1,,2931.39
20171127,2781.70,2909.37,1195.00,2904.46,1267,,2052.18
20171126,2611.12,2840.78,1161.90,2781.17,1612,,2001.34
20171125,2451.00,2611.99,2437.16,2611.99,1232,,2524.57
20171124,2399.38,2489.51,2353.62,2455.97,2817,,2421.57
20171123,2455.55,2467.54,2402.66,2402.66,2756,,2435.10
20171122,2422.46,2477.90,2412.23,2456.33,2818,,2445.07
20171121,2461.72,2500.15,2328.72,2416.59,1363,,2414.43
20171120,2453.32,2474.71,2442.56,2461.26,1317,,2458.64
20171119,2327.12,2424.16,2300.09,2404.83,1286,,2362.12
20171118,2297.18,2349.38,2226.98,2331.44,1247,,2288.18
20171117,2344.38,2399.56,2261.40,2306.02,1238,,2330.48
20171116,2182.52,2391.61,2133.64,2348.23,2237,,2262.62
20171115,1975.88,2188.74,1975.88,2171.14,2042,,2082.31
20171114,1951.75,2008.57,1920.59,1974.52,1717,,1964.58
20171113,1928.98,1958.88,1928.98,1947.62,1042,,1943.93
20171111,1964.90,2035.18,1867.82,1868.04,2509,,1951.50
20171110,2130.60,2192.08,1928.05,1971.91,2649,,2060.07
