date,open,high,low,close,volume,marketcap,average
20180110,0.261274,0.261851,0.168239,0.184780,4,395491,0.22
20180109,0.269421,0.275771,0.180286,0.260932,274,407824,0.23
20180108,0.291338,0.292430,0.254806,0.270157,8,440999,0.27
20180107,0.307925,0.307925,0.192711,0.291746,345,466108,0.25
20180106,0.204827,0.311740,0.197659,0.308152,804,310047,0.25
20180105,0.183085,0.206397,0.180098,0.204664,21,277136,0.19
20180104,0.180096,0.216497,0.170107,0.183048,197,272611,0.19
20180103,0.169721,0.299464,0.167847,0.179114,75,256907,0.23
20180102,0.152971,0.303424,0.147691,0.170326,723,231553,0.23
20180101,0.112130,0.300977,0.108036,0.152983,11909,169732,0.20
20171231,0.098664,0.150583,0.097684,0.111698,488,149349,0.12
20171230,0.289046,0.289143,0.094587,0.099870,342,437530,0.19
20171229,0.111834,0.325310,0.110274,0.289775,3399,169284,0.22
20171228,0.153763,0.154414,0.105329,0.110688,2,232751,0.13
20171227,0.122103,0.194931,0.114533,0.154086,855,184828,0.15
20171226,0.111576,0.146072,0.111120,0.122015,187,168894,0.13
20171225,0.111948,0.113451,0.109489,0.111691,3,169456,0.11
20171224,0.112615,0.112615,0.096890,0.103031,6,170466,0.10
20171223,0.107492,0.120722,0.104960,0.111386,225,162711,0.11
20171222,0.121305,0.122500,0.088362,0.102198,9,183619,0.11
20171221,0.127251,0.134845,0.116934,0.120886,34,192620,0.13
20171220,0.141126,0.142862,0.121701,0.126918,30,213623,0.13
20171219,0.154982,0.155537,0.137946,0.141265,59,234596,0.15
20171218,0.191319,0.191319,0.151784,0.154850,185,289600,0.17
20171217,0.272479,0.276374,0.170801,0.190741,21,412452,0.22
20171216,0.230468,0.274597,0.227209,0.272444,706,348860,0.25
20171215,0.381516,0.381516,0.228866,0.230145,404,577502,0.31
20171214,0.229093,0.390414,0.161812,0.380943,4142,346779,0.28
20171213,0.069449,0.251567,0.069046,0.229831,10491,105126,0.16
20171212,0.132504,0.134384,0.067205,0.069391,2,200573,0.10
20171211,0.083128,0.137758,0.082368,0.132080,537,125832,0.11
20171208,0.126521,0.128408,0.102657,0.110585,2,191515,0.12
20171207,0.102058,0.126224,0.100752,0.126224,238,154485,0.11
20171206,0.086937,0.102377,0.086937,0.102233,3,131597,0.09
20171205,0.087270,0.087760,0.086974,0.087130,3,132101,0.09
20171128,0.072482,0.074149,0.071782,0.073837,4,109717,0.07
20171127,0.071788,0.072418,0.071385,0.072295,4,108665,0.07
20171126,0.064985,0.070701,0.064912,0.069586,1,98368,0.07
20171125,0.064614,0.065007,0.064367,0.065007,1,97807,0.06
20171124,0.059635,0.059941,0.058965,0.058965,1,90270,0.06
20171123,0.066624,0.066949,0.059716,0.059716,1,100849,0.06
20171122,0.063858,0.067228,0.063588,0.066645,946,96662,0.07
20171121,0.061069,0.065873,0.057770,0.063703,7,92441,0.06
20171120,0.063301,0.064158,0.060252,0.061058,4,95820,0.06
20171119,0.057373,0.063839,0.057031,0.063331,3,86846,0.06
20171112,0.047136,0.047686,0.041029,0.045493,2,71351,0.04
20171111,0.048720,0.051189,0.046177,0.047171,3,73747,0.05
20171110,0.052825,0.054349,0.047806,0.048894,3,79961,0.05
20171109,0.053222,0.053628,0.052493,0.052669,2,80562,0.05
