date,open,high,low,close,volume,marketcap,average
20180110,3.26,3.28,2.37,2.76,1893910,116775000,2.83
20180109,2.50,4.49,2.48,3.25,3468920,89411000,3.49
20180108,2.01,2.67,1.94,2.49,1385160,71967400,2.30
20180107,2.00,2.12,1.86,2.01,838526,71571000,1.99
20180106,1.89,2.17,1.77,1.96,912172,67738200,1.97
20180105,1.67,1.99,1.54,1.86,1597990,59751100,1.77
20180104,1.23,1.83,1.21,1.64,1678620,44159600,1.52
20180103,1.06,1.27,1.01,1.23,663709,37788300,1.14
20180102,0.982608,1.18,0.945340,1.06,994562,35156600,1.06
20180101,0.700779,1.07,0.638661,0.984843,1385780,25073100,0.85
20171231,0.487864,0.806326,0.476703,0.695590,419202,17455200,0.64
20171230,0.530079,0.546278,0.485861,0.492827,273910,18965600,0.52
20171229,0.475476,0.544778,0.461067,0.530692,168979,17012000,0.50
20171228,0.521138,0.545398,0.437112,0.467368,117228,18645700,0.49
20171227,0.606944,0.629289,0.496839,0.521850,236768,21715700,0.56
20171226,0.511136,0.608843,0.502371,0.606048,214859,18287900,0.56
20171225,0.478111,0.545476,0.442308,0.511614,202757,17106300,0.49
20171224,0.497049,0.503093,0.383416,0.476624,362155,17783800,0.44
20171223,0.468773,0.577140,0.458113,0.496710,217654,16772100,0.52
20171222,0.600582,0.608292,0.391798,0.441863,218353,21488100,0.50
20171221,0.675688,0.703754,0.548464,0.598677,294963,24175300,0.63
20171220,0.769127,0.769127,0.604138,0.664655,499684,27518500,0.69
20171219,0.759524,0.899880,0.725448,0.769940,426264,27174900,0.81
20171218,0.819340,0.820410,0.710256,0.759929,474625,29315000,0.77
20171217,0.786698,0.852326,0.733978,0.804363,359816,28147100,0.79
20171216,0.840031,0.872354,0.744428,0.789335,355043,30055400,0.81
20171215,0.916873,0.924093,0.718574,0.843219,811702,32804700,0.82
20171214,0.825929,0.957577,0.816865,0.908976,617783,29550800,0.89
20171213,0.647688,0.852691,0.639140,0.830020,480978,23173500,0.75
20171212,0.600092,0.729660,0.591468,0.647206,390153,21470600,0.66
20171211,0.562293,0.644349,0.512110,0.611928,396059,20118200,0.58
20171210,0.461200,0.589394,0.403234,0.566692,199832,16501200,0.50
