date,open,high,low,close,volume,marketcap,average
20180110,0.000584,0.000750,0.000553,0.000750,1954,61934,0.00
20180109,0.000452,0.000755,0.000444,0.000583,859,47899,0.00
20180108,0.000651,0.000654,0.000453,0.000453,1674,69061,0.00
20180107,0.000516,0.000687,0.000491,0.000652,1558,54714,0.00
20180106,0.000510,0.000690,0.000494,0.000516,1193,54019,0.00
20180105,0.000455,0.000659,0.000317,0.000509,461,48285,0.00
20180104,0.000456,0.000606,0.000431,0.000455,210,48379,0.00
20180103,0.000445,0.000606,0.000440,0.000454,760,47186,0.00
20180102,0.000405,0.000456,0.000391,0.000447,67,42942,0.00
20180101,0.000419,0.000420,0.000387,0.000405,113,44469,0.00
20171231,0.000254,0.000427,0.000252,0.000418,121,26960,0.00
20171230,0.000435,0.000435,0.000257,0.000257,93,46105,0.00
20171229,0.000289,0.000440,0.000283,0.000436,59,30677,0.00
20171228,0.000310,0.000437,0.000273,0.000286,26,32900,0.00
20171227,0.000317,0.000497,0.000294,0.000311,696,33594,0.00
20171226,0.000279,0.000323,0.000277,0.000318,3,29536,0.00
20171225,0.000423,0.000435,0.000273,0.000279,24,44805,0.00
20171224,0.000292,0.000428,0.000271,0.000418,28,30971,0.00
20171223,0.000276,0.000470,0.000272,0.000289,266,29239,0.00
20171222,0.000314,0.000435,0.000255,0.000273,136,33318,0.00
20171221,0.000494,0.000522,0.000303,0.000313,7,52426,0.00
20171220,0.000352,0.000505,0.000167,0.000493,169,37359,0.00
20171219,0.000383,0.000550,0.000341,0.000353,1144,40571,0.00
20171218,0.000383,0.000383,0.000185,0.000382,399,40567,0.00
20171217,0.000390,0.000399,0.000377,0.000381,9,41298,0.00
20171216,0.000353,0.000393,0.000177,0.000389,204,37418,0.00
20171215,0.000332,0.000361,0.000177,0.000352,196,35172,0.00
20171214,0.000328,0.000341,0.000165,0.000331,65,34722,0.00
20171213,0.000173,0.000348,0.000163,0.000329,287,18316,0.00
20171212,0.000169,0.000178,0.000167,0.000173,383,17879,0.00
20171211,0.000152,0.000169,0.000152,0.000166,2,16165,0.00
20171210,0.000150,0.000158,0.000132,0.000154,2,15943,0.00
