date,open,high,low,close,volume,marketcap,average
20180110,0.013142,0.013171,0.005892,0.007628,740,2579690,0.01
20180109,0.011275,0.017731,0.011238,0.013125,2368,2213340,0.01
20180108,0.014504,0.015199,0.007296,0.011306,2024,2847030,0.01
20180107,0.024438,0.048925,0.014524,0.014524,4180,4797100,0.03
20180106,0.018981,0.032663,0.010882,0.024456,5532,3726000,0.02
20180105,0.005749,0.019003,0.004816,0.018966,4707,1128460,0.01
20180104,0.014457,0.032024,0.004651,0.005748,13261,2837860,0.02
20180103,0.026775,0.037340,0.009409,0.014378,6965,5255800,0.02
20180102,0.013157,0.041799,0.008464,0.026870,4505,2582640,0.03
20180101,0.009287,0.024111,0.007734,0.013158,3042,1822990,0.02
20171231,0.015625,0.017557,0.008587,0.009216,3167,3067070,0.01
20171230,0.018608,0.025361,0.013707,0.015855,4451,3652770,0.02
20171229,0.020761,0.029398,0.015728,0.018655,11587,4075360,0.02
20171228,0.047914,0.054018,0.016416,0.020553,32491,9405390,0.04
20171227,0.042308,0.094801,0.025343,0.048019,93628,8304990,0.06
20171226,0.001254,0.058522,0.001249,0.042276,32530,246093,0.03
20171225,0.003411,0.003411,0.001230,0.001255,84,669506,0.00
20171224,0.003390,0.003507,0.003390,0.003410,305,665517,0.00
20171223,0.003306,0.003403,0.003271,0.003390,301,649005,0.00
20171222,0.003195,0.003576,0.003188,0.003318,224,627157,0.00
20171221,0.003197,0.003275,0.003177,0.003197,262,627614,0.00
20171220,0.003365,0.003376,0.003063,0.003198,282,660563,0.00
20171219,0.004589,0.007484,0.002507,0.003365,309,900758,0.00
20171218,0.001822,0.007222,0.001233,0.004587,1012,357645,0.00
20171217,0.003509,0.025455,0.001816,0.001820,1467,688865,0.01
20171216,0.001941,0.003536,0.001917,0.003509,15204,381044,0.00
20171215,0.002020,0.002148,0.001416,0.001938,1392,396483,0.00
20171214,0.001476,0.002687,0.001459,0.002017,2161,289715,0.00
20171213,0.001385,0.001495,0.001275,0.001481,1742,271953,0.00
20171212,0.001350,0.001424,0.001316,0.001384,3557,265011,0.00
20171211,0.001232,0.001411,0.001226,0.001346,3457,241772,0.00
20171210,0.001505,0.001505,0.001107,0.001241,3185,295402,0.00
20171209,0.001626,0.001650,0.001290,0.001499,2133,319256,0.00
20171208,0.001414,0.001628,0.001325,0.001628,1482,277501,0.00
20171207,0.001511,0.002070,0.001381,0.001410,1504,296596,0.00
20171206,0.001170,0.001516,0.000891,0.001514,1648,229684,0.00
20171205,0.001282,0.001311,0.001161,0.001173,1173,251691,0.00
20171204,0.000787,0.001280,0.000786,0.001280,1205,154472,0.00
