date,open,high,low,close,volume,marketcap,average
20180110,0.101880,0.114615,0.075678,0.112298,16291,2516460,0.10
20180109,0.116971,0.152409,0.078002,0.108385,28472,2889200,0.12
20180108,0.091494,0.151332,0.058078,0.117290,10241,2259930,0.10
20180107,0.089703,0.103987,0.050061,0.091373,5273,2215680,0.08
20180106,0.072916,0.089769,0.050405,0.089769,4093,1801030,0.07
20180105,0.075922,0.081161,0.063775,0.072861,2418,1875280,0.07
20180104,0.072694,0.080742,0.057569,0.075907,3704,1795550,0.07
20180103,0.058615,0.074154,0.048939,0.072318,4484,1447800,0.06
20180102,0.057541,0.072177,0.054531,0.058761,2531,1421270,0.06
20180101,0.062022,0.062022,0.056048,0.057597,572,1531950,0.06
20171231,0.074067,0.076362,0.044044,0.061852,1776,1829480,0.06
20171230,0.062404,0.075720,0.040194,0.074635,886,1541400,0.06
20171229,0.052240,0.083392,0.044951,0.062558,1705,1290340,0.06
20171228,0.057048,0.058119,0.043377,0.051714,5751,1409100,0.05
20171227,0.053841,0.142935,0.041303,0.057157,13504,1329890,0.09
20171226,0.050485,0.057732,0.044704,0.053797,717,1246990,0.05
20171225,0.057614,0.061089,0.045109,0.050537,704,1423090,0.05
20171224,0.047177,0.064587,0.045813,0.057208,1628,1165300,0.06
20171223,0.074250,0.079856,0.046485,0.046576,2203,1833990,0.06
20171222,0.050684,0.624651,0.038809,0.073589,29542,1251920,0.33
20171221,0.043979,0.074590,0.040548,0.050563,1188,1086290,0.06
20171220,0.080087,0.088067,0.039623,0.043864,114,1978160,0.06
20171219,0.054522,0.083741,0.053128,0.080155,1092,1346700,0.07
20171218,0.098738,0.098738,0.045621,0.054473,446,2438850,0.07
20171217,0.062585,0.102971,0.060407,0.098445,2356,1545860,0.08
20171216,0.053468,0.065475,0.037265,0.062464,521,1320670,0.05
20171215,0.056086,0.064442,0.051573,0.053394,634,1385350,0.06
20171214,0.043023,0.070825,0.041409,0.055965,411,1062680,0.06
20171213,0.041893,0.050597,0.041893,0.043072,249,1034760,0.05
20171212,0.062016,0.062119,0.040483,0.041858,684,1531820,0.05
20171211,0.037423,0.078018,0.037261,0.061818,2088,924348,0.06
20171210,0.070544,0.070544,0.036059,0.037692,3921,1742440,0.05
20171209,0.026938,0.079685,0.021052,0.070261,2831,665373,0.05
20171208,0.040622,0.044526,0.026542,0.026963,518,1003360,0.04
20171207,0.079040,0.081809,0.029669,0.040526,1193,1952300,0.06
20171206,0.025877,0.149642,0.025877,0.079175,9662,639162,0.09
20171205,0.028183,0.028783,0.025924,0.025939,35,696117,0.03
20171204,0.027330,0.028126,0.024909,0.028126,352,675059,0.03
20171203,0.035414,0.035517,0.025742,0.027239,155,874732,0.03
20171202,0.030538,0.035827,0.023855,0.035380,1277,754295,0.03
20171201,0.035191,0.037404,0.030074,0.030564,66,869233,0.03
20171130,0.026513,0.035694,0.026367,0.035366,872,654883,0.03
20171129,0.029003,0.032302,0.022090,0.026146,14,716383,0.03
20171128,0.029211,0.033463,0.013717,0.029024,402,721525,0.02
20171127,0.026914,0.030405,0.025953,0.029137,288,664772,0.03
20171126,0.025284,0.026992,0.019583,0.026908,343,624519,0.02
20171125,0.024404,0.026047,0.017673,0.025281,132,602794,0.02
20171124,0.019888,0.038237,0.015886,0.024454,1246,491243,0.03
20171123,0.028338,0.029055,0.019988,0.019988,110,699956,0.02
20171122,0.019068,0.028674,0.018988,0.028674,114,470992,0.02
20171121,0.023395,0.025432,0.019022,0.019022,40,577870,0.02
20171120,0.032144,0.038306,0.018419,0.023391,48,793972,0.03
20171119,0.024198,0.032219,0.020019,0.032164,4,597689,0.03
20171118,0.022549,0.026996,0.019246,0.024242,587,556958,0.02
20171117,0.032141,0.032646,0.021803,0.022635,122,793882,0.03
20171116,0.022835,0.036512,0.022641,0.032201,71,564024,0.03
20171115,0.016843,0.022748,0.016558,0.022693,73,416034,0.02
20171114,0.023811,0.025357,0.016706,0.016832,16,588146,0.02
20171113,0.016390,0.025026,0.015809,0.023772,20,404828,0.02
20171112,0.019477,0.020279,0.015660,0.016379,15,481083,0.02
20171111,0.021478,0.022259,0.019073,0.019490,10,530501,0.02
20171110,0.024431,0.025136,0.020913,0.021575,18,603446,0.02
20171109,0.024739,0.025690,0.024108,0.024359,18,611066,0.02
20171108,0.025714,0.028044,0.023735,0.024766,15,635132,0.03
20171107,0.024745,0.025995,0.024745,0.025797,20,611208,0.03
20171106,0.020634,0.030763,0.019846,0.024785,22,509671,0.03
20171105,0.023630,0.024498,0.020361,0.020589,7,583674,0.02
20171104,0.026069,0.026069,0.022038,0.023537,2,643922,0.02
20171103,0.028274,0.028494,0.025872,0.026137,143,698377,0.03
20171102,0.028387,0.037896,0.027669,0.028299,2,701160,0.03
20171101,0.026588,0.028406,0.026283,0.028354,981,656728,0.03
20171031,0.022063,0.026607,0.019660,0.026607,302,544951,0.02
20171030,0.019990,0.022264,0.018025,0.022142,255,493765,0.02
20171029,0.027404,0.036340,0.019401,0.020107,20,676879,0.03
20171028,0.020702,0.027545,0.018389,0.027441,15,511347,0.02
20171027,0.029204,0.030913,0.020249,0.020647,120,721354,0.03
20171026,0.021207,0.029505,0.021085,0.029198,232,523818,0.03
20171025,0.017225,0.021250,0.016795,0.021210,27,425465,0.02
20171024,0.020181,0.020436,0.017125,0.017218,196,498474,0.02
20171023,0.030856,0.030866,0.018039,0.020226,98,762150,0.02
20171022,0.041979,0.076294,0.028415,0.030906,42,1036880,0.05
20171021,0.018736,0.045289,0.018606,0.041922,62,462793,0.03
20171020,0.018329,0.019167,0.017752,0.018776,195,452738,0.02
20171019,0.019945,0.020321,0.017984,0.018324,332,492657,0.02
20171018,0.023625,0.023626,0.017869,0.019935,55,583540,0.02
20171017,0.043412,0.044649,0.020058,0.023624,357,1072300,0.03
20171016,0.019491,0.057190,0.019491,0.043406,99,481437,0.04
20171015,0.022661,0.025067,0.018705,0.019489,102,559741,0.02
20171014,0.033612,0.035658,0.021568,0.022621,76,830238,0.03
20171013,0.051148,0.054995,0.031380,0.033603,1078,1263380,0.04
20171012,0.017949,0.054650,0.017884,0.050992,1702,443336,0.04
20171011,0.017053,0.020538,0.016694,0.017934,82,421212,0.02
20171010,0.016099,0.017643,0.014883,0.017056,4,397637,0.02
20171009,0.015099,0.034770,0.015036,0.016100,616,372940,0.02
20171008,0.014594,0.016001,0.014552,0.015095,14,360477,0.02
20171007,0.014514,0.015865,0.014228,0.014633,192,358492,0.02
20171006,0.021231,0.024458,0.014399,0.014509,133,524402,0.02
20171005,0.015983,0.021361,0.015714,0.021231,3,394772,0.02
20171004,0.016723,0.018510,0.015694,0.015968,57,413050,0.02
20171003,0.015295,0.018170,0.014776,0.016684,21,377778,0.02
20171002,0.028863,0.032316,0.014455,0.015294,81,712931,0.02
20171001,0.015131,0.028876,0.014321,0.028876,412,373740,0.02
20170930,0.016367,0.016449,0.014432,0.015123,16,404262,0.02
20170929,0.016869,0.017075,0.015085,0.016365,30,416674,0.02
20170928,0.017906,0.017935,0.016013,0.016882,170,442273,0.02
20170927,0.013275,0.024052,0.013275,0.017905,56,327895,0.02
20170926,0.022433,0.022482,0.012870,0.013312,260,554109,0.02
20170925,0.014543,0.022436,0.013120,0.022436,149,359205,0.02
20170924,0.013064,0.028192,0.012098,0.014557,383,322673,0.02
20170923,0.016311,0.023390,0.012575,0.013065,297,402890,0.02
20170922,0.015048,0.032202,0.015028,0.016357,133,371699,0.02
20170921,0.015609,0.015714,0.012119,0.015066,262,385548,0.01
20170920,0.014495,0.016195,0.013113,0.015686,30,358028,0.01
20170919,0.016662,0.016751,0.013738,0.014514,74,411565,0.02
20170918,0.012194,0.018940,0.012194,0.016622,97,301201,0.02
20170917,0.015230,0.019278,0.012183,0.012219,8,376181,0.02
20170916,0.021161,0.022737,0.015144,0.015240,70,522673,0.02
20170915,0.019029,0.021216,0.010771,0.021216,151,470018,0.02
20170914,0.018629,0.021999,0.018008,0.018883,30,460151,0.02
20170913,0.015872,0.019042,0.013369,0.018630,26,392050,0.02
20170912,0.018180,0.023154,0.015337,0.015933,225,449042,0.02
20170911,0.019442,0.021286,0.016204,0.018162,129,480226,0.02
20170910,0.027661,0.027759,0.016004,0.019475,175,683239,0.02
20170909,0.016079,0.027471,0.015890,0.027471,19,397152,0.02
20170908,0.018627,0.023930,0.016020,0.016049,699,460086,0.02
20170907,0.027139,0.047330,0.015758,0.018623,374,670343,0.03
20170906,0.033952,0.037947,0.024345,0.027165,36,838627,0.03
20170905,0.019371,0.040904,0.018267,0.033144,72,478470,0.03
20170904,0.020442,0.021072,0.013960,0.016891,555,504928,0.02
20170903,0.062091,0.062670,0.020425,0.020434,1126,1533670,0.04
20170902,0.022871,0.062051,0.014917,0.062051,739,564929,0.04
20170901,0.019627,0.024308,0.015373,0.022843,405,484781,0.02
20170831,0.027687,0.027980,0.015626,0.019623,338,683865,0.02
20170830,0.028459,0.028796,0.019879,0.027728,166,702939,0.02
20170829,0.022878,0.029246,0.015126,0.028502,419,565104,0.02
20170828,0.026441,0.050610,0.016698,0.022829,258,653109,0.03
20170827,0.018712,0.028971,0.018710,0.026468,55,462185,0.02
20170826,0.018377,0.018752,0.013969,0.018716,9,453903,0.02
20170825,0.020836,0.028195,0.018278,0.018371,181,514651,0.02
20170824,0.017179,0.021021,0.017161,0.020869,54,424321,0.02
20170823,0.029241,0.029241,0.014124,0.017171,264,722271,0.02
20170822,0.021445,0.041922,0.012616,0.029301,180,529693,0.03
20170821,0.016308,0.022388,0.016308,0.021348,47,402818,0.02
20170820,0.016934,0.017372,0.012815,0.016370,93,418284,0.02
20170819,0.013962,0.019455,0.011906,0.017013,402,344868,0.02
20170818,0.019401,0.034827,0.013506,0.013971,164,479207,0.02
20170817,0.017069,0.020165,0.015289,0.019460,39,421598,0.02
20170816,0.016584,0.017970,0.014444,0.017084,70,409621,0.02
20170815,0.018293,0.019743,0.014333,0.016566,424,451844,0.02
20170814,0.031463,0.034946,0.016703,0.018245,43,777135,0.03
20170813,0.014853,0.040725,0.014853,0.031443,332,366862,0.03
20170812,0.015028,0.018848,0.013216,0.014866,591,371192,0.02
20170811,0.016988,0.019518,0.013204,0.015040,426,419611,0.02
20170810,0.022402,0.023236,0.013151,0.016989,316,553341,0.02
20170809,0.012446,0.022713,0.012379,0.022322,426,307413,0.02
20170808,0.011923,0.031317,0.011827,0.015459,2471,294488,0.02
20170807,0.034384,0.034543,0.011834,0.011910,371,849301,0.02
20170806,0.036597,0.057086,0.033220,0.034461,703,903958,0.05
20170805,0.018700,0.036594,0.018332,0.036594,52,461886,0.03
20170804,0.025135,0.025212,0.015121,0.018708,53,620841,0.02
20170803,0.021494,0.025251,0.015955,0.025141,75,530916,0.02
20170802,0.018330,0.032973,0.014218,0.021456,531,452760,0.02
20170801,0.016348,0.023084,0.014191,0.018334,66,403795,0.02
20170731,0.013987,0.020624,0.013690,0.016340,261,345482,0.02
20170730,0.019120,0.020442,0.013691,0.013973,56,472265,0.02
20170729,0.015687,0.023523,0.015687,0.019123,116,387478,0.02
20170728,0.053465,0.053708,0.015659,0.015747,534,1320600,0.03
20170727,0.049898,0.096687,0.018556,0.053448,471,1232510,0.06
20170726,0.022521,0.052092,0.008020,0.049757,1679,556267,0.03
20170725,0.018791,0.028312,0.016876,0.022511,31,464141,0.02
20170724,0.041895,0.042146,0.018766,0.018793,127,1034810,0.03
20170723,0.069673,0.070519,0.032588,0.041941,175,1720940,0.05
