date,open,high,low,close,volume,marketcap,average
20180110,9.00,9.10,7.59,8.46,10622500,935412000,8.34
20180109,9.63,9.71,8.76,9.03,9556170,1000440000,9.23
20180108,11.46,11.46,8.43,9.68,14779100,1191030000,9.95
20180107,9.41,11.86,9.39,11.06,33495900,978064000,10.62
20180106,8.46,9.70,7.83,9.50,18565800,878878000,8.77
20180105,9.40,10.17,8.11,8.46,18605100,976546000,9.14
20180104,9.98,10.91,8.90,9.40,28405900,1037170000,9.91
20180103,10.45,10.45,9.30,10.01,11500400,1085850000,9.88
20180102,9.66,10.50,9.48,10.43,16435300,1002940000,9.99
20180101,9.86,10.02,9.10,9.73,11458100,1024210000,9.56
20171231,8.93,10.06,8.63,9.90,13810500,927738000,9.35
20171230,10.19,10.89,8.35,9.14,23576800,1058550000,9.62
20171229,9.10,10.34,8.69,9.88,22535200,944493000,9.52
20171228,9.88,9.88,7.81,9.02,12669800,1026250000,8.85
20171227,10.22,10.22,9.21,9.81,15216200,1061030000,9.71
20171226,10.48,10.66,9.63,10.22,16601300,1087860000,10.14
20171225,10.95,11.04,9.85,10.52,17862100,1136660000,10.45
20171224,11.51,11.51,9.17,10.56,15797500,1195050000,10.34
20171223,11.78,12.36,10.35,11.34,22850100,1222310000,11.36
20171222,11.20,13.12,8.05,11.44,55909300,1162810000,10.59
20171221,7.75,15.41,7.50,11.15,80253300,804342000,11.46
20171220,5.78,8.17,4.98,7.76,32798200,599631000,6.58
20171219,5.82,6.41,5.52,5.77,18535600,604361000,5.96
20171218,4.83,5.69,4.56,5.69,15050600,501530000,5.12
20171217,4.50,5.05,4.45,4.74,11065200,467145000,4.75
20171216,4.58,4.81,4.40,4.48,13363700,475170000,4.61
20171215,3.73,4.71,3.61,4.63,23804200,386547000,4.16
20171214,3.50,3.86,3.49,3.72,9389200,363052000,3.67
20171213,3.70,3.77,3.31,3.51,6241710,383376000,3.54
20171212,3.31,3.68,3.17,3.66,7056130,343054000,3.42
20171211,2.86,3.32,2.83,3.29,6057620,296353000,3.08
20171210,3.20,3.20,2.61,2.87,5668640,331605000,2.91
20171209,3.40,3.56,2.95,3.15,7316430,352174000,3.25
20171208,3.38,3.39,2.81,3.38,10793200,350369000,3.10
20171207,2.89,4.12,2.81,3.38,23745400,299791000,3.46
20171206,3.35,3.36,2.79,2.90,8956910,347560000,3.08
20171205,3.32,3.51,3.19,3.38,13147000,344066000,3.35
20171204,2.86,3.36,2.82,3.34,7280920,296176000,3.09
20171203,2.78,3.01,2.67,2.82,5272930,288109000,2.84
20171202,2.73,2.85,2.64,2.78,4211970,282582000,2.75
20171201,2.58,2.78,2.37,2.74,5801410,267834000,2.58
20171130,2.48,2.76,2.18,2.62,4640650,257220000,2.47
20171129,3.14,3.14,2.42,2.43,8092500,325161000,2.78
20171128,3.17,3.21,2.96,3.15,7689710,328140000,3.08
20171127,2.92,3.31,2.89,3.15,10375100,302508000,3.10
20171126,2.63,2.99,2.62,2.95,8449760,272824000,2.81
20171125,2.45,2.65,2.43,2.63,5408430,253350000,2.54
20171124,2.51,2.51,2.36,2.44,4986360,259649000,2.43
20171123,2.44,2.50,2.35,2.49,4944180,252315000,2.42
20171122,2.39,2.46,2.36,2.42,3719400,247594000,2.41
20171121,2.44,2.48,2.25,2.38,3821790,252438000,2.37
20171120,2.34,2.48,2.34,2.43,4108310,236482000,2.41
20171119,2.31,2.47,2.27,2.32,2915800,233045000,2.37
20171118,2.14,2.39,2.12,2.31,3508410,215781000,2.25
20171117,2.31,2.40,2.14,2.14,3190670,233458000,2.27
20171116,2.37,2.39,2.23,2.32,2870210,239273000,2.31
20171115,2.17,2.40,2.17,2.35,3041060,218654000,2.29
20171114,2.05,2.22,2.05,2.16,3198810,207027000,2.13
20171113,1.88,2.16,1.87,2.05,2853940,189628000,2.02
20171112,2.10,2.11,1.70,1.88,3362020,211971000,1.90
20171111,2.22,2.38,2.05,2.11,3293280,223935000,2.21
20171110,2.72,2.75,2.10,2.24,8379540,274135000,2.42
20171109,2.80,2.86,2.66,2.71,5144550,282424000,2.76
20171108,2.77,3.00,2.56,2.83,7758440,279479000,2.78
20171107,2.62,2.87,2.59,2.76,5509850,264626000,2.73
20171106,2.55,2.89,2.49,2.63,4740310,257400000,2.69
20171105,2.36,2.61,2.33,2.52,1485210,238304000,2.47
20171104,2.42,2.51,2.34,2.35,1163740,244528000,2.42
20171103,2.39,2.48,2.23,2.43,2222540,241060000,2.35
20171102,2.09,2.53,1.99,2.40,5039770,210716000,2.26
20171101,2.25,2.36,1.98,2.10,2279000,226647000,2.17
20171031,2.29,2.55,2.20,2.22,5059160,230681000,2.38
20171030,2.14,2.29,2.06,2.29,2261280,215717000,2.17
20171029,1.96,2.22,1.93,2.10,3798510,197998000,2.08
20171028,1.82,1.97,1.78,1.95,833266,183346000,1.88
20171027,1.84,1.93,1.77,1.80,667793,185426000,1.85
20171026,1.89,1.96,1.76,1.84,1130570,191042000,1.86
20171025,1.84,1.92,1.76,1.90,1167180,185703000,1.84
20171024,1.67,1.98,1.60,1.84,3075970,168341000,1.79
20171023,1.80,1.81,1.54,1.68,1195310,181469000,1.68
20171022,1.67,1.87,1.63,1.79,758588,168553000,1.75
