date,open,high,low,close,volume,marketcap,average
20180110,8.76,10.58,7.26,10.01,3176710,17722200,8.92
20180109,7.54,8.87,7.26,8.41,1278100,15243900,8.06
20180108,8.12,8.31,6.63,7.56,941055,16419100,7.47
20180107,7.26,8.92,6.67,8.11,2378280,14682000,7.79
20180106,6.81,7.49,6.33,7.48,580725,13770400,6.91
20180105,6.69,8.17,6.69,6.80,1971520,13520500,7.43
20180104,6.39,7.80,6.18,6.68,1981990,12921500,6.99
20180103,6.61,6.80,6.13,6.40,572472,13374000,6.46
20180102,6.52,7.31,6.26,6.64,960266,13191600,6.79
20180101,6.34,6.69,5.94,6.52,766746,12812700,6.32
20171231,5.87,6.56,5.58,6.43,475265,11878100,6.07
20171230,6.96,6.96,5.26,6.10,564832,14075800,6.11
20171229,6.35,7.40,6.15,6.91,2184890,12842000,6.78
20171228,6.72,6.75,5.54,6.22,762929,13600900,6.14
20171227,6.65,7.33,6.16,6.74,1740490,13452800,6.75
20171226,7.62,8.02,5.94,6.67,1631090,15409900,6.98
20171225,6.79,8.44,6.72,7.38,3267800,13729800,7.58
20171224,5.94,7.21,5.58,6.72,3190140,12020500,6.39
20171223,4.95,6.91,4.80,5.88,1702850,10003500,5.86
20171222,6.24,6.26,3.82,4.92,694134,12618200,5.04
20171221,6.44,7.36,5.72,6.35,1296650,13020000,6.54
20171220,7.27,7.70,5.68,6.66,1369420,14705500,6.69
20171219,6.03,8.98,5.77,7.63,4934780,12189100,7.38
20171218,5.09,6.29,4.74,5.96,1360890,10297100,5.52
20171217,4.67,5.60,4.56,5.08,1398860,9448700,5.08
20171216,4.59,4.89,4.44,4.66,639972,9278720,4.67
20171215,4.70,4.91,4.12,4.51,545001,9508820,4.52
20171214,4.68,6.63,4.32,4.70,1942320,9469000,5.47
20171213,4.14,5.56,4.14,4.68,1897010,8368510,4.85
20171212,3.74,4.59,3.72,4.13,725387,7566930,4.16
20171211,3.59,4.23,3.45,3.76,468378,7256130,3.84
20171210,4.20,4.20,3.10,3.61,360816,8487920,3.65
20171209,4.37,4.68,3.77,4.18,276741,8845590,4.22
20171208,4.69,4.69,3.56,4.38,794310,9477180,4.12
20171207,4.83,6.05,4.22,4.92,1530940,9764780,5.13
20171206,5.44,6.36,4.59,4.84,1558390,11002000,5.47
20171205,5.48,5.83,5.23,5.50,1059520,11078000,5.53
20171204,5.12,5.60,4.94,5.47,781343,10343000,5.27
20171203,4.33,5.30,4.20,5.30,969677,8751730,4.75
20171202,4.28,4.53,4.08,4.32,341906,8662120,4.30
20171201,4.11,4.50,3.87,4.29,397671,8314920,4.19
20171130,4.00,4.72,3.48,4.09,446287,8084910,4.10
20171129,5.51,5.69,3.73,3.98,913488,11150700,4.71
20171128,4.52,6.26,4.51,5.52,3565100,9139540,5.38
20171127,4.01,4.93,3.91,4.51,1088620,8109230,4.42
20171126,3.83,4.09,3.57,4.09,283499,7748830,3.83
20171125,3.78,3.92,3.63,3.83,142022,7638230,3.77
20171124,3.80,3.82,3.42,3.79,174352,7687000,3.62
20171123,3.61,4.24,3.33,3.86,662376,7309090,3.79
20171122,3.14,4.18,3.04,3.71,1029410,6354480,3.61
20171121,3.05,3.38,2.79,3.13,201415,6160080,3.08
20171120,3.12,3.24,2.96,3.05,145142,6307080,3.10
20171119,3.31,3.43,3.03,3.11,141920,6696420,3.23
20171118,3.01,3.47,2.88,3.27,259316,6082450,3.17
20171117,3.20,3.31,2.93,3.02,119905,6463610,3.12
20171116,3.47,3.47,3.05,3.20,217224,7016010,3.26
20171115,3.39,3.52,3.07,3.45,158084,6844590,3.29
20171114,3.21,3.43,3.09,3.38,103796,6497030,3.26
20171113,2.91,3.30,2.90,3.23,128733,5875880,3.10
20171112,3.48,3.48,2.77,2.93,220508,7033970,3.12
20171111,3.43,3.67,3.30,3.48,183546,6929640,3.48
20171110,4.02,4.12,3.23,3.44,253946,8137960,3.67
20171109,3.81,4.13,3.62,4.01,321262,7700490,3.88
20171108,3.61,4.01,3.43,3.81,253730,7300830,3.72
20171107,3.66,3.83,3.44,3.62,125425,7397520,3.63
20171106,3.52,4.07,3.49,3.66,233632,7113310,3.78
20171105,3.69,3.96,3.47,3.51,100096,7454910,3.71
20171104,3.88,4.23,3.57,3.72,196486,7843180,3.90
20171103,3.97,4.17,3.33,3.89,129991,8023540,3.75
20171102,4.33,4.39,2.82,3.80,312575,8755860,3.60
20171101,4.75,4.82,4.29,4.37,277865,9602230,4.55
20171031,4.97,5.30,4.64,4.75,410508,10053500,4.97
20171030,4.93,7.20,4.90,5.04,1588980,9959400,6.05
20171029,4.90,5.55,4.83,4.96,387227,9913570,5.19
20171028,4.84,5.18,4.34,5.03,264981,9784890,4.76
20171027,4.45,5.20,4.45,4.71,280053,8998650,4.83
20171026,4.73,4.75,4.13,4.45,135176,9557160,4.44
20171025,4.99,5.00,4.39,4.73,142599,10092800,4.70
20171024,4.67,5.44,4.51,4.99,268496,9446070,4.97
20171023,4.86,6.00,4.56,4.68,236876,9827530,5.28
20171022,4.78,5.31,4.59,4.87,149866,9673540,4.95
20171021,5.18,5.45,4.31,4.89,149922,10479400,4.88
20171020,5.70,5.85,4.99,5.12,189162,11520700,5.42
20171019,6.01,6.15,5.54,5.70,167997,12141900,5.85
20171018,5.66,6.03,5.25,5.87,181009,11446300,5.64
20171017,5.58,6.02,5.15,5.61,313138,11273200,5.58
20171016,6.09,6.26,5.34,5.58,291522,12311200,5.80
20171015,6.26,6.34,5.77,6.12,281524,12655400,6.05
20171014,6.88,7.26,6.03,6.19,454430,13909000,6.64
20171013,6.05,7.23,5.65,6.76,968872,12220600,6.44
20171012,6.97,8.01,5.40,6.04,1939590,13788000,6.71
20171011,6.27,7.21,6.18,6.96,474786,12394800,6.70
20171010,5.93,6.73,5.52,6.27,333904,11721600,6.12
20171009,6.53,7.19,5.20,5.96,676631,12909500,6.20
20171008,7.72,7.90,6.29,6.49,525634,15276000,7.10
20171007,7.14,7.80,6.73,7.74,395561,14111800,7.27
20171006,7.00,7.22,6.70,7.03,444891,13836000,6.96
20171005,7.26,7.44,6.77,7.09,689420,14358300,7.11
20171004,6.77,7.60,6.70,7.34,968200,13395200,7.15
20171003,6.90,6.91,5.94,6.76,653258,13634200,6.43
20171002,6.59,7.17,5.70,6.82,545177,13031800,6.44
20171001,7.16,7.16,6.35,6.59,736490,14156700,6.75
20170930,5.52,7.39,5.40,7.39,2659440,10912700,6.39
20170929,4.91,5.85,4.44,5.53,829539,9693950,5.14
20170928,4.54,5.22,4.40,4.91,376378,8977470,4.81
20170927,4.80,4.87,4.23,4.62,433513,9475990,4.55
20170926,5.21,5.32,4.60,4.73,403892,10295900,4.96
20170925,5.43,5.44,4.41,5.20,952651,10734300,4.93
20170924,4.08,5.60,4.08,5.44,1719050,8068380,4.84
20170923,3.32,4.44,3.32,4.08,647409,6557230,3.88
20170922,2.95,4.19,2.95,3.26,681898,5831500,3.57
20170921,3.60,3.90,2.97,2.97,190244,7115020,3.44
20170920,3.88,4.37,3.55,3.62,593361,7669950,3.96
20170919,4.67,4.99,3.93,4.00,588961,9226630,4.46
20170918,4.94,5.71,4.60,4.68,1460030,9756430,5.15
20170917,4.35,7.20,3.97,5.08,6228010,8582100,5.58
20170916,2.66,4.87,2.58,4.20,1804150,5243140,3.73
20170915,1.96,3.15,1.76,2.66,947712,3874130,2.46
20170914,2.36,2.49,1.79,1.95,118780,4657210,2.14
20170913,2.33,2.75,2.01,2.36,816195,4597400,2.38
20170912,2.65,2.72,2.26,2.34,179391,5236340,2.49
20170911,2.46,2.66,2.35,2.65,93231,4847700,2.50
20170910,2.77,2.77,2.28,2.46,108283,5462160,2.52
20170909,2.79,3.15,2.67,2.77,150869,5509850,2.91
20170908,3.01,3.17,2.62,2.79,93027,5947790,2.90
20170907,3.03,3.21,2.85,3.01,131673,5982120,3.03
20170906,3.23,3.38,2.90,3.04,201585,6365890,3.14
