date,open,high,low,close,volume,marketcap,average
20180110,0.037542,0.050313,0.019967,0.024940,627552,,0.04
20180109,0.031626,0.049237,0.021254,0.037141,484840,,0.04
20180108,0.063511,0.065384,0.040290,0.048323,164723,,0.05
20180107,0.065370,0.074842,0.050126,0.063600,260362,,0.06
20180106,0.042460,0.070733,0.040655,0.070582,107537,,0.06
20180105,0.059207,0.067921,0.042415,0.042426,188885,,0.06
20180104,0.060843,0.073743,0.051139,0.059195,163116,,0.06
20180103,0.089014,0.092974,0.054265,0.060512,196027,,0.07
20180102,0.081008,0.089760,0.061079,0.089332,311620,,0.08
20180101,0.069907,0.082315,0.065796,0.081015,81043,,0.07
20171231,0.063572,0.074059,0.050754,0.069637,110994,,0.06
20171230,0.071029,0.071053,0.053406,0.064267,60273,,0.06
20171229,0.063657,0.080910,0.063153,0.071208,105026,,0.07
20171228,0.071373,0.105988,0.043603,0.063005,192995,,0.07
20171227,0.085520,0.092872,0.071523,0.071523,22196,,0.08
20171226,0.082185,0.105333,0.078164,0.085458,33705,,0.09
20171225,0.104243,0.112242,0.073482,0.082269,75930,,0.09
20171224,0.093481,0.112157,0.086790,0.103172,15604,,0.10
20171223,0.074464,0.122190,0.068643,0.092460,44324,,0.10
20171222,0.076994,0.129487,0.054940,0.073767,17031,,0.09
20171221,0.097251,0.114072,0.076171,0.076728,29081,,0.10
20171220,0.087255,0.106670,0.072516,0.096997,19732,,0.09
20171219,0.137645,0.139020,0.071556,0.075867,18489,,0.11
20171218,0.118618,0.146556,0.113298,0.137504,2849,,0.13
20171217,0.126582,0.173943,0.101672,0.118260,17251,,0.14
20171216,0.123355,0.147527,0.114063,0.126857,16789,,0.13
20171215,0.115939,0.144179,0.108966,0.123221,13411,,0.13
20171214,0.112991,0.150452,0.081498,0.116020,21996,,0.12
20171213,0.155484,0.157548,0.111544,0.113355,17805,,0.13
20171212,0.175101,0.175877,0.092883,0.155354,38739,,0.13
20171211,0.172490,0.178269,0.147439,0.174541,23604,,0.16
