date,open,high,low,close,volume,marketcap,average
20180110,5.69,5.72,4.52,5.20,26237500,762549000,5.12
20180109,4.82,6.00,4.77,5.74,37437600,646479000,5.38
20180108,5.08,5.72,3.87,4.80,41314100,681871000,4.79
20180107,3.97,5.32,3.97,5.10,61758700,532028000,4.65
20180106,3.17,3.98,3.14,3.98,34950900,425567000,3.56
20180105,3.36,3.75,3.03,3.17,31078100,450247000,3.39
20180104,3.59,3.60,3.13,3.41,23788600,481817000,3.37
20180103,3.42,3.63,3.05,3.59,24648600,458889000,3.34
20180102,3.08,3.63,3.06,3.42,27472100,412475000,3.34
20180101,2.62,3.17,2.57,3.06,22476900,351759000,2.87
20171231,2.23,2.64,2.22,2.62,14615300,298681000,2.43
20171230,2.49,2.49,2.12,2.25,10866200,334477000,2.31
20171229,2.44,2.51,2.27,2.51,10801600,326988000,2.39
20171228,2.39,2.45,2.17,2.42,11990700,321090000,2.31
20171227,2.52,2.55,2.30,2.40,10329300,338676000,2.42
20171226,2.41,2.72,2.35,2.52,12686800,323811000,2.54
20171225,2.37,2.68,2.33,2.41,12568500,318226000,2.50
20171224,2.25,2.37,1.97,2.37,11938200,302230000,2.17
20171223,2.12,2.50,2.06,2.25,11332800,284090000,2.28
20171222,2.56,2.61,1.65,2.15,13412200,342930000,2.13
20171221,2.61,2.81,2.42,2.59,16736300,349610000,2.62
20171220,2.76,2.86,2.41,2.61,17779200,370458000,2.63
20171219,2.90,3.10,2.48,2.72,25007500,388760000,2.79
20171218,2.29,2.89,2.15,2.88,28833800,307787000,2.52
20171217,1.74,2.56,1.72,2.28,24405200,232920000,2.14
20171216,1.59,1.77,1.59,1.73,11477300,213736000,1.68
20171215,1.67,1.75,1.39,1.58,12895600,223367000,1.57
20171214,1.29,1.78,1.29,1.66,20394800,173331000,1.54
20171213,1.32,1.40,1.22,1.29,10077300,176673000,1.31
20171212,1.29,1.40,1.19,1.32,12071700,172363000,1.29
20171211,1.21,1.37,1.21,1.28,12061600,162714000,1.29
20171210,1.32,1.36,1.17,1.22,11857300,176624000,1.27
20171209,1.34,1.42,1.25,1.31,11555400,179294000,1.33
20171208,1.30,1.38,1.17,1.34,15028900,174622000,1.27
20171207,1.51,1.62,1.26,1.30,17081800,202709000,1.44
20171206,1.53,1.60,1.30,1.52,18240500,204563000,1.45
