date,open,high,low,close,volume,marketcap,average
20180110,0.202841,0.206923,0.171677,0.206923,354409,25420500,0.19
20180109,0.202005,0.219469,0.189119,0.199533,368086,25315600,0.20
20180108,0.264836,0.276616,0.153470,0.201910,683038,33189700,0.22
20180107,0.309054,0.324583,0.258837,0.267180,762444,38731200,0.29
20180106,0.266505,0.314393,0.247321,0.310525,498598,33399000,0.28
20180105,0.186734,0.266890,0.182606,0.266043,723480,23401900,0.22
20180104,0.179823,0.201504,0.177232,0.182817,471496,22535700,0.19
20180103,0.158162,0.179666,0.132934,0.178959,280055,19821100,0.16
20180102,0.125911,0.264160,0.115331,0.157926,78664,15779400,0.19
20180101,0.114727,0.140660,0.107181,0.125674,52341,14377800,0.12
20171231,0.106686,0.131898,0.102041,0.114802,92368,13370100,0.12
20171230,0.103479,0.130003,0.082398,0.107629,63311,11726400,0.11
20171229,0.103116,0.106026,0.091858,0.103657,53715,11685300,0.10
20171228,0.092003,0.106006,0.083964,0.103846,23321,10425900,0.09
20171227,0.102991,0.102991,0.088607,0.092170,14529,11671100,0.10
20171226,0.100272,0.111250,0.094704,0.102783,46580,11363000,0.10
20171225,0.090702,0.135943,0.083208,0.100259,112884,10278500,0.11
20171224,0.098092,0.098092,0.077156,0.090217,14352,11116000,0.09
20171223,0.075092,0.100333,0.068054,0.096958,79217,8509530,0.08
20171222,0.106855,0.107915,0.059490,0.074459,54633,12109000,0.08
20171221,0.088462,0.118886,0.084841,0.106471,64185,10024600,0.10
20171220,0.102455,0.102464,0.079743,0.088346,69942,11610400,0.09
20171219,0.117172,0.119578,0.097951,0.102601,170726,13278200,0.11
20171218,0.093653,0.117341,0.081695,0.117169,44634,10612900,0.10
20171217,0.082918,0.104950,0.077162,0.093741,106274,9396410,0.09
20171216,0.070427,0.084265,0.070393,0.082724,85451,7980960,0.08
20171215,0.058579,0.070557,0.055257,0.067634,61655,6638260,0.06
20171214,0.056967,0.063664,0.053371,0.058520,23909,6455640,0.06
20171213,0.069293,0.070777,0.054309,0.057044,24300,7852450,0.06
20171212,0.068157,0.072895,0.061506,0.069245,103722,7723720,0.07
20171211,0.059072,0.068563,0.056349,0.068563,78370,6694130,0.06
20171210,0.066376,0.066376,0.048358,0.059090,44640,7521800,0.06
20171209,0.066318,0.073027,0.063376,0.066148,44500,7515340,0.07
20171208,0.061027,0.069765,0.059094,0.066323,42473,6915680,0.06
20171207,0.049471,0.065802,0.049076,0.065568,19936,5606150,0.06
20171206,0.051763,0.056125,0.048860,0.049622,27354,5865930,0.05
20171205,0.055385,0.066079,0.051806,0.051864,34630,6276360,0.06
20171204,0.057033,0.058563,0.048470,0.055321,22839,6463130,0.05
20171203,0.067140,0.069036,0.054408,0.057001,14885,7608480,0.06
20171202,0.059040,0.074964,0.056220,0.067095,40490,6690500,0.07
20171201,0.054130,0.066157,0.020331,0.059046,35767,6134180,0.04
20171130,0.056102,0.059847,0.049438,0.054309,6422,6357600,0.05
20171129,0.066559,0.069922,0.050706,0.055515,7866,7542640,0.06
20171128,0.075258,0.076069,0.062726,0.066520,35632,8528420,0.07
20171127,0.078697,0.083770,0.069698,0.075309,40565,8918100,0.08
20171126,0.077573,0.088315,0.070712,0.078712,53382,8790780,0.08
20171125,0.083015,0.089856,0.073453,0.077583,83678,9407430,0.08
20171124,0.085133,0.086597,0.073438,0.083046,74641,9647490,0.08
20171123,0.068932,0.096318,0.068932,0.085505,91887,7811510,0.08
20171122,0.060020,0.072484,0.058274,0.070552,51280,6801590,0.07
20171121,0.057309,0.067254,0.054918,0.059925,13719,6494380,0.06
20171120,0.054621,0.057872,0.053711,0.057378,7337,6189780,0.06
20171119,0.055383,0.062262,0.052065,0.054668,18061,6276050,0.06
20171118,0.052246,0.057747,0.045909,0.055515,22734,5920590,0.05
20171117,0.058697,0.058697,0.045428,0.051715,18886,6651670,0.05
20171116,0.058738,0.075324,0.052067,0.058757,36804,6656270,0.06
20171115,0.069786,0.072143,0.056865,0.058624,41872,7908280,0.06
20171114,0.067872,0.073537,0.064598,0.069745,21652,7691350,0.07
20171113,0.074434,0.076977,0.063101,0.067838,34199,8435030,0.07
20171112,0.074735,0.074864,0.060723,0.074319,39667,8469140,0.07
20171111,0.061666,0.075514,0.060553,0.074733,16459,6988070,0.07
20171110,0.081371,0.082055,0.062061,0.062061,50733,9221130,0.07
20171109,0.068172,0.082518,0.065731,0.081313,62424,7725410,0.07
20171108,0.075203,0.078718,0.063180,0.068496,112086,8522180,0.07
20171107,0.059763,0.075261,0.059377,0.075261,55440,6772460,0.07
20171106,0.063528,0.067072,0.058041,0.059686,16297,7199170,0.06
20171105,0.055518,0.064369,0.048927,0.063463,35567,6291420,0.06
20171104,0.050111,0.055524,0.049184,0.055458,17975,5678620,0.05
20171103,0.048108,0.072109,0.044787,0.050098,28394,5451660,0.06
20171102,0.049235,0.050783,0.043654,0.048048,13068,5579390,0.05
20171101,0.050062,0.056045,0.048988,0.049140,30608,5673150,0.05
20171031,0.053541,0.055460,0.049919,0.050149,22100,6067400,0.05
20171030,0.053302,0.057987,0.051983,0.053564,13939,6040240,0.05
20171029,0.056555,0.060723,0.049774,0.053456,21592,6408880,0.06
20171028,0.056285,0.058111,0.050756,0.056591,10568,6378350,0.05
20171027,0.059937,0.059937,0.051504,0.056224,23107,6792170,0.06
20171026,0.057545,0.077508,0.052945,0.059959,4474,6521150,0.07
20171025,0.058136,0.070841,0.056582,0.057650,11668,6588060,0.06
20171024,0.070742,0.077803,0.058023,0.058088,13619,8016640,0.07
20171023,0.062872,0.070858,0.047386,0.070809,26901,7124790,0.06
20171022,0.071348,0.081475,0.062603,0.062922,18923,8085300,0.07
20171021,0.085047,0.085047,0.063269,0.071336,18624,9637760,0.07
20171020,0.073775,0.085429,0.067367,0.085193,23847,8360290,0.08
20171019,0.084682,0.085872,0.072610,0.073809,17078,9596330,0.08
20171018,0.074478,0.128099,0.066153,0.084841,23939,8439980,0.10
20171017,0.089204,0.089299,0.061247,0.074528,20632,10108700,0.08
20171016,0.081491,0.089699,0.076119,0.089095,8483,9234730,0.08
20171015,0.073088,0.086738,0.069289,0.081348,8418,8282480,0.08
20171014,0.058693,0.098137,0.056445,0.072878,32435,6651220,0.08
20171013,0.089137,0.089137,0.055122,0.058646,23267,10101200,0.07
20171012,0.086971,0.091694,0.071577,0.088759,31399,9855740,0.08
20171011,0.084233,0.090594,0.082551,0.086963,17418,9545440,0.09
20171010,0.092607,0.092803,0.081110,0.084237,11904,10494400,0.09
20171009,0.094635,0.097529,0.089162,0.092399,25352,10724200,0.09
20171008,0.101407,0.103233,0.094371,0.094651,25449,11491700,0.10
20171007,0.105710,0.110467,0.094498,0.101572,29857,11979300,0.10
20171006,0.093278,0.382055,0.089235,0.105865,67853,10570500,0.24
20171005,0.090643,0.100047,0.086869,0.093255,18016,,0.09
20171004,0.091760,0.102376,0.087930,0.090646,34190,,0.10
20171003,0.105135,0.105212,0.089583,0.091551,42324,,0.10
20171002,0.107299,0.789463,0.100763,0.105067,35844,,0.45
20171001,0.107405,0.139468,0.098080,0.107288,24445,,0.12
20170930,0.091787,0.510702,0.091256,0.107367,45290,,0.30
20170929,0.100204,0.109201,0.087424,0.091764,20212,,0.10
20170928,0.089088,0.104559,0.087602,0.100392,41885,,0.10
20170927,0.082336,0.111131,0.073190,0.089137,45218,,0.09
20170926,0.095213,0.095213,0.073999,0.082417,40705,,0.08
20170925,0.080390,0.137592,0.073341,0.095253,29039,,0.11
