date,open,high,low,close,volume,marketcap,average
20180110,0.001314,0.001350,0.000584,0.001350,244,,0.00
20180109,0.000602,0.001383,0.000600,0.001313,399,,0.00
20180108,0.001466,0.001471,0.000570,0.000604,93,,0.00
20180107,0.001376,0.001486,0.001271,0.001468,152,,0.00
20180106,0.001189,0.001381,0.000670,0.001377,258,,0.00
20180105,0.000607,0.001198,0.000598,0.001188,286,,0.00
20180104,0.000304,0.000618,0.000287,0.000304,18,,0.00
20180103,0.000593,0.000912,0.000300,0.000303,563,,0.00
20180102,0.000600,0.000600,0.000590,0.000596,1,,0.00
20180101,0.000559,0.000560,0.000516,0.000541,1,,0.00
20171231,0.000636,0.000673,0.000393,0.000557,6,,0.00
20171230,0.000580,0.000662,0.000487,0.000643,16,,0.00
20171229,0.000289,0.000605,0.000287,0.000581,67,,0.00
20171228,0.000465,0.000467,0.000273,0.000286,19,,0.00
20171227,0.000633,0.000662,0.000445,0.000466,10,,0.00
20171226,0.000696,0.000750,0.000451,0.000633,190,,0.00
20171225,0.000704,0.000725,0.000663,0.000697,14,,0.00
20171224,0.000730,0.000730,0.000377,0.000697,3,,0.00
20171223,0.000552,0.000783,0.000548,0.000722,5,,0.00
20171222,0.000629,0.000635,0.000343,0.000546,37,,0.00
20171221,0.000330,0.000634,0.000303,0.000626,4,,0.00
20171220,0.000529,0.000533,0.000315,0.000329,87,,0.00
20171219,0.000765,0.000768,0.000512,0.000529,3,,0.00
20171218,0.000574,0.000765,0.000548,0.000765,2,,0.00
20171217,0.000779,0.000799,0.000566,0.000572,181,,0.00
20171216,0.000529,0.000785,0.000523,0.000779,12,,0.00
20171215,0.000829,0.000904,0.000523,0.000529,325,,0.00
20171214,0.001146,0.001194,0.000823,0.000828,117,,0.00
20171213,0.001209,0.001225,0.001116,0.001150,21,,0.00
20171212,0.001179,0.001238,0.001151,0.001208,7,,0.00
20171211,0.000762,0.001225,0.000759,0.001175,7,,0.00
20171210,0.000752,0.000789,0.000662,0.000768,4,,0.00
