date,open,high,low,close,volume,marketcap,average
20180110,0.001314,0.001350,0.001095,0.001350,164,47879,0.00
20180109,0.001205,0.001389,0.001201,0.001313,17,43879,0.00
20180108,0.001466,0.001630,0.001169,0.001208,450,53370,0.00
20180107,0.001204,0.001628,0.001182,0.001468,1724,43842,0.00
20180106,0.001019,0.001208,0.000982,0.001205,166,37095,0.00
20180105,0.000759,0.001061,0.000747,0.001018,103,27626,0.00
20180104,0.001065,0.001082,0.000748,0.000759,25,38746,0.00
20180103,0.001038,0.001082,0.001027,0.001059,29,37784,0.00
20180102,0.000945,0.001064,0.000912,0.001042,104,34380,0.00
20180101,0.000979,0.000979,0.000686,0.000945,17,35596,0.00
20171231,0.000980,0.000997,0.000972,0.000975,1,35646,0.00
20171230,0.000725,0.000725,0.000609,0.000629,2,26352,0.00
20171229,0.000868,0.000900,0.000706,0.000727,9,31556,0.00
20171228,0.000931,0.000935,0.000818,0.000859,26,33837,0.00
20171227,0.001109,0.001157,0.000746,0.000933,81,40286,0.00
20171226,0.001069,0.001130,0.001051,0.001108,47,38826,0.00
20171225,0.000704,0.000725,0.000663,0.000689,2,25591,0.00
20171224,0.000730,0.001008,0.000636,0.000697,417,26533,0.00
20171223,0.000827,0.000939,0.000719,0.000722,4,30058,0.00
20171222,0.001100,0.001254,0.000660,0.000820,108,39957,0.00
20171221,0.001154,0.001192,0.000814,0.001096,23,41914,0.00
20171220,0.001233,0.001355,0.000969,0.001151,41,44796,0.00
20171219,0.001722,0.001728,0.001194,0.001235,6,62543,0.00
20171218,0.000765,0.001721,0.000731,0.001721,50,27793,0.00
20171217,0.000974,0.000998,0.000755,0.000763,729,35366,0.00
20171216,0.000943,0.000981,0.000943,0.000974,5,34230,0.00
20171215,0.000829,0.000904,0.000829,0.000888,12,30117,0.00
20171214,0.000983,0.001024,0.000823,0.000828,13,35673,0.00
20171213,0.001037,0.001050,0.000956,0.000986,6,37633,0.00
20171212,0.000842,0.001243,0.000822,0.001036,575,30562,0.00
20171211,0.000991,0.001004,0.000818,0.000839,21,35965,0.00
20171210,0.000752,0.000752,0.000662,0.000691,212,27289,0.00
20171209,0.000976,0.000990,0.000677,0.000749,230,35415,0.00
20171208,0.001041,0.001057,0.000845,0.000977,15,37790,0.00
20171207,0.000962,0.001059,0.000902,0.001039,12,34891,0.00
20171206,0.000819,0.000965,0.000709,0.000963,56,29720,0.00
20171205,0.000816,0.000828,0.000580,0.000821,81,29606,0.00
20171204,0.000675,0.000814,0.000653,0.000814,12,24473,0.00
20171203,0.000765,0.000770,0.000635,0.000672,7,27763,0.00
20171202,0.000886,0.000896,0.000753,0.000764,31,32130,0.00
20171130,0.000688,0.000748,0.000630,0.000699,1,24956,0.00
20171129,0.000596,0.000801,0.000546,0.000678,10,21606,0.00
20171128,0.000683,0.000698,0.000593,0.000596,401,24767,0.00
20171127,0.000652,0.000682,0.000652,0.000681,15,23655,0.00
20171126,0.000629,0.000666,0.000629,0.000652,7,22828,0.00
20171125,0.000739,0.000786,0.000735,0.000785,1,26795,0.00
20171124,0.000643,0.000743,0.000631,0.000740,39,23315,0.00
20171123,0.000740,0.000744,0.000644,0.000644,26,26842,0.00
20171122,0.000649,0.000744,0.000646,0.000741,300,23546,0.00
20171121,0.000659,0.000661,0.000624,0.000657,82,23904,0.00
20171120,0.000643,0.000663,0.000636,0.000659,83,23328,0.00
20171119,0.000545,0.000703,0.000539,0.000644,382,19760,0.00
20171118,0.000615,0.000617,0.000460,0.000546,16,22292,0.00
20171117,0.000471,0.000629,0.000454,0.000617,223,17060,0.00
20171116,0.000511,0.000527,0.000444,0.000471,173,18527,0.00
20171115,0.000463,0.000513,0.000463,0.000509,7,16771,0.00
20171114,0.000457,0.000470,0.000450,0.000462,5,16563,0.00
20171113,0.000411,0.000538,0.000408,0.000456,5,14888,0.00
20171112,0.000445,0.000450,0.000388,0.000410,5,16131,0.00
20171111,0.000460,0.000477,0.000436,0.000446,2,16672,0.00
20171110,0.000499,0.000585,0.000452,0.000462,13,18076,0.00
20171109,0.000597,0.000597,0.000496,0.000498,5,21638,0.00
20171108,0.000498,0.000627,0.000495,0.000598,11,18042,0.00
20171107,0.000567,0.000577,0.000495,0.000500,3,20542,0.00
20171106,0.000518,0.000520,0.000490,0.000490,49,18743,0.00
20171105,0.000590,0.000592,0.000511,0.000516,136,21369,0.00
20171104,0.000502,0.000604,0.000490,0.000591,34,18163,0.00
20171103,0.000492,0.000523,0.000486,0.000503,16,17796,0.00
20171102,0.000471,0.000565,0.000471,0.000492,31,17046,0.00
20171101,0.000516,0.000527,0.000453,0.000470,45,18654,0.00
20171031,0.000490,0.000516,0.000441,0.000516,70,17736,0.00
20171030,0.000493,0.000497,0.000424,0.000492,6,17817,0.00
20171029,0.000458,0.000506,0.000404,0.000495,199,16573,0.00
20171028,0.000409,0.000461,0.000397,0.000459,48,14774,0.00
20171027,0.000412,0.000420,0.000399,0.000402,1,14898,0.00
20171026,0.000344,0.000479,0.000342,0.000412,9,12441,0.00
20171025,0.000441,0.000454,0.000431,0.000454,1,15956,0.00
20171024,0.000469,0.000469,0.000390,0.000441,4,16957,0.00
20171023,0.000478,0.000485,0.000340,0.000470,44,17283,0.00
20171022,0.000421,0.000485,0.000421,0.000479,5,15207,0.00
20171021,0.000420,0.000492,0.000413,0.000421,3,15182,0.00
20171020,0.000456,0.000458,0.000393,0.000421,11,16480,0.00
20171019,0.000391,0.000459,0.000388,0.000456,5,14121,0.00
20171018,0.000392,0.000393,0.000359,0.000391,3,14153,0.00
20171017,0.000462,0.000521,0.000389,0.000392,77,16687,0.00
20171016,0.000455,0.000465,0.000399,0.000462,24,16432,0.00
20171015,0.000468,0.000528,0.000436,0.000455,2,16889,0.00
20171014,0.000566,0.000579,0.000455,0.000467,58,20403,0.00
20171013,0.000490,0.000585,0.000445,0.000565,232,17661,0.00
20171012,0.000531,0.000573,0.000467,0.000488,259,19145,0.00
20171011,0.000429,0.000536,0.000425,0.000530,7,15455,0.00
20171010,0.000526,0.000535,0.000426,0.000429,1496,18980,0.00
20171009,0.000460,0.000536,0.000456,0.000527,136,16590,0.00
20171008,0.000444,0.000461,0.000364,0.000460,20,16014,0.00
20171007,0.000350,0.000447,0.000349,0.000446,7,12608,0.00
20171006,0.000476,0.000486,0.000346,0.000350,1419,17134,0.00
20171005,0.000380,0.000476,0.000333,0.000476,187,13685,0.00
20171004,0.000475,0.000478,0.000378,0.000380,42,17112,0.00
20171003,0.000484,0.000487,0.000467,0.000474,18,17439,0.00
20171002,0.000483,0.000536,0.000480,0.000484,12,17401,0.00
20171001,0.000345,0.000484,0.000341,0.000484,11,12434,0.00
20170929,0.000545,0.000551,0.000526,0.000548,0,19617,0.00
20170928,0.000421,0.000547,0.000418,0.000546,4,15137,0.00
20170927,0.000467,0.000470,0.000312,0.000421,35,16785,0.00
20170926,0.000436,0.000476,0.000436,0.000468,15,15693,0.00
20170925,0.000514,0.000555,0.000514,0.000549,0,18487,0.00
20170924,0.000483,0.000518,0.000476,0.000515,2,17362,0.00
20170922,0.000435,0.000451,0.000424,0.000433,15,15616,0.00
20170921,0.000504,0.000508,0.000430,0.000435,48,18122,0.00
20170920,0.000470,0.000516,0.000461,0.000507,16,16873,0.00
20170919,0.000533,0.000536,0.000466,0.000470,41,19160,0.00
20170918,0.000443,0.000537,0.000443,0.000532,64,15925,0.00
20170917,0.000442,0.000456,0.000442,0.000444,23,15862,0.00
20170916,0.000408,0.000427,0.000391,0.000399,490,14649,0.00
20170915,0.000389,0.000421,0.000306,0.000409,964,13977,0.00
20170914,0.000543,0.000550,0.000386,0.000386,2,19481,0.00
20170913,0.000581,0.000583,0.000454,0.000543,51,20861,0.00
20170912,0.000590,0.000610,0.000492,0.000584,6,21165,0.00
20170911,0.000510,0.000601,0.000506,0.000589,0,18296,0.00
20170910,0.000476,0.000519,0.000473,0.000511,5,17088,0.00
20170909,0.000606,0.000617,0.000476,0.000478,3,21732,0.00
20170908,0.000556,0.000622,0.000515,0.000605,2,19937,0.00
20170907,0.000600,0.000608,0.000505,0.000556,7,21510,0.00
20170906,0.000486,0.000653,0.000486,0.000601,5,17426,0.00
20170905,0.000474,0.000495,0.000426,0.000486,87,16974,0.00
20170904,0.000508,0.000627,0.000457,0.000471,1,18204,0.00
20170903,0.000461,0.000778,0.000443,0.000508,1594,16518,0.00
20170902,0.000591,0.000592,0.000449,0.000461,61,21163,0.00
20170901,0.000474,0.000590,0.000474,0.000590,0,16968,0.00
20170831,0.000458,0.000570,0.000458,0.000474,25,16396,0.00
20170830,0.000459,0.000465,0.000449,0.000459,78,16446,0.00
20170829,0.000527,0.000554,0.000436,0.000460,15,18850,0.00
20170828,0.000434,0.000528,0.000420,0.000526,9,15543,0.00
20170827,0.000434,0.000653,0.000433,0.000435,1723,15543,0.00
20170826,0.000437,0.000438,0.000427,0.000435,29,15624,0.00
20170825,0.000476,0.000484,0.000430,0.000437,32,17031,0.00
20170824,0.000414,0.000480,0.000411,0.000477,1,14816,0.00
20170823,0.000327,0.000425,0.000326,0.000414,5,11688,0.00
20170822,0.000400,0.000414,0.000322,0.000328,23,14303,0.00
20170821,0.000365,0.000404,0.000323,0.000399,89,13050,0.00
20170820,0.000415,0.000537,0.000367,0.000367,90,14814,0.00
20170819,0.000329,0.000688,0.000240,0.000416,2723,11744,0.00
20170818,0.000385,0.000392,0.000327,0.000329,2,13760,0.00
20170817,0.000342,0.000390,0.000300,0.000386,135,12226,0.00
20170816,0.000374,0.000391,0.000355,0.000388,1,13350,0.00
20170815,0.000433,0.000443,0.000309,0.000373,23,15450,0.00
20170814,0.000447,0.000451,0.000332,0.000432,15,15951,0.00
20170813,0.000425,0.000461,0.000424,0.000447,0,15186,0.00
20170812,0.000402,0.000436,0.000397,0.000426,5,14330,0.00
