date,open,high,low,close,volume,marketcap,average
20180110,0.004440,0.005417,0.002399,0.004265,5246480,41489900,0.00
20180109,0.009291,0.010500,0.003779,0.005438,8527380,86810000,0.01
20180108,0.001065,0.009180,0.001057,0.008167,11543900,9955300,0.01
20180107,0.001079,0.001262,0.001024,0.001065,1229830,8922440,0.00
20180106,0.001119,0.001244,0.000981,0.001079,313152,9250070,0.00
20180105,0.001124,0.001291,0.000976,0.001117,221861,9288950,0.00
20180104,0.001089,0.001136,0.000924,0.001124,278934,8488630,0.00
20180103,0.001010,0.001141,0.000865,0.000976,356175,7875200,0.00
20180102,0.001057,0.001122,0.000805,0.001014,328783,8242040,0.00
20180101,0.000694,0.001058,0.000664,0.001058,93929,5411120,0.00
20171231,0.000616,0.000839,0.000485,0.000806,210671,4804120,0.00
20171230,0.000707,0.000707,0.000443,0.000623,106300,5514360,0.00
20171229,0.000861,0.000863,0.000583,0.000710,189188,5643170,0.00
20171228,0.000924,0.001070,0.000757,0.000853,174041,6056730,0.00
20171227,0.000579,0.001005,0.000431,0.000922,92053,3793400,0.00
20171226,0.000888,0.001057,0.000576,0.000719,129066,5824210,0.00
20171225,0.000612,0.001009,0.000487,0.000890,123866,4014100,0.00
20171224,0.000619,0.000620,0.000316,0.000606,70694,4059570,0.00
20171223,0.000783,0.000954,0.000469,0.000612,245969,5131740,0.00
20171222,0.001064,0.001074,0.000692,0.000775,39720,6976420,0.00
20171221,0.000712,0.001079,0.000708,0.001060,60635,4667460,0.00
20171220,0.000710,0.001079,0.000648,0.000710,130065,4654280,0.00
20171219,0.001092,0.001161,0.000557,0.000711,95951,7158070,0.00
20171218,0.001058,0.001107,0.000636,0.000958,73136,6934050,0.00
20171217,0.000984,0.001271,0.000702,0.001055,78652,6449630,0.00
20171216,0.000797,0.001036,0.000700,0.000967,76418,5223260,0.00
20171215,0.000741,0.001203,0.000515,0.000816,72046,4859860,0.00
20171214,0.001067,0.001104,0.000519,0.000741,16568,6995400,0.00
20171213,0.000547,0.001293,0.000524,0.001070,41982,3586150,0.00
20171212,0.000840,0.000857,0.000429,0.000547,11938,5505720,0.00
20171211,0.000632,0.001088,0.000631,0.000837,11037,4142980,0.00
20171210,0.000745,0.000856,0.000568,0.000635,12024,4881360,0.00
20171209,0.000399,0.000742,0.000349,0.000742,3823,2615330,0.00
20171208,0.000438,0.000602,0.000346,0.000400,11990,2867100,0.00
20171207,0.000281,0.000437,0.000150,0.000437,5825,1843340,0.00
20171206,0.000243,0.000395,0.000137,0.000282,40849,1588260,0.00
20171205,0.000255,0.000402,0.000243,0.000243,8230,1667290,0.00
20171204,0.000278,0.000373,0.000243,0.000254,16145,1822680,0.00
20171203,0.000287,0.000516,0.000258,0.000278,19650,1878730,0.00
20171202,0.000355,0.000461,0.000285,0.000285,7393,2326190,0.00
20171201,0.000165,0.000369,0.000165,0.000355,8159,1083290,0.00
20171130,0.000305,0.000361,0.000166,0.000166,15731,2000330,0.00
