date,open,high,low,close,volume,marketcap,average
20180110,0.752378,1.14,0.643346,0.673356,404776,11171700,0.89
20180109,0.702832,0.869538,0.559775,0.753798,525598,10387700,0.71
20180108,0.472008,0.674940,0.393672,0.674940,259642,6944070,0.53
20180107,0.468219,0.514537,0.406405,0.471396,121830,6856160,0.46
20180106,0.381522,0.573978,0.371719,0.468564,223886,5560510,0.47
20180105,0.505818,0.530008,0.328008,0.381994,214352,7337670,0.43
20180104,0.570454,0.617520,0.464264,0.505960,291024,8236280,0.54
20180103,0.364872,0.611684,0.323723,0.567422,413397,5242890,0.47
20180102,0.258680,0.387178,0.252940,0.373701,246238,3699270,0.32
20180101,0.206831,0.265893,0.201047,0.252909,61005,2943620,0.23
20171231,0.235684,0.245215,0.199009,0.206064,37315,3338140,0.22
20171230,0.252224,0.252224,0.204778,0.238186,59133,3555020,0.23
20171229,0.153799,0.274406,0.148950,0.252859,181589,2157280,0.21
20171228,0.178982,0.186501,0.143982,0.152227,49835,2498240,0.17
20171227,0.207485,0.214974,0.131849,0.179344,114424,2881850,0.17
20171226,0.189459,0.243115,0.180258,0.207330,110810,2618620,0.21
20171225,0.186118,0.205394,0.178377,0.189635,55627,2559720,0.19
20171224,0.198390,0.199168,0.166421,0.184220,44149,2714890,0.18
20171223,0.155662,0.220404,0.152381,0.196209,45409,2119530,0.19
20171222,0.186473,0.188302,0.123952,0.158046,32138,2526340,0.16
20171221,0.184846,0.228338,0.131864,0.185829,82776,2491710,0.18
20171220,0.236657,0.244882,0.173453,0.184368,54558,3173860,0.21
20171219,0.274964,0.281247,0.224834,0.236751,65366,3668810,0.25
20171218,0.229389,0.269407,0.199330,0.265971,65928,3044980,0.23
20171217,0.175235,0.236303,0.158649,0.228014,84366,2314120,0.20
20171216,0.144029,0.176940,0.141415,0.175698,29826,1892170,0.16
20171215,0.177927,0.187982,0.143725,0.143872,35850,2325440,0.17
20171214,0.132639,0.183280,0.128928,0.181555,69608,1724490,0.16
20171213,0.144172,0.151278,0.126721,0.133067,36891,1864620,0.14
20171212,0.117986,0.156517,0.083881,0.144206,128281,1518110,0.12
20171211,0.115318,0.136914,0.111919,0.117612,34641,1475930,0.12
20171210,0.116621,0.128554,0.102588,0.116155,16731,1484630,0.12
20171209,0.122165,0.124003,0.101983,0.116158,17522,1546840,0.11
20171208,0.137872,0.143991,0.100780,0.122257,39061,1736350,0.12
20171207,0.119165,0.142975,0.115800,0.137550,51498,1492650,0.13
20171206,0.115991,0.125461,0.111679,0.119245,49159,1444850,0.12
20171205,0.118029,0.120967,0.114390,0.116249,17211,1462200,0.12
20171204,0.121120,0.125045,0.112049,0.117118,26157,1492280,0.12
20171203,0.122782,0.139066,0.111529,0.120724,21018,1504450,0.13
20171202,0.120076,0.137160,0.106038,0.122664,30703,1463040,0.12
20171201,0.104214,0.128953,0.088929,0.121017,53142,1262670,0.11
20171130,0.087720,0.111813,0.074329,0.104744,31892,1056770,0.09
20171129,0.087276,0.126431,0.079412,0.086394,39540,1045470,0.10
20171128,0.084297,0.093121,0.079191,0.088270,14988,1003950,0.09
20171127,0.075333,0.086649,0.073646,0.084084,18141,892020,0.08
20171126,0.075690,0.082736,0.070256,0.075325,20281,891134,0.08
20171125,0.067762,0.081769,0.064184,0.075728,14295,793213,0.07
20171124,0.071571,0.077714,0.061364,0.067890,20330,832914,0.07
20171123,0.070398,0.077245,0.069694,0.071671,15825,814512,0.07
20171122,0.072636,0.074037,0.069807,0.070097,11113,835475,0.07
20171121,0.072981,0.074910,0.068465,0.072466,8223,834428,0.07
20171120,0.070625,0.076507,0.068368,0.072970,10595,802687,0.07
20171119,0.071348,0.077547,0.068023,0.069767,10120,806005,0.07
20171118,0.066456,0.085087,0.064899,0.073374,10806,746197,0.07
20171117,0.071399,0.073197,0.066168,0.066941,10588,796814,0.07
20171116,0.075072,0.077978,0.071013,0.071518,16023,832679,0.07
20171115,0.080660,0.084294,0.065475,0.074684,27142,889215,0.07
20171114,0.087022,0.091379,0.077729,0.080608,8821,953351,0.08
20171113,0.073622,0.087915,0.061873,0.086841,19508,801521,0.07
20171112,0.069421,0.080278,0.060091,0.073514,6302,751004,0.07
20171111,0.071937,0.074900,0.067003,0.069468,2801,773324,0.07
20171110,0.091518,0.100543,0.072198,0.072198,9981,977590,0.09
20171109,0.079943,0.094552,0.074535,0.091258,15321,848460,0.08
20171108,0.066402,0.089853,0.066012,0.080024,15305,700217,0.08
20171107,0.066740,0.070888,0.064996,0.066614,7691,699247,0.07
20171106,0.073416,0.073963,0.066598,0.066847,6896,764182,0.07
20171105,0.067837,0.079634,0.067118,0.073252,9983,701608,0.07
20171104,0.068573,0.074257,0.063462,0.067946,5022,704575,0.07
20171103,0.083020,0.089484,0.066756,0.069179,11168,847406,0.08
20171102,0.079326,0.097332,0.070513,0.083128,14666,804214,0.08
20171101,0.071769,0.091273,0.064412,0.079261,15011,722847,0.08
20171031,0.095053,0.139843,0.071126,0.074638,39495,950884,0.11
20171030,0.062553,0.099172,0.055492,0.093669,54640,621449,0.08
20171029,0.050025,0.066008,0.049845,0.063280,14541,493556,0.06
20171028,0.042156,0.057659,0.042070,0.050040,9101,413037,0.05
20171027,0.048187,0.048196,0.040864,0.042036,4400,468835,0.04
20171026,0.041480,0.048312,0.040367,0.048178,5513,400775,0.04
20171025,0.046757,0.051632,0.040809,0.041489,4084,448595,0.05
20171024,0.046051,0.057013,0.041857,0.046642,7785,438853,0.05
20171023,0.045477,0.053625,0.038192,0.046200,13592,430345,0.05
20171022,0.051350,0.055594,0.041742,0.045277,5901,482474,0.05
20171021,0.056053,0.057973,0.048850,0.051275,7387,522934,0.05
20171020,0.054824,0.062028,0.051395,0.056171,9215,507722,0.06
20171019,0.055891,0.058157,0.054585,0.054809,4201,513790,0.06
20171018,0.054072,0.058604,0.048764,0.055827,6405,493494,0.05
20171017,0.056063,0.063686,0.051819,0.054070,7756,507847,0.06
20171016,0.057352,0.064482,0.054657,0.056053,4955,515651,0.06
20171015,0.075135,0.076078,0.054470,0.057344,9978,670471,0.07
20171014,0.058406,0.084031,0.054509,0.075001,14308,517146,0.07
20171013,0.064897,0.066760,0.042583,0.058390,11508,570220,0.05
20171012,0.056251,0.071571,0.054406,0.064694,8393,490551,0.06
20171011,0.058290,0.059352,0.055874,0.056204,3983,504307,0.06
20171010,0.058597,0.061672,0.056459,0.058300,6850,503035,0.06
20171009,0.067848,0.068357,0.054047,0.058271,12161,577852,0.06
20171008,0.066186,0.068666,0.059813,0.067830,11636,559480,0.06
20171007,0.067978,0.068889,0.061180,0.066360,7360,569991,0.07
20171006,0.066561,0.074607,0.063480,0.067957,12605,553555,0.07
20171005,0.069704,0.076357,0.066454,0.066454,11556,574961,0.07
20171004,0.072366,0.075606,0.068867,0.069718,9818,591976,0.07
20171003,0.073546,0.081940,0.070850,0.072158,11473,596658,0.08
20171002,0.079062,0.081779,0.072411,0.073990,10437,636052,0.08
20171001,0.081867,0.084953,0.079106,0.079731,8253,653004,0.08
20170930,0.078978,0.086590,0.078043,0.082279,8846,624582,0.08
20170929,0.082460,0.084840,0.077089,0.078973,9572,646463,0.08
20170928,0.084925,0.092809,0.080276,0.084352,22653,660051,0.09
20170927,0.082446,0.089296,0.081759,0.085006,32829,635140,0.09
20170926,0.079801,0.090659,0.078775,0.082677,11838,609445,0.08
20170925,0.085254,0.087872,0.078378,0.080673,34135,645341,0.08
20170924,0.068241,0.088958,0.063429,0.085592,85861,511911,0.08
20170923,0.069746,0.073431,0.067133,0.068246,25528,518485,0.07
20170922,0.066709,0.079929,0.066573,0.069484,8449,491438,0.07
20170921,0.080307,0.083106,0.066170,0.066786,10763,586185,0.07
20170920,0.085073,0.091103,0.080032,0.084047,10879,615193,0.09
20170919,0.089643,0.101373,0.079713,0.085197,12425,642167,0.09
20170918,0.077014,0.103448,0.076283,0.088778,18380,546419,0.09
20170917,0.076184,0.079670,0.072282,0.077168,6775,535331,0.08
20170916,0.078269,0.091616,0.073212,0.077840,11502,544656,0.08
20170915,0.067274,0.086060,0.061577,0.078437,8636,463603,0.07
20170914,0.092556,0.102859,0.064244,0.066753,16275,631481,0.08
20170913,0.084127,0.097870,0.072865,0.092551,15276,568450,0.09
