date,open,high,low,close,volume,marketcap,average
20180107,0.000114,0.000114,0.000114,0.000114,7,1658530,0.00
20180106,0.000104,0.000128,0.000104,0.000115,69,1513590,0.00
20180105,0.000096,0.000108,0.000086,0.000105,32999,1388550,0.00
20180104,0.000084,0.000105,0.000075,0.000101,67204,1217310,0.00
20180103,0.000062,0.000107,0.000057,0.000086,25606,903215,0.00
20180102,0.000049,0.000074,0.000049,0.000062,13889,713238,0.00
20180101,0.000041,0.000066,0.000038,0.000049,10244,591789,0.00
20171231,0.000039,0.000045,0.000033,0.000038,9922,560613,0.00
20171230,0.000036,0.000046,0.000029,0.000039,2066,527162,0.00
20171229,0.000039,0.000052,0.000033,0.000037,7948,563023,0.00
20171228,0.000036,0.000052,0.000026,0.000039,5359,516763,0.00
20171227,0.000041,0.000041,0.000030,0.000036,1739,592386,0.00
20171226,0.000034,0.000041,0.000031,0.000041,4349,494426,0.00
20171225,0.000039,0.000044,0.000019,0.000034,1061,569291,0.00
20171224,0.000033,0.000041,0.000023,0.000039,522,481724,0.00
20171223,0.000037,0.000039,0.000030,0.000033,383,533202,0.00
20171222,0.000032,0.000057,0.000025,0.000037,1309,462925,0.00
20171221,0.000040,0.000043,0.000029,0.000032,275,584715,0.00
20171220,0.000051,0.000052,0.000033,0.000040,1519,732826,0.00
20171219,0.000054,0.000057,0.000046,0.000050,793,785699,0.00
20171218,0.000040,0.000063,0.000040,0.000054,196,585807,0.00
20171217,0.000043,0.000082,0.000038,0.000040,1087,626118,0.00
20171216,0.000042,0.000069,0.000035,0.000042,855,603592,0.00
20171215,0.000037,0.000044,0.000033,0.000042,112,534068,0.00
20171214,0.000037,0.000038,0.000026,0.000037,907,531719,0.00
20171213,0.000044,0.000048,0.000035,0.000037,736,634947,0.00
20171212,0.000030,0.000046,0.000029,0.000044,485,436457,0.00
20171211,0.000027,0.000035,0.000027,0.000030,50,392855,0.00
20171210,0.000024,0.000028,0.000020,0.000028,150,349921,0.00
20171209,0.000022,0.000027,0.000022,0.000024,73,319608,0.00
20171208,0.000019,0.000023,0.000014,0.000022,10,278720,0.00
20171207,0.000022,0.000023,0.000016,0.000019,118,326006,0.00
20171206,0.000020,0.000022,0.000018,0.000022,4,292367,0.00
20171205,0.000017,0.000022,0.000016,0.000020,128,243474,0.00
20171204,0.000020,0.000021,0.000016,0.000017,204,290268,0.00
20171203,0.000018,0.000021,0.000018,0.000020,29,263147,0.00
20171202,0.000020,0.000021,0.000016,0.000018,20,286625,0.00
20171201,0.000017,0.000020,0.000014,0.000020,1328,239538,0.00
20171130,0.000015,0.000017,0.000013,0.000017,1,212673,0.00
20171129,0.000018,0.000019,0.000014,0.000015,18,263511,0.00
20171128,0.000014,0.000018,0.000014,0.000018,15,204626,0.00
20171127,0.000014,0.000017,0.000014,0.000014,10,199696,0.00
20171126,0.000019,0.000019,0.000014,0.000014,6,269137,0.00
20171125,0.000016,0.000019,0.000016,0.000019,1,235834,0.00
20171124,0.000015,0.000016,0.000014,0.000016,1257,222269,0.00
20171123,0.000015,0.000018,0.000015,0.000015,32,211024,0.00
20171122,0.000014,0.000017,0.000012,0.000015,39,202494,0.00
20171121,0.000014,0.000014,0.000011,0.000014,633,200629,0.00
20171120,0.000014,0.000015,0.000013,0.000014,1,207469,0.00
20171119,0.000014,0.000015,0.000013,0.000015,0,202308,0.00
20171118,0.000014,0.000014,0.000013,0.000014,1,198344,0.00
20171117,0.000013,0.000014,0.000012,0.000014,79,181572,0.00
20171116,0.000012,0.000014,0.000011,0.000013,42,173039,0.00
20171115,0.000011,0.000013,0.000011,0.000012,33,154100,0.00
20171114,0.000013,0.000013,0.000010,0.000011,6,186015,0.00
20171113,0.000012,0.000013,0.000011,0.000013,61,167037,0.00
20171112,0.000013,0.000013,0.000011,0.000011,14,182867,0.00
20171111,0.000012,0.000013,0.000012,0.000012,0,178674,0.00
20171110,0.000015,0.000015,0.000011,0.000013,3,216274,0.00
20171109,0.000013,0.000015,0.000012,0.000014,6,183882,0.00
20171108,0.000012,0.000013,0.000012,0.000013,5,175648,0.00
20171107,0.000012,0.000013,0.000011,0.000012,14,176683,0.00
20171106,0.000011,0.000013,0.000010,0.000012,0,153679,0.00
20171105,0.000011,0.000013,0.000010,0.000011,6,153725,0.00
20171104,0.000012,0.000012,0.000010,0.000010,4,167281,0.00
20171103,0.000011,0.000012,0.000011,0.000011,26,166474,0.00
20171102,0.000010,0.000012,0.000009,0.000011,97,146638,0.00
20171101,0.000010,0.000012,0.000010,0.000010,96,145047,0.00
20171031,0.000009,0.000012,0.000009,0.000010,97,137046,0.00
20171030,0.000012,0.000013,0.000009,0.000009,82,177351,0.00
20171029,0.000009,0.000013,0.000009,0.000013,51,127723,0.00
20171028,0.000010,0.000011,0.000009,0.000009,64,152048,0.00
20171027,0.000011,0.000012,0.000010,0.000010,4,164782,0.00
20171026,0.000011,0.000012,0.000010,0.000012,34,153028,0.00
20171025,0.000011,0.000011,0.000010,0.000011,3,159687,0.00
20171024,0.000009,0.000012,0.000009,0.000011,226,127565,0.00
20171023,0.000016,0.000016,0.000008,0.000009,91,233417,0.00
20171022,0.000014,0.000017,0.000014,0.000016,0,204454,0.00
20171021,0.000010,0.000015,0.000010,0.000014,1,151883,0.00
20171020,0.000017,0.000017,0.000010,0.000010,0,240586,0.00
20171019,0.000011,0.000017,0.000011,0.000017,8,157876,0.00
20171018,0.000011,0.000011,0.000010,0.000011,0,155796,0.00
20171017,0.000013,0.000013,0.000011,0.000011,0,184598,0.00
20171016,0.000012,0.000013,0.000012,0.000013,1,180316,0.00
