date,open,high,low,close,volume,marketcap,average
20180110,57.64,72.20,48.79,58.95,39116100,132454000,60.50
20180109,42.00,64.88,41.64,57.44,21036800,96514000,53.26
20180108,45.66,45.77,36.77,41.73,8249410,104921000,41.27
20180107,46.68,55.37,45.78,45.78,13294000,107253000,50.58
20180106,34.25,75.88,33.28,47.27,74986600,78696700,54.58
20180105,27.37,37.67,25.38,35.49,11459400,62903100,31.52
20180104,25.80,27.79,24.16,27.13,2927540,59287200,25.98
20180103,25.85,26.35,23.49,25.66,2647190,59401000,24.92
20180102,23.42,27.80,22.07,25.68,4875890,53823500,24.94
20180101,23.51,26.25,22.49,23.42,2868610,54019200,24.37
20171231,17.19,26.50,16.84,23.33,8614880,39505800,21.67
20171230,18.14,19.81,15.24,17.41,2749600,41688900,17.52
20171229,18.98,21.52,17.51,18.31,6102200,43614600,19.52
20171228,13.77,22.40,11.64,19.10,13887700,31643900,17.02
20171227,12.68,13.86,11.47,13.84,681797,29143300,12.66
20171226,13.89,15.28,10.65,12.67,1061250,31924000,12.96
20171225,12.49,16.23,11.68,13.91,1496420,28700200,13.96
20171224,10.24,12.94,9.30,12.37,1775190,23533200,11.12
20171223,7.57,10.93,7.51,10.10,798392,17401500,9.22
20171222,9.25,9.49,5.15,7.50,558996,21246000,7.32
20171221,8.14,10.71,8.14,9.21,1033680,18697900,9.43
20171220,8.44,8.76,7.23,8.09,418278,19396200,8.00
20171219,11.01,11.13,7.62,8.45,856333,25290600,9.38
20171218,7.13,11.04,6.56,11.04,1809690,16378000,8.80
20171217,6.23,7.24,6.07,7.11,394205,14311600,6.66
20171216,5.64,6.57,5.52,6.23,358902,12949000,6.04
20171215,6.12,6.31,5.37,5.55,248607,14064700,5.84
20171214,5.76,6.39,5.65,6.19,538479,13244400,6.02
20171213,5.92,6.61,5.54,5.78,451978,13600700,6.08
20171212,5.38,6.31,5.09,5.90,531187,12367500,5.70
20171211,5.12,6.11,5.09,5.37,187210,11767400,5.60
20171210,5.54,5.69,4.87,5.15,143892,12729800,5.28
20171209,5.95,6.39,5.18,5.46,146068,13665900,5.79
20171208,6.66,7.13,5.19,5.95,187521,15295800,6.16
20171207,6.49,7.27,5.45,6.63,274512,14912200,6.36
20171206,6.73,6.87,6.08,6.50,276940,15469800,6.47
20171205,6.58,7.32,6.24,6.75,323184,15131000,6.78
20171204,5.58,6.65,5.43,6.48,279545,12818500,6.04
20171203,5.36,5.74,5.23,5.56,133092,12316200,5.49
20171202,5.30,5.68,5.17,5.36,60759,12180900,5.42
20171201,5.00,5.58,4.88,5.31,86692,11484400,5.23
20171130,4.85,5.20,4.51,5.02,111425,11146700,4.86
20171129,5.76,6.64,4.65,4.65,248241,13237300,5.64
20171128,5.86,6.16,5.66,5.67,131841,13473200,5.91
20171127,6.22,6.38,5.59,5.85,329984,14295900,5.98
20171126,4.97,6.54,4.95,6.22,748574,11412100,5.75
20171125,4.76,4.97,4.62,4.97,198107,10944900,4.79
20171124,4.98,5.02,4.56,4.80,335481,11435500,4.79
20171123,4.99,5.12,4.61,4.98,301004,11476500,4.87
20171122,4.47,5.00,4.43,4.95,250421,10268200,4.71
20171121,4.67,4.71,4.34,4.46,223224,10732700,4.53
20171120,4.65,4.78,4.62,4.67,185287,10676400,4.70
20171119,4.63,4.81,4.51,4.65,245606,10637700,4.66
20171118,4.45,4.67,4.28,4.63,164491,10224300,4.47
20171117,4.68,4.70,4.36,4.47,180169,10748800,4.53
20171116,4.79,4.88,4.58,4.68,254400,10999900,4.73
20171115,4.74,5.03,4.60,4.77,276386,10891300,4.81
20171114,4.64,4.90,4.51,4.73,205571,10660900,4.71
20171113,4.02,4.75,3.99,4.62,171694,9242640,4.37
20171112,4.76,4.76,3.84,4.02,237238,10944000,4.30
20171111,5.01,5.83,4.72,4.77,570763,11507300,5.28
20171110,5.59,6.87,4.66,5.07,972804,12834100,5.77
20171109,5.43,5.86,5.22,5.57,326803,12483400,5.54
20171108,4.87,5.45,4.81,5.37,337044,11187500,5.13
20171107,4.77,5.09,4.77,4.88,120166,10967500,4.93
