date,open,high,low,close,volume,marketcap,average
20180110,34.57,34.95,28.70,30.45,1575990,28247700,31.83
20180109,23.94,38.79,22.83,35.22,3406630,19378400,30.81
20180108,22.47,24.55,19.50,23.83,1811610,18008100,22.02
20180107,18.41,22.79,15.78,22.50,2474260,14604900,19.29
20180106,13.66,23.32,13.22,18.61,1294080,10734700,18.27
20180105,12.65,13.49,11.42,13.49,838278,9836640,12.46
20180104,11.34,13.03,10.09,12.73,1097790,8731540,11.56
20180103,9.77,11.30,9.65,11.05,913649,7444500,10.48
20180102,9.11,10.64,8.34,9.81,794615,6866900,9.49
20180101,9.41,10.18,7.90,9.17,635098,7020190,9.04
20171231,10.74,11.29,8.05,9.35,1285890,7930780,9.67
20171230,14.97,15.00,10.40,10.44,1415890,10924200,12.70
20171229,11.40,16.96,10.56,14.61,2474190,8222080,13.76
20171228,8.13,11.18,8.09,11.18,1241650,5800080,9.63
20171227,7.13,8.77,6.78,8.15,491914,5030300,7.78
20171226,6.89,8.38,5.71,7.02,613448,4804690,7.04
20171225,5.47,6.98,5.10,6.98,566539,3772120,6.04
20171224,5.86,6.02,5.02,5.43,121020,3997250,5.52
20171223,5.44,6.68,5.15,5.80,303916,3666250,5.92
20171222,5.30,6.06,3.70,5.62,425924,3521800,4.88
20171221,5.44,6.14,4.62,5.28,359124,3572560,5.38
20171220,5.79,5.86,4.84,5.29,230072,3756050,5.35
20171219,6.77,6.78,5.34,5.81,334252,4332880,6.06
20171218,5.22,7.06,4.72,6.76,432347,3293860,5.89
20171217,5.26,5.97,4.78,5.20,262896,3280700,5.38
20171216,4.74,6.17,4.74,5.64,233876,2922740,5.46
20171215,5.74,6.75,4.66,4.73,291374,3492640,5.71
20171214,6.57,6.79,5.53,5.74,294388,3942350,6.16
20171213,6.61,6.80,5.84,6.61,350746,3912040,6.32
20171212,6.23,7.69,6.02,6.61,376225,3627840,6.86
20171211,6.41,7.56,5.72,6.21,412048,3678020,6.64
20171210,8.24,8.31,5.44,6.92,418515,4651020,6.88
20171209,7.41,8.50,6.51,7.96,294691,4111490,7.50
20171208,8.16,9.85,6.85,7.42,477747,4448140,8.35
20171207,7.81,8.52,4.82,8.52,810347,4186800,6.67
20171206,7.74,8.14,5.33,7.82,1045670,4080360,6.74
20171205,8.55,9.39,7.07,7.74,1277350,4428240,8.23
20171204,4.27,9.08,4.25,8.84,1534250,2170100,6.67
20171203,3.47,4.70,2.74,4.25,722336,1733080,3.72
20171202,1.78,4.26,1.74,3.30,716972,871654,3.00
20171201,1.49,1.86,1.44,1.78,52449,717214,1.65
20171130,1.31,1.89,1.30,1.50,89425,618948,1.59
20171129,1.32,1.73,1.19,1.29,56551,609038,1.46
20171128,1.21,1.35,1.17,1.35,55517,541738,1.26
20171127,1.07,1.26,0.977150,1.21,36738,475449,1.12
20171126,0.966640,1.23,0.830224,1.07,63944,420356,1.03
20171125,0.959663,1.09,0.943095,0.968275,20477,408226,1.02
20171124,1.06,1.09,0.911170,0.961606,23568,441461,1.00
20171123,1.17,1.27,1.05,1.05,31534,475593,1.16
20171122,1.16,1.30,1.04,1.17,59195,460644,1.17
20171121,1.17,1.26,1.09,1.17,33349,452401,1.18
20171120,1.17,1.40,1.16,1.16,66386,442646,1.28
20171119,1.14,1.37,1.01,1.17,41594,422227,1.19
20171118,1.46,1.58,1.00,1.16,100699,525853,1.29
20171117,1.57,1.74,1.46,1.47,90422,549783,1.60
20171116,1.45,1.77,1.41,1.61,112419,494290,1.59
20171115,1.19,1.87,1.18,1.44,315536,393633,1.52
20171114,0.982698,1.39,0.760573,1.16,341924,315339,1.08
20171113,0.795495,1.21,0.772773,0.980621,45059,247427,0.99
20171112,1.02,1.17,0.712170,0.794338,22792,307100,0.94
20171111,1.27,1.36,0.661549,1.02,16977,370872,1.01
20171110,1.64,1.64,1.23,1.27,12170,462778,1.44
20171109,1.72,1.79,1.36,1.63,28155,469351,1.58
20171108,1.66,1.83,1.59,1.72,18426,438542,1.71
20171107,1.64,1.73,1.60,1.67,6905,414535,1.67
20171106,1.84,1.84,1.47,1.64,10947,447337,1.66
20171105,1.85,2.11,1.69,1.83,14343,431413,1.90
20171104,1.66,2.22,1.60,2.22,15149,371046,1.91
20171103,1.44,2.91,1.44,1.66,15817,,2.17
20171102,1.78,1.80,1.34,1.44,18028,,1.57
20171101,2.18,2.45,0.855815,1.78,36310,,1.65
20171031,2.46,2.68,2.14,2.16,30974,,2.41
20171030,3.45,3.45,2.29,2.47,43509,,2.87
20171029,3.37,3.72,3.01,3.47,57616,,3.37
20171028,3.26,3.44,2.32,3.38,55256,,2.88
20171027,2.06,3.17,2.06,3.16,42049,,2.62
