date,open,high,low,close,volume,marketcap,average
20180110,1.23,1.32,1.15,1.32,7321,,1.23
20180109,1.35,1.38,1.12,1.23,9844,,1.25
20180108,1.25,1.45,1.14,1.35,1701,,1.29
20180107,1.36,1.52,1.26,1.26,1234,,1.39
20180106,1.56,1.57,1.27,1.36,2164,,1.42
20180105,1.36,1.57,1.24,1.56,3871,,1.41
20180104,1.38,1.41,1.16,1.36,6611,,1.28
20180103,1.47,1.52,1.26,1.38,6759,,1.39
20180102,1.42,1.60,1.23,1.47,4903,,1.42
20180101,1.36,1.45,1.14,1.42,5983,,1.29
20171231,1.21,1.39,0.829660,1.35,5614,,1.11
20171230,1.45,1.45,0.978621,1.23,5173,,1.21
20171229,1.46,1.54,1.33,1.45,6167,,1.44
20171228,1.61,1.62,1.37,1.44,6237,,1.50
20171227,1.60,1.69,1.39,1.61,8660,,1.54
20171226,1.45,1.64,1.24,1.60,9625,,1.44
20171225,1.71,1.72,1.38,1.45,6830,,1.55
20171224,1.82,1.82,1.39,1.69,6517,,1.60
20171223,1.38,2.13,1.27,1.80,9500,,1.70
20171222,1.70,1.72,1.21,1.37,3928,,1.46
20171221,1.40,1.89,1.33,1.70,6337,,1.61
20171220,1.79,1.83,1.28,1.40,5201,,1.56
20171219,1.47,1.99,1.33,1.80,7133,,1.66
20171218,2.68,2.68,1.16,1.47,6352,,1.92
20171217,2.82,2.85,2.12,2.67,6654,,2.49
20171216,2.99,3.21,2.17,2.82,6559,,2.69
20171215,2.95,3.19,1.83,2.99,9750,,2.51
20171214,1.99,2.99,0.997353,2.95,11976,,1.99
20171213,1.88,3.24,1.22,2.00,8606,,2.23
20171212,1.64,1.93,1.58,1.88,10050,,1.75
20171211,1.56,1.69,1.33,1.63,9997,,1.51
20171210,1.20,1.61,1.06,1.57,9527,,1.33
20171209,1.67,1.70,0.938308,1.20,8791,,1.32
20171208,1.88,1.90,0.803978,1.67,10380,,1.35
20171207,1.74,1.87,0.906006,1.87,11567,,1.39
20171206,1.40,1.82,1.14,1.75,9474,,1.48
20171205,1.34,2.11,1.29,1.41,8584,,1.70
20171204,2.14,2.20,1.29,1.34,7578,,1.75
20171203,1.96,2.28,1.95,2.14,10563,,2.11
20171202,2.17,2.22,1.96,1.96,10983,,2.09
20171201,2.03,2.34,1.91,2.17,10169,,2.12
20171130,2.00,2.18,1.76,2.04,12849,,1.97
20171129,2.18,3.14,1.88,1.97,8426,,2.51
20171128,2.72,3.21,2.18,2.19,11449,,2.70
20171127,2.90,3.34,2.59,2.71,14202,,2.96
20171126,2.03,2.93,2.03,2.90,19337,,2.48
20171125,1.56,2.30,1.52,2.03,10563,,1.91
20171124,2.26,2.40,1.15,1.56,10845,,1.77
20171123,2.30,3.01,2.27,2.27,14341,,2.64
20171122,3.34,3.42,2.04,2.30,15859,,2.73
20171121,3.46,3.51,2.42,3.33,19382,,2.96
20171120,3.30,3.54,2.43,3.46,18129,,2.99
20171119,3.43,3.62,2.27,3.30,24867,,2.95
20171118,2.83,3.45,2.75,3.43,23911,,3.10
20171117,2.38,2.92,2.34,2.84,18041,,2.63
20171116,2.20,3.42,2.09,2.38,19288,,2.75
20171115,1.99,2.20,1.99,2.19,18953,,2.10
20171114,1.96,2.02,1.93,1.99,11930,,1.98
20171113,1.77,2.02,1.75,1.96,18952,,1.89
20171112,2.13,2.13,1.55,1.76,4663,,1.84
20171111,1.97,2.34,1.87,2.13,7386,,2.10
20171110,2.48,2.55,1.98,1.98,12922,,2.26
20171109,2.57,2.57,2.29,2.47,20698,,2.43
20171108,2.48,2.70,2.37,2.58,18842,,2.54
20171107,2.78,2.88,2.44,2.48,6300,,2.66
20171106,2.55,3.15,2.43,2.79,7416,,2.79
20171105,3.68,3.74,2.51,2.54,3747,,3.12
20171104,3.64,3.75,3.15,3.69,4023,,3.45
20171103,3.42,3.84,3.01,3.65,6710,,3.42
20171102,2.89,3.50,2.89,3.42,5032,,3.20
20171101,3.09,3.53,2.55,2.89,3665,,3.04
20171031,3.27,3.43,2.09,3.09,12159,,2.76
20171030,3.08,3.32,2.93,3.28,33009,,3.12
20171029,3.04,3.43,2.91,3.10,32213,,3.17
20171028,3.05,3.11,3.01,3.04,9,,3.06
20171027,3.10,3.44,2.85,3.05,8416,,3.15
20171026,3.61,3.74,3.06,3.10,9987,,3.40
20171025,3.02,3.70,2.92,3.61,17076,,3.31
20171024,3.86,3.86,3.00,3.01,451,,3.43
20171023,3.94,4.00,3.08,3.87,3624,,3.54
20171022,3.91,3.98,3.07,3.95,10236,,3.52
20171021,4.02,4.11,3.11,3.91,11868,,3.61
20171020,4.56,4.61,3.58,4.02,698,,4.10
20171019,5.14,5.20,2.96,4.55,16097,,4.08
20171018,5.34,5.34,1.34,5.14,18642,,3.34
20171017,5.41,5.43,4.64,5.34,20377,,5.04
20171016,5.44,5.47,4.59,5.41,14831,,5.03
20171015,4.70,5.50,4.38,5.44,11344,,4.94
20171014,5.52,5.65,4.57,4.69,19100,,5.11
20171013,5.37,5.80,3.11,5.52,11560,,4.46
20171012,3.50,5.85,3.49,5.35,4179,,4.67
20171011,4.49,5.56,3.26,3.50,16559,,4.41
20171010,5.03,5.34,4.15,4.49,2565,,4.75
20171009,4.63,5.57,4.14,5.03,45757,,4.86
20171008,5.03,5.22,4.00,4.63,31487,,4.61
20171007,3.94,5.05,3.80,5.04,24049,,4.42
20171006,4.89,5.04,3.91,3.94,16722,,4.47
20171005,4.98,5.18,3.76,4.89,38095,,4.47
20171004,3.78,5.10,3.65,4.98,50892,,4.38
