date,open,high,low,close,volume,marketcap,average
20180110,0.011969,0.016436,0.004573,0.006263,109594,4804660,0.01
20180109,0.002540,0.040190,0.002401,0.011956,346433,1019640,0.02
20180108,0.004825,0.007533,0.002119,0.002423,243556,1936740,0.00
20180107,0.003684,0.005004,0.002603,0.004831,15534,1478920,0.00
20180106,0.002614,0.003695,0.002050,0.003687,2717,1049240,0.00
20180105,0.003316,0.003474,0.001980,0.002612,3395,1331040,0.00
20180104,0.003645,0.003929,0.002082,0.003311,3754,1463020,0.00
20180103,0.003015,0.003634,0.002496,0.003626,3422,1210240,0.00
20180102,0.001380,0.003029,0.001317,0.003020,3029,554129,0.00
20180101,0.001366,0.002129,0.001312,0.001381,1123,548523,0.00
20171231,0.001552,0.001966,0.001282,0.001361,333,622994,0.00
20171230,0.002231,0.002238,0.001220,0.001568,865,895502,0.00
20171229,0.001076,0.002638,0.001046,0.002236,4975,431995,0.00
20171228,0.000871,0.001483,0.000852,0.001065,2650,349532,0.00
20171227,0.000765,0.001579,0.000760,0.000897,573,307220,0.00
20171226,0.001117,0.001133,0.000509,0.000765,1003,448426,0.00
20171225,0.000880,0.001367,0.000720,0.001118,2741,353056,0.00
20171224,0.001256,0.001256,0.000531,0.000871,3352,504203,0.00
20171223,0.001151,0.002198,0.001112,0.001242,6411,462181,0.00
20171222,0.000912,0.001324,0.000757,0.001139,2236,365997,0.00
20171221,0.000262,0.001228,0.000168,0.000909,2705,105006,0.00
20171220,0.000542,0.000652,0.000255,0.000261,126,217598,0.00
20171219,0.000563,0.000935,0.000532,0.000543,411,225841,0.00
20171218,0.000361,0.001205,0.000351,0.000562,951,144848,0.00
20171217,0.000214,0.000821,0.000212,0.000360,208,85980,0.00
20171216,0.000710,0.000724,0.000188,0.000214,242,285168,0.00
20171215,0.000498,0.000735,0.000498,0.000710,66,199759,0.00
20171214,0.000167,0.000503,0.000165,0.000497,17,67024,0.00
20171213,0.000518,0.000525,0.000163,0.000168,1676,208049,0.00
20171212,0.000318,0.000526,0.000174,0.000518,9,127778,0.00
20171211,0.000452,0.000977,0.000281,0.000318,5,181506,0.00
20171210,0.000467,0.000470,0.000403,0.000455,26,187573,0.00
20171209,0.000163,0.000476,0.000157,0.000466,27,65287,0.00
20171208,0.000231,0.000234,0.000160,0.000163,87,92691,0.00
20171207,0.000165,0.000284,0.000136,0.000230,509,66103,0.00
20171206,0.000117,0.000165,0.000117,0.000165,165,46969,0.00
20171205,0.000443,0.000445,0.000116,0.000117,866,178016,0.00
20171204,0.000418,0.000443,0.000323,0.000443,58,167611,0.00
20171203,0.000171,0.000560,0.000170,0.000416,49,68649,0.00
20171202,0.000212,0.000420,0.000168,0.000171,412,84926,0.00
20171201,0.000152,0.000225,0.000107,0.000212,1956,61084,0.00
20171130,0.000301,0.000321,0.000150,0.000153,404,121027,0.00
20171129,0.000345,0.000354,0.000218,0.000297,218,138597,0.00
20171128,0.000099,0.000577,0.000098,0.000346,1143,39575,0.00
20171127,0.000219,0.000222,0.000096,0.000098,256,87895,0.00
20171126,0.000130,0.000405,0.000129,0.000219,110,52377,0.00
20171125,0.000084,0.000166,0.000084,0.000131,145,33559,0.00
20171124,0.000146,0.000147,0.000084,0.000084,563,58574,0.00
20171123,0.000183,0.000239,0.000105,0.000146,199,73624,0.00
20171122,0.000213,0.000215,0.000092,0.000183,133,85515,0.00
20171121,0.000323,0.000324,0.000173,0.000213,16,129846,0.00
20171120,0.000209,0.000325,0.000208,0.000324,45,83799,0.00
20171119,0.000172,0.000314,0.000169,0.000209,22,68847,0.00
20171118,0.000275,0.000359,0.000170,0.000172,59,110380,0.00
20171117,0.000180,0.000457,0.000112,0.000276,93,72447,0.00
20171116,0.000146,0.000181,0.000074,0.000181,40,58632,0.00
20171115,0.000207,0.000213,0.000072,0.000145,331,83186,0.00
20171114,0.000174,0.000271,0.000150,0.000207,119,69719,0.00
20171113,0.000117,0.000288,0.000117,0.000173,24,46993,0.00
20171112,0.000127,0.000127,0.000056,0.000117,72,51118,0.00
20171111,0.000131,0.000135,0.000063,0.000127,469,52786,0.00
20171110,0.000111,0.000177,0.000094,0.000132,58,44491,0.00
20171109,0.000287,0.000287,0.000109,0.000111,90,115309,0.00
20171108,0.000077,0.000287,0.000076,0.000287,15,30774,0.00
20171107,0.000074,0.000143,0.000073,0.000077,185,29534,0.00
20171106,0.000092,0.000163,0.000070,0.000074,171,36944,0.00
20171105,0.000372,0.000373,0.000084,0.000092,80,149274,0.00
20171104,0.000187,0.000376,0.000143,0.000373,52,75242,0.00
20171103,0.000611,0.000611,0.000092,0.000188,1692,245328,0.00
20171102,0.000773,0.001385,0.000434,0.000610,235,310280,0.00
20171101,0.000248,0.001736,0.000166,0.000778,92,99712,0.00
20171031,0.000069,0.000271,0.000068,0.000249,29,27571,0.00
20171030,0.000130,0.000130,0.000068,0.000069,27,52120,0.00
20171029,0.000238,0.000239,0.000057,0.000131,235,95670,0.00
20171028,0.000131,0.000325,0.000131,0.000239,33,52466,0.00
20171027,0.000118,0.000131,0.000057,0.000130,13,47262,0.00
20171026,0.000229,0.000232,0.000059,0.000118,22,92076,0.00
20171025,0.000219,0.000230,0.000218,0.000229,58,87736,0.00
20171024,0.000059,0.000059,0.000056,0.000056,1,23546,0.00
20171023,0.000210,0.000213,0.000059,0.000059,7,84385,0.00
20171022,0.000060,0.000343,0.000057,0.000211,50,24140,0.00
20171021,0.000147,0.000150,0.000059,0.000060,2,58809,0.00
20171020,0.000058,0.000155,0.000056,0.000147,50,23428,0.00
20171019,0.000320,0.000327,0.000058,0.000058,63,128446,0.00
20171018,0.000056,0.000325,0.000053,0.000320,54,22483,0.00
20171017,0.000058,0.000058,0.000055,0.000056,1,23198,0.00
20171016,0.000057,0.000058,0.000056,0.000058,4,22849,0.00
20171015,0.000200,0.000200,0.000057,0.000057,53,80124,0.00
20171014,0.000057,0.000289,0.000056,0.000199,21,22703,0.00
20171013,0.000206,0.000290,0.000055,0.000057,1,82782,0.00
20171012,0.000247,0.000298,0.000162,0.000206,4,99002,0.00
20171011,0.000185,0.000250,0.000048,0.000246,66,74417,0.00
20171010,0.000096,0.000243,0.000096,0.000185,90,38425,0.00
20171009,0.000137,0.000185,0.000095,0.000096,5,54965,0.00
20171008,0.000053,0.000137,0.000045,0.000137,19,21250,0.00
