date,open,high,low,close,volume,marketcap,average
20180110,1.73,1.74,1.32,1.40,26550,,1.53
20180109,2.11,2.29,1.36,1.52,48004,,1.83
20180108,3.26,3.39,1.24,2.08,128209,,2.31
20180107,1.30,16.80,0.993873,3.34,184150,,8.90
20180106,1.06,1.36,0.841343,1.30,1366,,1.10
20180105,1.28,1.34,1.00,1.06,337,,1.17
20180104,1.29,1.31,1.22,1.28,103,,1.27
20180103,1.24,1.31,0.842668,1.28,410,,1.08
20180102,1.14,1.41,0.976454,1.25,475,,1.19
20180101,0.740689,1.29,0.705353,1.14,80,,1.00
20171231,1.09,1.24,0.645370,0.739182,528,,0.94
20171230,0.700795,1.11,0.582178,1.09,4,,0.85
20171229,1.01,1.05,0.695306,0.702610,218,,0.87
20171228,0.932193,1.05,0.636028,1.00,191,,0.84
20171227,0.697444,1.19,0.627127,0.934151,380,,0.91
20171226,1.11,1.24,0.690257,0.696859,175,,0.97
20171225,0.675557,1.13,0.574455,1.11,658,,0.85
20171224,0.612108,0.892717,0.570177,0.668658,2146,,0.73
20171223,0.533282,0.704448,0.442341,0.605429,240,,0.57
20171222,0.757324,0.764547,0.525973,0.529215,51,,0.65
20171221,0.651651,0.763463,0.585316,0.754782,65,,0.67
20171220,0.680083,0.688611,0.619161,0.650287,11,,0.65
20171219,0.959927,0.963323,0.658186,0.680754,124,,0.81
20171218,0.950090,1.57,0.907477,0.958983,12,,1.24
20171217,0.652962,0.977713,0.639981,0.947221,581,,0.81
20171216,0.960064,0.990777,0.588277,0.652907,247,,0.79
20171215,0.929459,0.971556,0.570493,0.958773,331,,0.77
20171214,0.638644,0.931332,0.631428,0.916039,2,,0.78
20171213,0.921066,0.933782,0.636179,0.640700,37,,0.78
20171212,0.663147,0.955201,0.655814,0.920059,26,,0.81
20171211,0.623601,0.703843,0.620875,0.660825,10,,0.66
20171210,0.600156,0.645110,0.525246,0.628137,126,,0.59
20171209,0.653071,0.667004,0.535800,0.597749,20,,0.60
20171208,1.15,1.16,0.565423,0.653712,291,,0.86
20171207,0.796681,1.15,0.786490,1.15,185,,0.97
20171206,0.693915,0.799175,0.693828,0.798052,28,,0.75
20171205,0.668953,0.707711,0.663010,0.699501,27,,0.69
20171204,0.495537,0.667640,0.421090,0.667640,114,,0.54
20171203,0.438361,0.522131,0.355838,0.493900,58,,0.44
20171202,0.435483,0.503537,0.429220,0.437942,166,,0.47
20171201,0.429747,0.498204,0.379540,0.435854,92,,0.44
20171130,0.471777,0.513183,0.408232,0.431886,27,,0.46
20171129,0.481506,0.554787,0.436465,0.464640,28,,0.50
20171128,0.468313,0.484015,0.463789,0.481985,36,,0.47
20171127,0.448029,0.557282,0.448029,0.467110,11,,0.50
20171126,0.463126,0.464648,0.424696,0.447838,150,,0.44
20171125,0.394816,0.463062,0.392635,0.463062,33,,0.43
20171124,0.388916,0.431152,0.381602,0.395644,233,,0.41
20171123,0.393683,0.427454,0.389750,0.389750,190,,0.41
20171122,0.406785,0.461390,0.389876,0.393855,571,,0.43
20171121,0.398063,0.473693,0.376558,0.405927,214,,0.43
20171120,0.402330,0.478743,0.389619,0.397989,501,,0.43
20171119,0.459350,0.485481,0.370201,0.402518,99,,0.43
20171118,0.461204,0.467428,0.390811,0.460203,64,,0.43
20171117,0.525593,0.537963,0.399724,0.462979,83,,0.47
20171116,0.492956,0.536182,0.433371,0.526456,25,,0.48
20171115,0.448729,0.495891,0.406270,0.490386,8,,0.45
20171114,0.455658,0.468923,0.419375,0.448422,13,,0.44
20171113,0.408021,0.469264,0.324660,0.454695,39,,0.40
20171112,0.442294,0.447347,0.384986,0.407428,19,,0.42
20171111,0.330847,0.453529,0.252721,0.442615,160,,0.35
20171110,0.361854,0.369074,0.324643,0.332029,0,,0.35
20171109,0.436022,0.436022,0.411655,0.419318,1,,0.42
20171108,0.412736,0.454881,0.358122,0.436472,1,,0.41
20171107,0.510612,0.529583,0.370933,0.414035,2,,0.45
20171106,0.475837,0.739406,0.457705,0.511937,88,,0.60
20171105,0.472940,0.490129,0.468246,0.474783,8,,0.48
20171104,0.444564,0.872307,0.434370,0.473820,255,,0.65
20171103,0.702328,0.881855,0.441178,0.445723,164,,0.66
20171102,0.794448,0.815246,0.675745,0.703249,5,,0.75
20171101,1.02,1.02,0.342116,0.793563,244,,0.68
20171031,0.970214,1.02,0.965071,1.02,655,,0.99
20171030,0.974579,0.984048,0.955378,0.973520,2,,0.97
20171029,0.729394,0.984918,0.729394,0.980274,1070,,0.86
20171028,0.705847,0.718956,0.694808,0.702932,9,,0.71
20171027,0.825740,0.913088,0.290761,0.703925,106,,0.60
20171026,0.716798,0.828317,0.528512,0.825556,33,,0.68
20171025,0.694642,0.718160,0.673013,0.716883,94,,0.70
20171024,0.704311,1.01,0.628601,0.692782,144,,0.82
20171023,0.896774,0.909971,0.681707,0.706537,48,,0.80
20171022,1.01,1.02,0.753469,0.898220,7,,0.89
20171021,1.13,1.16,0.773651,1.01,61,,0.97
20171020,0.799267,1.14,0.787480,1.14,56,,0.96
20171019,1.02,1.14,0.775104,0.799043,117,,0.96
20171018,0.788807,1.05,0.739066,1.02,13,,0.89
20171017,0.866857,1.13,0.775248,0.788752,966,,0.95
20171016,0.888107,0.892626,0.841040,0.866723,360,,0.87
20171015,0.883423,0.896991,0.854496,0.887988,1,,0.88
20171014,1.10,1.11,0.844547,0.881845,12,,0.98
20171013,0.997282,1.16,0.850520,1.10,185,,1.01
20171012,0.970846,1.16,0.968346,0.994220,267,,1.06
20171011,0.951674,1.14,0.944849,0.970025,2153,,1.04
20171010,1.05,1.07,0.883225,0.951829,60,,0.98
20171009,1.08,1.14,1.04,1.05,2128,,1.09
20171008,1.05,1.09,1.04,1.08,87,,1.06
20171007,1.03,1.05,1.01,1.05,623,,1.03
20171006,0.949822,1.04,0.947941,1.03,4125,,0.99
20171005,0.996042,1.03,0.931135,0.949826,688,,0.98
20171004,1.02,1.03,0.933972,0.995142,8571,,0.98
20171003,0.984387,1.02,0.980264,1.02,21702,,1.00
20171002,1.04,1.05,0.976587,0.984350,2192,,1.01
20171001,1.03,1.04,0.976573,1.04,3128,,1.01
20170930,0.988766,1.03,0.958456,1.02,18165,,0.99
20170929,0.976442,0.997257,0.938366,0.988641,6380,,0.97
20170928,1.00,1.02,0.963763,0.977196,6,,0.99
20170927,0.933121,1.01,0.895134,1.00,929,,0.95
20170926,0.962080,0.963900,0.911458,0.935681,80,,0.94
20170925,0.959920,0.994596,0.874311,0.961217,187,,0.93
20170924,1.15,1.15,0.877078,0.960894,9,,1.01
20170923,1.11,1.20,1.10,1.15,609,,1.15
20170922,1.17,1.21,1.11,1.12,9938,,1.16
20170921,1.24,1.28,0.977953,1.17,159,,1.13
20170920,1.40,1.42,0.991339,1.24,512,,1.21
20170919,1.61,1.67,1.39,1.40,54,,1.53
20170918,1.40,1.69,1.38,1.61,812,,1.53
20170917,1.40,1.64,1.35,1.41,847,,1.50
20170916,1.61,1.68,1.35,1.40,3115,,1.52
20170915,1.30,1.76,1.08,1.59,3671,,1.42
20170914,1.52,1.54,1.13,1.30,31633,,1.33
20170913,2.03,2.03,1.26,1.52,2827,,1.65
20170912,1.73,2.15,1.73,2.02,30764,,1.94
20170911,1.05,3.17,1.02,1.73,95955,,2.09
20170910,1.04,1.11,1.03,1.04,156002,,1.07
