date,open,high,low,close,volume,marketcap,average
20180110,1097.69,1151.85,1004.02,1076.53,1244900,,1077.93
20180109,1112.34,1259.56,941.55,1096.44,1557700,,1100.55
20180108,1171.07,1220.78,1015.89,1112.88,1242620,,1118.34
20180107,1224.52,1267.32,1134.89,1169.35,1802970,,1201.11
20180106,1105.47,1216.90,1092.42,1216.90,2040790,,1154.66
20180105,1033.52,1117.96,1012.90,1096.78,1657580,,1065.43
20180104,998.39,1098.15,933.83,1040.25,733011,,1015.99
20180103,1064.77,1090.88,999.22,1074.53,809445,,1045.05
20180102,971.17,1070.10,958.84,1063.07,660736,,1014.47
20180101,961.02,985.59,883.00,970.09,502841,,934.30
20171231,907.95,994.32,902.05,959.91,814006,,948.18
20171230,1010.77,1012.60,869.29,918.43,528455,,940.94
20171229,1006.88,1044.80,970.57,1007.08,800242,,1007.68
20171228,1041.72,1043.06,920.61,996.76,799689,,981.84
20171227,1065.41,1100.51,1010.77,1038.11,877151,,1055.64
20171226,1053.56,1114.47,823.55,1064.33,943383,,969.01
20171225,1012.00,1054.78,918.28,1047.20,357740,,986.53
20171224,1001.15,1103.93,809.20,1005.60,245322,,956.57
20171223,830.24,1084.73,830.24,989.82,599721,,957.49
20171222,1098.97,1111.09,682.65,823.39,633680,,896.87
20171221,1278.94,1361.14,1021.46,1095.19,799675,,1191.30
20171220,1393.45,1458.47,1118.46,1277.57,262010,,1288.47
20171219,1221.99,1750.03,1219.75,1394.94,1282490,,1484.89
20171218,1068.78,1229.90,992.41,1218.42,455522,,1111.15
20171217,1082.26,1154.92,1046.66,1070.19,259197,,1100.79
20171216,792.54,1116.57,792.54,1079.24,731649,,954.55
20171215,803.54,861.78,712.28,791.04,206328,,787.03
20171214,820.32,872.26,763.52,802.79,63565,,817.89
20171213,622.42,822.60,553.28,820.75,100344,,687.94
20171212,483.38,626.86,462.17,621.99,118742,,544.51
20171211,400.25,486.50,391.81,486.50,71980,,439.15
20171210,427.36,427.36,388.39,399.80,65534,,407.88
20171209,402.76,453.31,402.76,426.00,3864,,428.03
20171208,359.17,410.12,350.31,402.77,36391,,380.22
20171207,359.93,377.82,347.23,358.64,65610,,362.52
20171206,395.65,397.13,353.90,361.19,53172,,375.51
20171205,396.43,402.75,377.60,396.35,11304,,390.18
20171204,403.78,411.28,384.18,396.23,4042,,397.73
20171203,373.53,420.75,369.69,403.03,6007,,395.22
20171202,376.91,405.98,372.57,373.40,2612,,389.27
20171201,380.41,391.55,341.88,376.92,5627,,366.72
20171130,331.74,385.39,308.18,381.36,16339,,346.78
20171129,382.38,420.16,319.71,327.54,1699,,369.94
20171128,420.88,423.56,381.75,382.07,29741,,402.65
20171127,404.69,572.86,393.37,421.46,1993,,483.12
20171126,395.27,406.63,374.69,404.79,12132,,390.66
20171125,401.76,423.29,364.45,395.26,200519,,393.87
20171124,345.70,408.13,339.25,401.82,166167,,373.69
20171123,326.94,359.50,320.87,347.44,1187,,340.19
20171122,280.28,400.65,280.05,326.19,14577,,340.35
20171121,272.02,288.93,260.02,279.92,9649,,274.48
20171120,252.48,278.23,252.40,272.45,259174,,265.31
20170909,251.56,251.56,247.65,248.31,745,,249.61
20170908,274.72,274.72,240.82,251.15,753,,257.77
20170907,273.89,276.52,241.95,274.40,13711,,259.24
20170906,257.21,276.16,257.21,273.95,32725,,266.69
20170905,248.69,598.50,218.27,256.06,341784,,408.38
20170904,292.51,292.51,227.09,248.49,313606,,259.80
20170903,291.71,307.33,280.54,292.38,1102,,293.94
20170902,309.51,309.64,274.38,290.98,26845,,292.01
20170901,298.90,345.04,298.90,309.36,28212,,321.97
20170831,295.71,300.06,293.55,298.90,168815,,296.81
20170830,316.73,335.72,295.73,295.73,182599,,315.73
20170829,285.85,318.74,285.85,316.92,4371,,302.30
20170828,291.42,295.87,280.19,286.03,19215,,288.03
20170827,288.00,291.09,288.00,290.85,75657,,289.54
20170131,24.30,24.49,24.25,24.45,62919,,24.37
20170130,22.67,24.64,21.06,24.31,62568,,22.85
20170129,22.10,24.61,22.05,22.65,13325,,23.33
