date,open,high,low,close,volume,marketcap,average
20180110,0.470848,0.645116,0.405116,0.436603,21716,768219,0.53
20180109,0.345624,0.486503,0.343718,0.470231,18537,562731,0.42
20180108,0.448325,0.450006,0.325779,0.346568,10310,728390,0.39
20180107,0.395830,0.461715,0.362723,0.448953,9561,641695,0.41
20180106,0.491516,0.581103,0.383336,0.395949,7606,795079,0.48
20180105,0.361793,0.667211,0.319450,0.492086,46017,583971,0.49
20180104,0.185009,0.399001,0.151837,0.361888,34107,297964,0.28
20180103,0.199039,0.199039,0.155661,0.184060,4851,319849,0.18
20180102,0.179018,0.230815,0.166473,0.199578,4080,287035,0.20
20180101,0.230290,0.230290,0.152043,0.179061,14849,368427,0.19
20171231,0.132441,0.254848,0.131160,0.229487,28280,211411,0.19
20171230,0.125216,0.134162,0.095273,0.133841,1875,199434,0.11
20171229,0.081153,0.144868,0.077900,0.125530,3619,128965,0.11
20171228,0.096469,0.115579,0.073156,0.080322,2715,152967,0.09
20171227,0.097333,0.117366,0.078904,0.096666,1457,154003,0.10
20171226,0.102117,0.110951,0.092163,0.097254,1263,161234,0.10
20171225,0.100764,0.112312,0.086524,0.102217,2847,158765,0.10
20171224,0.178314,0.178314,0.083861,0.099810,3554,280329,0.13
20171223,0.059578,0.196217,0.059256,0.176258,14190,93452,0.13
20171222,0.078215,0.079106,0.048831,0.059012,418,122407,0.06
20171221,0.072691,0.082092,0.062009,0.078027,598,113502,0.07
20171220,0.074920,0.077584,0.047013,0.072501,246,116718,0.06
20171219,0.081866,0.082156,0.069065,0.074988,492,127248,0.08
20171218,0.088431,0.088431,0.078415,0.081807,224,137138,0.08
20171217,0.091395,0.102049,0.081795,0.088181,912,141411,0.09
20171216,0.055877,0.102388,0.054634,0.090370,1285,86256,0.08
20171215,0.070487,0.084066,0.045821,0.055903,492,108562,0.06
20171214,0.075556,0.081864,0.018787,0.070382,4413,116103,0.05
20171213,0.077690,0.082703,0.073857,0.075773,853,119106,0.08
20171212,0.081189,0.090069,0.074345,0.077599,420,124185,0.08
20171211,0.067408,0.092546,0.067145,0.080820,786,102866,0.08
20171210,0.077174,0.083015,0.053617,0.072470,868,117494,0.07
20171209,0.074826,0.087189,0.061580,0.076905,1853,113652,0.07
20171208,0.087943,0.095721,0.072149,0.074898,3716,133259,0.08
20171207,0.089485,0.101935,0.074640,0.087740,1931,135272,0.09
20171206,0.105214,0.108437,0.088348,0.089597,738,158664,0.10
20171205,0.133268,0.134375,0.088473,0.105464,3139,200491,0.11
20171204,0.093341,0.147212,0.086275,0.132975,8607,140090,0.12
20171203,0.065779,0.109996,0.063919,0.093622,4020,98485,0.09
20171202,0.065278,0.075960,0.062269,0.065670,210,97500,0.07
20171201,0.059932,0.067514,0.056138,0.065333,178,89301,0.06
20171130,0.066703,0.068581,0.052224,0.060225,204,99152,0.06
20171129,0.067622,0.073041,0.051116,0.065697,660,100278,0.06
20171128,0.067005,0.068340,0.054552,0.067528,1087,99122,0.06
20171127,0.051957,0.072233,0.051317,0.067187,2589,76675,0.06
20171126,0.059794,0.067417,0.049540,0.051877,255,88026,0.06
20171125,0.038782,0.059763,0.038477,0.059763,358,56955,0.05
20171124,0.040882,0.041472,0.038051,0.038779,91,59895,0.04
20171123,0.039133,0.044530,0.037878,0.040937,224,57192,0.04
20171122,0.043821,0.047768,0.038887,0.039428,227,63624,0.04
20171121,0.044510,0.059075,0.040063,0.043716,569,64624,0.05
20171120,0.040532,0.051099,0.039878,0.044506,274,58804,0.05
20171119,0.039054,0.049474,0.038460,0.040242,1232,56520,0.04
20171118,0.040270,0.047714,0.038167,0.039120,85,58136,0.04
20171117,0.040063,0.062342,0.039118,0.040413,140,57693,0.05
20171116,0.047258,0.050585,0.039737,0.040161,170,67881,0.05
20171115,0.046280,0.061747,0.037647,0.047057,408,66311,0.05
20171114,0.044475,0.046425,0.037066,0.046248,254,63566,0.04
20171113,0.044282,0.057745,0.032629,0.044381,884,63132,0.05
20171112,0.044812,0.054383,0.038129,0.044257,456,63727,0.05
20171111,0.032544,0.048892,0.029340,0.039042,552,46165,0.04
20171110,0.032554,0.040063,0.030530,0.032667,83,46063,0.04
20171109,0.036758,0.039228,0.032450,0.032450,41,51881,0.04
20171108,0.033764,0.037182,0.032303,0.036786,26,47535,0.03
20171107,0.035322,0.036081,0.033162,0.033870,133,49603,0.03
20171106,0.034020,0.042257,0.031827,0.035379,117,47652,0.04
20171105,0.034682,0.038044,0.030242,0.033963,85,48456,0.03
20171104,0.044700,0.044700,0.030506,0.034484,13,62293,0.04
20171103,0.026694,0.047134,0.026548,0.044709,54,37105,0.04
20171102,0.033630,0.036554,0.026304,0.026728,242,46627,0.03
20171101,0.032346,0.033667,0.031995,0.033589,182,44733,0.03
20171031,0.030829,0.038610,0.030829,0.032404,120,42527,0.03
20171030,0.036412,0.038147,0.030703,0.030932,539,50102,0.03
20171029,0.031968,0.040023,0.031320,0.036848,131,43877,0.04
20171028,0.034713,0.035985,0.031978,0.032009,169,47523,0.03
20171027,0.036314,0.037507,0.034582,0.034621,616,49588,0.04
20171026,0.038724,0.040968,0.035358,0.036324,126,52744,0.04
20171025,0.035226,0.046609,0.034283,0.038732,206,47859,0.04
20171024,0.037249,0.047415,0.034602,0.035200,205,50480,0.04
20171023,0.036525,0.037414,0.034840,0.037336,63,49371,0.04
20171022,0.037900,0.039315,0.035997,0.036577,404,51096,0.04
20171021,0.043442,0.047150,0.037722,0.037871,511,58417,0.04
20171020,0.038422,0.047144,0.037996,0.043530,584,51534,0.04
20171019,0.038451,0.042840,0.037180,0.038417,193,51437,0.04
20171018,0.035717,0.057822,0.033099,0.038316,1123,47652,0.05
20171017,0.040542,0.046586,0.035588,0.035803,257,53947,0.04
20171016,0.038451,0.042170,0.037370,0.040539,159,51031,0.04
20171015,0.043167,0.044849,0.036332,0.038439,200,57137,0.04
20171014,0.035438,0.052006,0.035071,0.043132,346,46783,0.04
20171013,0.033896,0.040195,0.033679,0.035422,48,44626,0.04
20171012,0.034813,0.037424,0.032914,0.033792,230,45447,0.04
20171011,0.032778,0.037417,0.032422,0.034791,102,42790,0.03
20171010,0.031684,0.043187,0.031684,0.032782,294,41362,0.04
20171009,0.032958,0.033104,0.030919,0.031687,122,42921,0.03
20171008,0.031470,0.035756,0.031470,0.032950,69,40871,0.03
20171007,0.032551,0.035188,0.029222,0.031541,62,42158,0.03
20171006,0.037165,0.037974,0.029597,0.032541,888,48002,0.03
20171005,0.036753,0.037566,0.035709,0.037182,717,47339,0.04
20171004,0.038213,0.039835,0.036730,0.036730,111,49085,0.04
20171003,0.038682,0.045735,0.036909,0.038131,102,49552,0.04
20171002,0.039551,0.040341,0.037627,0.038680,131,49612,0.04
20171001,0.039026,0.046645,0.037211,0.039565,235,48953,0.04
20170930,0.041720,0.044608,0.037907,0.039007,111,52333,0.04
20170929,0.037978,0.050126,0.036348,0.041715,217,47638,0.04
20170928,0.038168,0.049488,0.037143,0.037998,270,47877,0.04
20170927,0.051555,0.057784,0.033821,0.038178,147,64670,0.05
20170926,0.038016,0.055068,0.033800,0.051698,545,47536,0.04
