date,open,high,low,close,volume,marketcap,average
20180110,0.006280,0.006842,0.004390,0.004649,38035,8475200,0.01
20180109,0.005271,0.007203,0.003911,0.006272,87979,7113540,0.01
20180108,0.005211,0.006877,0.003888,0.005134,91804,7032880,0.01
20180107,0.003613,0.005877,0.003208,0.005382,134391,4875380,0.00
20180106,0.003477,0.003648,0.002588,0.003444,23740,4692950,0.00
20180105,0.003054,0.003481,0.002291,0.003480,22943,4122190,0.00
20180104,0.001667,0.003440,0.001515,0.003053,81599,2249400,0.00
20180103,0.001631,0.001967,0.001501,0.001658,8135,2200790,0.00
20180102,0.001374,0.001821,0.001347,0.001636,5477,1854250,0.00
20180101,0.001393,0.001643,0.001174,0.001378,3586,1880610,0.00
20171231,0.001298,0.001547,0.001027,0.001390,6138,1751150,0.00
20171230,0.001678,0.001678,0.001149,0.001200,10227,2264000,0.00
20171229,0.001306,0.002051,0.001163,0.001683,12635,1762350,0.00
20171228,0.001263,0.001293,0.000982,0.001293,5808,1704010,0.00
20171227,0.001814,0.001814,0.001187,0.001265,3680,2448430,0.00
20171226,0.001417,0.001836,0.001373,0.001826,6996,1912750,0.00
20171225,0.001425,0.001616,0.001231,0.001418,4695,1923550,0.00
20171224,0.001026,0.001411,0.000710,0.001411,10963,1385240,0.00
20171223,0.000705,0.001232,0.000705,0.001150,3932,951125,0.00
20171222,0.000811,0.001462,0.000682,0.000698,5091,1095090,0.00
20171221,0.000673,0.001164,0.000669,0.000809,3509,907938,0.00
20171220,0.000727,0.001049,0.000655,0.000672,2373,980682,0.00
20171219,0.000959,0.001123,0.000711,0.000727,674,1293970,0.00
20171218,0.000968,0.001145,0.000751,0.000959,2288,1305940,0.00
20171217,0.000803,0.001157,0.000782,0.000965,3144,1083410,0.00
20171216,0.000719,0.001170,0.000716,0.000795,1963,969710,0.00
20171215,0.000828,0.001052,0.000711,0.000718,721,1117700,0.00
20171214,0.000656,0.000995,0.000650,0.000827,879,885870,0.00
20171213,0.000789,0.001000,0.000653,0.000658,271,1064790,0.00
20171212,0.000844,0.001046,0.000666,0.000787,589,1138640,0.00
20171211,0.000619,0.000990,0.000617,0.000841,1133,835497,0.00
20171210,0.000835,0.000846,0.000588,0.000624,638,1126290,0.00
20171209,0.000681,0.001024,0.000681,0.000833,3399,919116,0.00
20171208,0.000865,0.000886,0.000590,0.000681,1218,1167150,0.00
20171207,0.000688,0.000972,0.000590,0.000863,2743,928855,0.00
20171206,0.000585,0.000824,0.000585,0.000689,2078,789570,0.00
20171205,0.000611,0.000806,0.000586,0.000586,1423,823955,0.00
