date,open,high,low,close,volume,marketcap,average
20180110,0.019698,0.019742,0.011979,0.017044,4915,212543,0.02
20180109,0.011874,0.019655,0.010418,0.019655,31594,128123,0.02
20180108,0.008826,0.036952,0.006247,0.011907,12519,95232,0.02
20180107,0.013041,0.015292,0.008838,0.008838,1769,140717,0.01
20180106,0.018947,0.019319,0.010590,0.013051,1847,204437,0.01
20180105,0.013144,0.019420,0.007959,0.018932,4807,141819,0.01
20180104,0.015206,0.018708,0.007617,0.013141,3708,164078,0.01
20180103,0.012024,0.021513,0.011519,0.015124,15774,129736,0.02
20180102,0.005064,0.037588,0.003416,0.012067,53264,54640,0.02
20180101,0.003888,0.005231,0.003746,0.005064,111,41948,0.00
20171231,0.004958,0.005526,0.003873,0.003873,23,53499,0.00
20171230,0.004204,0.005162,0.003221,0.005012,1107,45359,0.00
20171229,0.003840,0.004258,0.003750,0.004214,3,41434,0.00
20171228,0.005230,0.005253,0.003550,0.003801,12,56437,0.00
20171227,0.004276,0.005685,0.003265,0.005241,137,46138,0.00
20171226,0.003900,0.004489,0.003884,0.004273,14,42084,0.00
20171225,0.004062,0.004178,0.003827,0.003904,61,43833,0.00
20171224,0.003187,0.004021,0.002983,0.004021,131,34384,0.00
20171223,0.002367,0.003697,0.001969,0.003152,49,25538,0.00
20171222,0.002578,0.002603,0.001062,0.002345,144,27816,0.00
20171221,0.002637,0.003968,0.002482,0.002569,55,28457,0.00
20171220,0.004559,0.004615,0.002522,0.002630,15,49188,0.00
20171219,0.003401,0.004803,0.002813,0.004563,25,36699,0.00
20171218,0.010737,0.013249,0.003119,0.003398,889,115850,0.01
20171217,0.002946,0.011049,0.002516,0.010704,2266,31788,0.01
20171216,0.003531,0.004045,0.002906,0.002946,137,38104,0.00
20171212,0.001010,0.001066,0.000987,0.001042,17,10900,0.00
20171211,0.001034,0.001040,0.001007,0.001007,17,11156,0.00
20171210,0.002857,0.002857,0.002515,0.002515,6,30828,0.00
20171209,0.003090,0.003136,0.002063,0.002846,7,33342,0.00
20171208,0.003143,0.003190,0.001673,0.003093,2,33916,0.00
20171207,0.002335,0.003211,0.001905,0.003136,134,25196,0.00
20171206,0.001483,0.002420,0.001483,0.002339,416,16001,0.00
20171205,0.002646,0.002752,0.001485,0.001486,620,28551,0.00
20171204,0.002644,0.002781,0.002481,0.002641,47,28528,0.00
20171203,0.001994,0.002829,0.001966,0.002635,18,21520,0.00
20171202,0.003151,0.003208,0.002090,0.002100,140,34000,0.00
20171201,0.002498,0.003171,0.002251,0.003154,830,26956,0.00
20171130,0.002370,0.002584,0.001723,0.002511,64,25575,0.00
20171129,0.002947,0.003251,0.002196,0.002334,186,31793,0.00
20171128,0.003075,0.003139,0.002902,0.002949,6,33179,0.00
20171127,0.002329,0.003611,0.002181,0.003067,942,25134,0.00
20171126,0.001973,0.002544,0.001970,0.002329,48,21284,0.00
20171125,0.001560,0.001973,0.001551,0.001973,41,16831,0.00
20171124,0.001395,0.002741,0.001368,0.001563,34,15047,0.00
20171123,0.001938,0.001957,0.001396,0.001396,197,20908,0.00
20171122,0.002639,0.002764,0.001397,0.001938,88,28472,0.00
20171121,0.001770,0.002751,0.001050,0.002632,480,19094,0.00
20171120,0.001061,0.002218,0.001061,0.001769,674,11453,0.00
20171119,0.002959,0.003250,0.000715,0.001062,763,31928,0.00
20171118,0.002921,0.002987,0.002455,0.002965,10,31517,0.00
20171117,0.002275,0.003035,0.002265,0.002932,4,24547,0.00
