date,open,high,low,close,volume,marketcap,average
20180110,0.002483,0.002483,0.001526,0.001803,2348980,61932900,0.00
20180109,0.002706,0.002850,0.002306,0.002479,2531680,67498100,0.00
20180108,0.002935,0.003846,0.002124,0.002869,7434310,73221400,0.00
20180107,0.001029,0.003116,0.000855,0.002776,10747500,25672500,0.00
20180106,0.001017,0.001041,0.000697,0.001033,786874,25381800,0.00
20180105,0.000908,0.001023,0.000677,0.000863,862776,22656400,0.00
20180104,0.000911,0.001017,0.000608,0.000773,835326,22736900,0.00
20180103,0.001331,0.001331,0.000774,0.000904,871989,33211500,0.00
20180102,0.000809,0.001478,0.000664,0.001198,2000950,20190100,0.00
20180101,0.000554,0.000951,0.000417,0.000692,660437,13829500,0.00
20171231,0.000387,0.000563,0.000275,0.000552,195178,9658600,0.00
20171230,0.000436,0.000540,0.000281,0.000281,106015,10875500,0.00
20171229,0.000573,0.000573,0.000304,0.000437,185401,14300500,0.00
20171228,0.000466,0.000597,0.000342,0.000567,213610,11625200,0.00
20171227,0.000617,0.000664,0.000334,0.000467,214558,15403100,0.00
20171226,0.000438,0.000638,0.000308,0.000616,351369,10931800,0.00
20171225,0.000557,0.000868,0.000421,0.000439,605756,13900600,0.00
20171224,0.000293,0.000553,0.000144,0.000551,664551,7307620,0.00
20171223,0.000276,0.000316,0.000173,0.000173,17541,6890870,0.00
20171222,0.000318,0.000321,0.000151,0.000274,15986,7936980,0.00
20171221,0.000316,0.000341,0.000187,0.000317,44556,7873780,0.00
20171220,0.000349,0.000349,0.000170,0.000315,31313,8707940,0.00
20171219,0.000370,0.000375,0.000185,0.000349,46050,9224810,0.00
20171218,0.000376,0.000376,0.000183,0.000369,15970,9378820,0.00
20171217,0.000376,0.000387,0.000194,0.000375,12262,9382010,0.00
20171216,0.000187,0.000378,0.000181,0.000376,6461,4658740,0.00
20171215,0.000172,0.000352,0.000172,0.000186,6236,4296370,0.00
20171214,0.000323,0.000338,0.000169,0.000172,5587,8052390,0.00
20171213,0.000330,0.000337,0.000170,0.000324,15749,8231970,0.00
20171212,0.000284,0.000338,0.000194,0.000329,8511,7090840,0.00
20171211,0.000279,0.000310,0.000167,0.000283,5803,6948750,0.00
20171210,0.000151,0.000297,0.000138,0.000281,2019,3775400,0.00
20171209,0.000162,0.000317,0.000142,0.000151,4307,4048430,0.00
20171208,0.000172,0.000324,0.000143,0.000162,33331,4302760,0.00
20171207,0.000140,0.000271,0.000140,0.000172,49578,3493440,0.00
20171206,0.000130,0.000239,0.000128,0.000140,7079,3251620,0.00
20171205,0.000117,0.000224,0.000115,0.000131,1795,2924300,0.00
20171204,0.000215,0.000221,0.000103,0.000117,13414,5359060,0.00
20171203,0.000114,0.000228,0.000110,0.000214,6497,2846430,0.00
20171202,0.000109,0.000222,0.000108,0.000114,2454,2715560,0.00
20171201,0.000101,0.000211,0.000095,0.000109,33062,2514360,0.00
20171130,0.000098,0.000213,0.000090,0.000101,3083,2456660,0.00
20171129,0.000195,0.000225,0.000091,0.000097,6881,4858360,0.00
20171128,0.000183,0.000200,0.000101,0.000195,3866,4571160,0.00
20171127,0.000167,0.000183,0.000102,0.000183,3267,4156640,0.00
20171126,0.000091,0.000178,0.000090,0.000167,4800,2276330,0.00
20171125,0.000083,0.000171,0.000082,0.000091,834,2058570,0.00
20171124,0.000093,0.000164,0.000082,0.000083,1342,2324980,0.00
20171123,0.000109,0.000164,0.000089,0.000093,8515,2715300,0.00
20171122,0.000081,0.000166,0.000081,0.000110,3477,2031770,0.00
20171121,0.000150,0.000163,0.000081,0.000081,124996,3735970,0.00
20171120,0.000081,0.000159,0.000080,0.000150,580,2012360,0.00
20171119,0.000156,0.000156,0.000077,0.000081,2291,3882660,0.00
20171118,0.000146,0.000156,0.000082,0.000156,3624,3647280,0.00
20171117,0.000155,0.000158,0.000081,0.000147,3767,3872160,0.00
20171116,0.000140,0.000158,0.000076,0.000155,4751,3483600,0.00
20171115,0.000075,0.000141,0.000075,0.000139,788,1883260,0.00
20171114,0.000073,0.000133,0.000066,0.000075,1951,1819760,0.00
20171113,0.000110,0.000131,0.000068,0.000073,424,2753400,0.00
20171112,0.000068,0.000126,0.000066,0.000110,599,1694850,0.00
20171111,0.000111,0.000130,0.000067,0.000068,558,2773040,0.00
20171110,0.000088,0.000164,0.000087,0.000112,1029,2203450,0.00
20171109,0.000140,0.000140,0.000087,0.000087,2254,3490230,0.00
20171108,0.000080,0.000142,0.000080,0.000140,1291,2000120,0.00
20171107,0.000129,0.000139,0.000077,0.000080,807,3227420,0.00
20171106,0.000081,0.000141,0.000074,0.000129,1396,2016240,0.00
20171105,0.000108,0.000143,0.000080,0.000081,913,2699880,0.00
20171104,0.000077,0.000147,0.000075,0.000107,720,1929860,0.00
20171103,0.000139,0.000147,0.000075,0.000078,5471,3465370,0.00
20171102,0.000125,0.000141,0.000077,0.000138,10043,3124120,0.00
20171101,0.000117,0.000127,0.000074,0.000125,3600,2926480,0.00
20171031,0.000121,0.000123,0.000065,0.000118,2021,3015880,0.00
20171030,0.000103,0.000145,0.000065,0.000121,20725,2564470,0.00
20171029,0.000098,0.000120,0.000071,0.000104,498,2443980,0.00
20171028,0.000113,0.000116,0.000063,0.000098,2564,2812940,0.00
20171027,0.000076,0.000114,0.000059,0.000112,7147,1884800,0.00
20171026,0.000105,0.000110,0.000069,0.000076,719,2612100,0.00
20171025,0.000104,0.000112,0.000068,0.000105,432,2583560,0.00
20171024,0.000085,0.000107,0.000081,0.000103,530,2127210,0.00
20171023,0.000099,0.000103,0.000073,0.000086,901,2468920,0.00
20171022,0.000104,0.000105,0.000075,0.000099,783,2592820,0.00
20171021,0.000098,0.000119,0.000091,0.000104,1483,2455640,0.00
20171020,0.000114,0.000149,0.000094,0.000099,1273,2835750,0.00
20171019,0.000077,0.000124,0.000070,0.000114,2006,1925650,0.00
20171018,0.000113,0.000202,0.000066,0.000077,769,2825580,0.00
20171017,0.000094,0.000114,0.000069,0.000113,1059,2339400,0.00
20171016,0.000108,0.000118,0.000076,0.000094,203,2700610,0.00
20171015,0.000286,0.000301,0.000106,0.000108,714,7115450,0.00
20171014,0.000114,0.000285,0.000088,0.000285,603,2834200,0.00
20171013,0.000109,0.000244,0.000079,0.000114,1179,2724000,0.00
20171012,0.000097,0.000109,0.000074,0.000109,2226,2413550,0.00
20171011,0.000105,0.000109,0.000054,0.000097,1055,2611340,0.00
20171010,0.000142,0.000144,0.000052,0.000105,554,3539660,0.00
20171009,0.000094,0.000145,0.000093,0.000142,20720,2340830,0.00
20171008,0.000094,0.000194,0.000092,0.000094,3240,2334040,0.00
20171007,0.000087,0.000132,0.000087,0.000094,5886,2178420,0.00
20171006,0.000087,0.000126,0.000086,0.000087,1088,2173180,0.00
20171005,0.000149,0.000177,0.000085,0.000087,725,3699920,0.00
20171004,0.000126,0.000149,0.000084,0.000148,549,3137540,0.00
20171003,0.000089,0.000126,0.000085,0.000126,786,2206450,0.00
20171002,0.000089,0.000118,0.000088,0.000089,290,2213000,0.00
20171001,0.000088,0.000125,0.000086,0.000089,333,2180090,0.00
20170930,0.000088,0.000127,0.000087,0.000088,498,2202910,0.00
20170929,0.000089,0.000120,0.000077,0.000088,940,2224430,0.00
20170928,0.000126,0.000127,0.000083,0.000089,303,3139720,0.00
20170927,0.000057,0.000127,0.000057,0.000126,24317,1426190,0.00
20170926,0.000080,0.000083,0.000053,0.000057,190,1980960,0.00
20170925,0.000084,0.000084,0.000046,0.000079,1240,2093180,0.00
20170924,0.000075,0.000092,0.000046,0.000084,746,1874660,0.00
20170923,0.000071,0.000199,0.000060,0.000075,538,1767760,0.00
20170922,0.000077,0.000174,0.000052,0.000071,1199,1908050,0.00
20170921,0.000080,0.000084,0.000055,0.000077,702,1990970,0.00
20170920,0.000078,0.000120,0.000078,0.000080,1615,1946310,0.00
20170919,0.000120,0.000121,0.000078,0.000078,10684,2978930,0.00
20170918,0.000074,0.000122,0.000074,0.000120,2308,1836780,0.00
