date,open,high,low,close,volume,marketcap,average
20180110,0.000730,0.000732,0.000576,0.000600,15,,0.00
20180109,0.000753,0.000771,0.000719,0.000729,35,,0.00
20180108,0.000489,0.000764,0.000427,0.000755,15,,0.00
20180107,0.000860,0.000860,0.000477,0.000489,91,,0.00
20180106,0.000510,0.000863,0.000491,0.000861,86,,0.00
20180105,0.000759,0.000820,0.000489,0.000509,15,,0.00
20180104,0.000608,0.000760,0.000581,0.000759,144,,0.00
20180103,0.000455,0.000606,0.000453,0.000605,74,,0.00
20180102,0.000405,0.000418,0.000405,0.000418,1,,0.00
20180101,0.000419,0.000420,0.000387,0.000405,1,,0.00
20171231,0.000395,0.000427,0.000380,0.000418,32,,0.00
20171230,0.000290,0.000290,0.000248,0.000252,4,,0.00
20171229,0.000292,0.000298,0.000288,0.000291,4,,0.00
20171228,0.000465,0.000467,0.000454,0.000461,72,,0.00
20171227,0.000792,0.000792,0.000442,0.000466,73,,0.00
20171226,0.000696,0.000807,0.000694,0.000791,121,,0.00
20171225,0.000423,0.000701,0.000398,0.000697,29,,0.00
20171224,0.000438,0.000438,0.000377,0.000418,6,,0.00
20171223,0.000414,0.000470,0.000408,0.000433,6,,0.00
20171222,0.000471,0.000476,0.000343,0.000410,5,,0.00
20171221,0.000494,0.000522,0.000454,0.000470,6,,0.00
20171220,0.000529,0.000535,0.000473,0.000493,6,,0.00
20171219,0.000383,0.000541,0.000355,0.000529,7,,0.00
20171218,0.000383,0.000386,0.000365,0.000382,7,,0.00
20171217,0.000584,0.000599,0.000377,0.000381,12,,0.00
20171216,0.000529,0.000589,0.000523,0.000584,11,,0.00
20171215,0.000332,0.000719,0.000332,0.000529,47,,0.00
20171214,0.000491,0.000680,0.000329,0.000331,73,,0.00
20171213,0.000691,0.000700,0.000489,0.000493,224,,0.00
20171212,0.000673,0.000710,0.000658,0.000690,3,,0.00
20171211,0.000610,0.000700,0.000607,0.000671,3,,0.00
20171210,0.000602,0.000631,0.000530,0.000614,3,,0.00
20171209,0.000488,0.000623,0.000461,0.000599,20,,0.00
20171208,0.000521,0.000648,0.000422,0.000488,27,,0.00
20171207,0.000275,0.000519,0.000271,0.000519,5,,0.00
20171206,0.000234,0.000530,0.000234,0.000275,101,,0.00
20171205,0.000235,0.000236,0.000234,0.000235,12,,0.00
20171204,0.000337,0.000348,0.000337,0.000345,1,,0.00
20171203,0.000328,0.000355,0.000318,0.000336,1,,0.00
20171202,0.000327,0.000336,0.000322,0.000328,94,,0.00
20171201,0.000300,0.000329,0.000284,0.000327,1,,0.00
20171130,0.000295,0.000407,0.000285,0.000301,14,,0.00
20171129,0.000298,0.000343,0.000273,0.000290,1,,0.00
20171128,0.000293,0.000396,0.000290,0.000298,8,,0.00
20171127,0.000280,0.000292,0.000280,0.000292,8,,0.00
20171126,0.000437,0.000450,0.000277,0.000279,225,,0.00
20171125,0.000328,0.000437,0.000327,0.000437,13,,0.00
20171124,0.000321,0.000334,0.000315,0.000329,9,,0.00
20171123,0.000329,0.000331,0.000322,0.000322,9,,0.00
20171122,0.000325,0.000332,0.000323,0.000329,9,,0.00
20171121,0.000330,0.000335,0.000312,0.000324,17,,0.00
20171120,0.000322,0.000331,0.000318,0.000330,12,,0.00
20171119,0.000311,0.000324,0.000308,0.000322,4,,0.00
20171118,0.000307,0.000314,0.000298,0.000312,10,,0.00
20171117,0.000392,0.000401,0.000304,0.000309,10,,0.00
20171116,0.000292,0.000450,0.000286,0.000393,21,,0.00
20171115,0.000264,0.000293,0.000264,0.000291,8,,0.00
20171114,0.000327,0.000336,0.000257,0.000264,6,,0.00
20171113,0.000235,0.000328,0.000233,0.000326,113,,0.00
20171112,0.000318,0.000318,0.000221,0.000234,1,,0.00
20171111,0.000329,0.000341,0.000312,0.000318,13,,0.00
20171110,0.000285,0.000347,0.000270,0.000330,24,,0.00
20171109,0.000373,0.000373,0.000282,0.000284,21,,0.00
20171108,0.000285,0.000374,0.000283,0.000374,11,,0.00
