date,open,high,low,close,volume,marketcap,average
20180110,0.000606,0.000697,0.000484,0.000535,1275940,135293000,0.00
20180109,0.000613,0.000704,0.000479,0.000608,1247620,136925000,0.00
20180108,0.000803,0.000807,0.000483,0.000615,2010440,179155000,0.00
20180107,0.000961,0.000961,0.000599,0.000803,3679040,214612000,0.00
20180106,0.000618,0.001109,0.000537,0.000962,5993560,137969000,0.00
20180105,0.000456,0.000680,0.000417,0.000620,3272410,101684000,0.00
20180104,0.000439,0.000536,0.000343,0.000420,2087330,97947600,0.00
20180103,0.000268,0.000445,0.000268,0.000437,1107680,59905100,0.00
20180102,0.000566,0.000699,0.000280,0.000297,3681310,126395000,0.00
20180101,0.000263,0.000564,0.000259,0.000505,2824080,58603800,0.00
20171231,0.000161,0.000283,0.000147,0.000263,369021,35983500,0.00
20171230,0.000252,0.000257,0.000130,0.000162,208463,56299300,0.00
20171229,0.000263,0.000273,0.000151,0.000253,408892,58635800,0.00
20171228,0.000145,0.000258,0.000135,0.000198,485596,32296500,0.00
20171227,0.000128,0.000151,0.000125,0.000145,200019,28563200,0.00
20171226,0.000131,0.000141,0.000124,0.000127,90058,29171100,0.00
20171225,0.000119,0.000135,0.000118,0.000130,171852,26559000,0.00
20171224,0.000109,0.000120,0.000092,0.000119,165847,24275000,0.00
20171223,0.000080,0.000133,0.000079,0.000117,144976,17942000,0.00
20171222,0.000085,0.000095,0.000062,0.000080,40677,19004400,0.00
20171221,0.000093,0.000112,0.000078,0.000085,69769,20832500,0.00
20171220,0.000094,0.000104,0.000083,0.000093,52590,21065500,0.00
20171219,0.000116,0.000121,0.000086,0.000094,55883,25896600,0.00
20171218,0.000105,0.000131,0.000099,0.000117,141739,23448800,0.00
20171217,0.000097,0.000109,0.000088,0.000106,166530,21587500,0.00
20171216,0.000062,0.000101,0.000059,0.000095,252382,13798600,0.00
20171215,0.000050,0.000065,0.000048,0.000062,48140,11184800,0.00
20171214,0.000051,0.000056,0.000045,0.000050,36296,11394100,0.00
20171213,0.000052,0.000061,0.000045,0.000051,12493,11524200,0.00
20171212,0.000045,0.000062,0.000044,0.000052,27051,9974120,0.00
20171211,0.000041,0.000051,0.000038,0.000044,31467,9186270,0.00
20171210,0.000039,0.000050,0.000034,0.000042,13326,8736820,0.00
20171209,0.000045,0.000050,0.000034,0.000039,14530,9975850,0.00
20171208,0.000070,0.000073,0.000036,0.000044,13501,15558800,0.00
20171207,0.000045,0.000072,0.000043,0.000071,17070,9929850,0.00
20171206,0.000045,0.000054,0.000031,0.000044,10999,9937930,0.00
20171205,0.000053,0.000061,0.000043,0.000045,5443,11859400,0.00
20171204,0.000048,0.000059,0.000038,0.000053,5448,10688400,0.00
20171203,0.000030,0.000055,0.000027,0.000048,5610,6668440,0.00
20171202,0.000037,0.000038,0.000028,0.000030,4179,8162760,0.00
20171201,0.000037,0.000050,0.000035,0.000036,7642,8244860,0.00
20171130,0.000030,0.000037,0.000026,0.000037,4175,6797660,0.00
20171129,0.000055,0.000056,0.000030,0.000030,12366,12197500,0.00
20171128,0.000035,0.000056,0.000034,0.000055,5687,7819900,0.00
20171127,0.000041,0.000047,0.000030,0.000035,12486,9058240,0.00
20171126,0.000023,0.000090,0.000022,0.000041,4777,5027820,0.00
20171125,0.000041,0.000042,0.000022,0.000023,7107,9079810,0.00
20171124,0.000034,0.000050,0.000033,0.000046,9560,7502880,0.00
20171123,0.000033,0.000037,0.000031,0.000034,6510,7351790,0.00
20171122,0.000045,0.000056,0.000025,0.000033,17714,10013800,0.00
20171121,0.000054,0.000057,0.000038,0.000045,6542,11996800,0.00
20171120,0.000047,0.000063,0.000037,0.000060,3273,10386500,0.00
20171119,0.000034,0.000053,0.000030,0.000047,8203,7529350,0.00
20171118,0.000037,0.000043,0.000031,0.000034,3704,8192180,0.00
20171117,0.000047,0.000053,0.000036,0.000037,5262,10462900,0.00
20171116,0.000038,0.000086,0.000038,0.000047,12490,8481530,0.00
20171115,0.000038,0.000089,0.000029,0.000038,11174,8483340,0.00
20171114,0.000032,0.000044,0.000025,0.000038,6465,7085810,0.00
20171113,0.000023,0.000033,0.000022,0.000032,2586,5079830,0.00
20171112,0.000024,0.000027,0.000021,0.000023,2385,5328140,0.00
20171111,0.000027,0.000037,0.000022,0.000024,2390,5932070,0.00
20171110,0.000024,0.000037,0.000021,0.000027,3255,5311560,0.00
20171109,0.000021,0.000031,0.000021,0.000024,4582,4746080,0.00
20171108,0.000024,0.000024,0.000020,0.000021,20041,5258460,0.00
20171107,0.000022,0.000025,0.000022,0.000024,21924,4881220,0.00
20171106,0.000019,0.000023,0.000018,0.000022,21437,4227880,0.00
20171105,0.000017,0.000021,0.000016,0.000019,52140,3875220,0.00
20171104,0.000023,0.000023,0.000015,0.000017,59722,5043840,0.00
20171103,0.000017,0.000028,0.000015,0.000023,11341,3675210,0.00
20171102,0.000023,0.000023,0.000014,0.000016,13243,5018410,0.00
20171101,0.000023,0.000031,0.000015,0.000022,10493,5109550,0.00
20171031,0.000025,0.000029,0.000022,0.000023,15042,5583270,0.00
20171030,0.000028,0.000031,0.000020,0.000025,6845,6337740,0.00
20171029,0.000032,0.000033,0.000028,0.000029,6518,7028800,0.00
20171028,0.000034,0.000034,0.000025,0.000032,8056,7606870,0.00
20171027,0.000037,0.000044,0.000032,0.000034,2659,8281230,0.00
20171026,0.000029,0.000038,0.000029,0.000038,3884,6526940,0.00
20171025,0.000044,0.000044,0.000021,0.000030,7370,9678840,0.00
20171024,0.000043,0.000045,0.000038,0.000043,4170,9487340,0.00
20171023,0.000039,0.000043,0.000035,0.000043,5509,8663770,0.00
20171022,0.000048,0.000049,0.000037,0.000039,8314,10771000,0.00
20171021,0.000055,0.000057,0.000046,0.000048,3863,12150500,0.00
20171020,0.000043,0.000056,0.000043,0.000055,3532,9638390,0.00
20171019,0.000046,0.000046,0.000042,0.000044,3760,10229300,0.00
20171018,0.000052,0.000052,0.000041,0.000046,4897,11550200,0.00
20171017,0.000050,0.000056,0.000048,0.000052,9313,11098900,0.00
20171016,0.000056,0.000140,0.000049,0.000050,5230,12418100,0.00
20171015,0.000048,0.000056,0.000047,0.000056,51890,10589300,0.00
20171014,0.000043,0.000050,0.000039,0.000048,11163,9545270,0.00
20171013,0.000049,0.000057,0.000036,0.000043,13169,10831000,0.00
20171012,0.000045,0.000071,0.000040,0.000048,10048,10047000,0.00
20171011,0.000049,0.000051,0.000040,0.000042,8762,10896100,0.00
20171010,0.000046,0.000058,0.000046,0.000049,9528,10293600,0.00
20171009,0.000045,0.000056,0.000043,0.000046,16431,9999890,0.00
20171008,0.000049,0.000061,0.000044,0.000045,11144,10885800,0.00
20171007,0.000045,0.000062,0.000043,0.000049,12004,9934790,0.00
20171006,0.000046,0.000063,0.000043,0.000045,17630,10308100,0.00
20171005,0.000045,0.000050,0.000042,0.000046,60748,9976970,0.00
20171004,0.000055,0.000095,0.000042,0.000047,32438,12119900,0.00
20171003,0.000046,0.000095,0.000044,0.000055,17037,10208200,0.00
20171002,0.000058,0.000075,0.000045,0.000046,8667,12936700,0.00
20171001,0.000068,0.000084,0.000043,0.000058,11895,15131700,0.00
20170930,0.000068,0.000084,0.000043,0.000068,15760,15048100,0.00
20170929,0.000055,0.000074,0.000042,0.000068,15695,12132200,0.00
20170928,0.000079,0.000107,0.000047,0.000055,7794,17475200,0.00
20170927,0.000085,0.000102,0.000050,0.000079,13390,18982500,0.00
20170926,0.000065,0.000086,0.000041,0.000085,8946,14502400,0.00
20170925,0.000060,0.000069,0.000041,0.000065,11502,13369200,0.00
20170924,0.000077,0.000077,0.000039,0.000062,5356,17153300,0.00
20170923,0.000059,0.000125,0.000054,0.000077,4595,13015200,0.00
20170922,0.000039,0.000099,0.000037,0.000059,3753,8727500,0.00
20170921,0.000076,0.000078,0.000039,0.000039,16651,16791400,0.00
20170920,0.000060,0.000088,0.000040,0.000049,12265,13374300,0.00
20170919,0.000056,0.000096,0.000043,0.000060,9263,12516800,0.00
20170918,0.000052,0.000078,0.000043,0.000056,8792,11454700,0.00
20170917,0.000055,0.000058,0.000039,0.000052,11933,12148800,0.00
20170916,0.000049,0.000066,0.000038,0.000053,8601,10909200,0.00
20170915,0.000042,0.000075,0.000037,0.000053,15418,9248250,0.00
20170914,0.000043,0.000074,0.000035,0.000041,17165,9462820,0.00
20170913,0.000076,0.000096,0.000042,0.000042,11950,16956900,0.00
20170912,0.000074,0.000088,0.000048,0.000082,17901,16492200,0.00
20170911,0.000076,0.000091,0.000046,0.000074,12991,16823600,0.00
20170910,0.000061,0.000083,0.000045,0.000076,17540,13555200,0.00
20170909,0.000076,0.000077,0.000053,0.000062,8283,16892600,0.00
20170908,0.000083,0.000097,0.000049,0.000076,10977,18489200,0.00
20170907,0.000061,0.000095,0.000049,0.000083,28042,13551700,0.00
20170906,0.000050,0.000084,0.000049,0.000061,24389,11206200,0.00
20170905,0.000068,0.000083,0.000045,0.000050,12614,15069100,0.00
20170904,0.000090,0.000090,0.000047,0.000067,14913,19914900,0.00
20170903,0.000068,0.000090,0.000048,0.000090,38919,15013800,0.00
20170902,0.000074,0.000088,0.000053,0.000067,16181,16409600,0.00
20170901,0.000075,0.000092,0.000057,0.000074,15763,16711500,0.00
20170831,0.000080,0.000086,0.000051,0.000075,10984,17776000,0.00
20170830,0.000073,0.000108,0.000051,0.000080,25098,16147700,0.00
20170829,0.000082,0.000107,0.000047,0.000105,36275,18322600,0.00
20170828,0.000058,0.000084,0.000055,0.000082,23484,12795100,0.00
20170827,0.000087,0.000095,0.000046,0.000060,19947,19308500,0.00
20170826,0.000068,0.000098,0.000046,0.000086,19614,15213200,0.00
20170825,0.000063,0.000081,0.000045,0.000046,18705,14035600,0.00
20170824,0.000071,0.000077,0.000043,0.000063,15720,15755900,0.00
20170823,0.000048,0.000077,0.000043,0.000071,23012,10708000,0.00
20170822,0.000045,0.000059,0.000040,0.000048,16503,10053400,0.00
20170821,0.000045,0.000074,0.000044,0.000045,11454,9893300,0.00
20170820,0.000055,0.000065,0.000041,0.000045,11412,12176800,0.00
20170819,0.000054,0.000065,0.000043,0.000055,12868,12029600,0.00
20170818,0.000046,0.000064,0.000041,0.000054,16339,10131300,0.00
20170817,0.000047,0.000065,0.000041,0.000046,16568,10381900,0.00
20170816,0.000072,0.000072,0.000043,0.000047,10083,15993900,0.00
20170815,0.000065,0.000072,0.000043,0.000072,18352,14362000,0.00
20170814,0.000059,0.000076,0.000052,0.000064,20970,13111700,0.00
20170813,0.000075,0.000081,0.000043,0.000058,42246,16602500,0.00
20170812,0.000067,0.000084,0.000040,0.000075,35953,14909300,0.00
20170811,0.000041,0.000079,0.000038,0.000067,19960,9120030,0.00
20170810,0.000041,0.000068,0.000036,0.000041,43196,9092570,0.00
20170809,0.000050,0.000077,0.000039,0.000041,40460,11183300,0.00
20170808,0.000050,0.000073,0.000041,0.000050,6855,11105200,0.00
20170807,0.000057,0.000063,0.000040,0.000050,7086,12708100,0.00
20170806,0.000063,0.000063,0.000044,0.000057,9783,13890200,0.00
20170805,0.000056,0.000064,0.000046,0.000062,11582,12392300,0.00
20170804,0.000043,0.000260,0.000028,0.000056,14092,9637020,0.00
20170803,0.000044,0.000097,0.000033,0.000037,11295,9764830,0.00
20170802,0.000040,0.000068,0.000032,0.000044,11045,8953800,0.00
20170801,0.000056,0.000067,0.000037,0.000040,5350,12502400,0.00
20170731,0.000051,0.000072,0.000037,0.000056,7275,11256200,0.00
20170730,0.000051,0.000067,0.000038,0.000039,6683,11285300,0.00
20170729,0.000055,0.000056,0.000033,0.000051,5551,12305900,0.00
20170728,0.000051,0.000092,0.000034,0.000056,8289,11344700,0.00
20170727,0.000059,0.000122,0.000031,0.000051,38825,13019500,0.00
20170726,0.000055,0.000062,0.000038,0.000062,11389,12227400,0.00
