date,open,high,low,close,volume,marketcap,average
20180105,0.002277,0.002285,0.002240,0.002285,152,74739,0.00
20180104,0.002114,0.002277,0.002066,0.002277,173,69393,0.00
20180103,0.000460,0.002384,0.000460,0.002103,60,15095,0.00
20180102,0.000527,0.002888,0.000453,0.000462,229,17282,0.00
20180101,0.000559,0.000559,0.000504,0.000527,183,18355,0.00
20171231,0.000356,0.000568,0.000279,0.000557,299,11684,0.00
20171230,0.000159,0.000371,0.000093,0.000360,1127,5233,0.00
20171229,0.000375,0.000377,0.000159,0.000160,287,12303,0.00
20171228,0.000434,0.000436,0.000382,0.000395,1233,14259,0.00
20171227,0.000396,0.000436,0.000093,0.000435,1361,12995,0.00
20171226,0.000098,0.000406,0.000097,0.000396,1,3200,0.00
20171225,0.000392,0.000493,0.000096,0.000098,20,12879,0.00
20171224,0.000298,0.000475,0.000258,0.000391,137,9778,0.00
20171223,0.000427,0.000565,0.000425,0.000520,0,14017,0.00
20171222,0.000534,0.000540,0.000355,0.000423,2,17519,0.00
20171221,0.000466,0.000573,0.000354,0.000532,0,15283,0.00
20171220,0.000512,0.000512,0.000291,0.000470,4,16785,0.00
20171219,0.000383,0.000639,0.000312,0.000512,171,12539,0.00
20171218,0.000375,0.000382,0.000373,0.000382,41,12285,0.00
20171217,0.000249,0.000250,0.000039,0.000040,29,8163,0.00
20171216,0.000529,0.000534,0.000231,0.000249,97,17335,0.00
20171215,0.000536,0.000537,0.000523,0.000529,1,17549,0.00
20171214,0.000240,0.000259,0.000237,0.000253,0,7869,0.00
20171213,0.000231,0.000271,0.000224,0.000237,0,7545,0.00
20171212,0.000170,0.000236,0.000164,0.000230,0,5559,0.00
20171211,0.000187,0.000197,0.000165,0.000169,19,6100,0.00
20171208,0.000410,0.000658,0.000173,0.000181,0,13396,0.00
20171207,0.000153,0.000518,0.000123,0.000409,0,5001,0.00
20171206,0.000247,0.000546,0.000081,0.000154,4,8071,0.00
20171205,0.000172,0.000249,0.000169,0.000248,528,5614,0.00
