date,open,high,low,close,volume,marketcap,average
20180110,9.85,10.91,7.46,10.43,62279,27565300,9.19
20180109,11.10,11.94,9.08,9.72,41647,31083300,10.51
20180108,11.77,12.64,9.93,11.14,66109,32939600,11.29
20180107,9.83,14.46,7.97,11.75,208146,27512800,11.21
20180106,6.62,9.85,6.58,9.83,31052,18533800,8.21
20180105,6.82,10.53,6.22,6.61,98101,19099100,8.38
20180104,6.97,6.97,5.57,6.90,90475,19509300,6.27
20180103,5.47,7.05,5.47,6.94,65955,15324200,6.26
20180102,4.57,6.26,4.57,5.47,46664,12807500,5.42
20180101,5.10,5.10,4.37,4.57,71159,14286200,4.73
20171231,4.30,5.21,4.22,5.10,65117,12043500,4.71
20171230,4.15,4.40,3.35,4.34,88680,11621600,3.88
20171229,3.50,4.16,3.25,4.16,59104,9805030,3.71
20171228,4.05,4.13,2.95,3.48,45646,11334300,3.54
20171227,3.49,4.06,2.90,4.06,38811,9765040,3.48
20171226,3.01,4.08,2.82,3.48,37247,8431440,3.45
20171225,2.86,3.24,2.82,3.01,3421,8005740,3.03
20171224,3.08,3.42,2.55,2.84,12346,8633870,2.98
20171223,3.24,3.58,2.95,3.05,13147,9083970,3.27
20171222,3.82,3.84,2.47,3.22,13524,10686600,3.16
20171221,3.26,4.12,3.26,3.80,38215,8526250,3.69
20171220,3.22,3.56,2.87,3.37,33169,8416160,3.21
20171219,3.62,3.63,2.62,3.22,42256,9480960,3.12
20171218,3.34,3.72,2.72,3.63,42132,8746220,3.22
20171217,3.60,3.93,2.55,3.35,854744,9428080,3.24
20171216,3.97,4.08,2.23,3.59,1199930,10375900,3.16
20171215,1.70,4.01,1.69,3.97,704531,4436010,2.85
20171214,1.82,2.12,1.68,1.69,9270,4764450,1.90
20171213,1.95,2.21,1.72,1.82,12886,5104120,1.96
20171212,1.91,2.08,1.67,1.95,18493,4996980,1.88
20171211,1.77,1.91,1.55,1.91,18162,4623400,1.73
20171210,1.60,1.83,1.34,1.77,9380,4186420,1.58
20171209,1.71,1.96,1.47,1.59,4364,4484750,1.71
20171208,1.54,1.86,1.49,1.71,8364,4028160,1.68
20171207,1.50,1.69,1.45,1.54,8926,3926780,1.57
20171206,1.39,1.89,1.30,1.50,15750,3641270,1.59
20171205,1.44,1.77,0.919354,1.39,24454,3761310,1.34
20171204,1.71,2.04,1.40,1.44,17179,4464090,1.72
20171203,2.04,2.06,1.44,1.64,28399,5336720,1.75
20171202,2.13,2.25,1.93,2.04,7348,5574720,2.09
20171201,1.97,2.22,1.64,2.13,3290,5162620,1.93
20171130,2.10,2.19,1.57,1.98,14094,5486440,1.88
20171129,2.23,2.51,1.81,2.07,27228,5827020,2.16
20171128,1.87,2.49,1.75,2.23,17070,4898270,2.12
20171127,2.27,2.53,1.86,1.87,19140,5936160,2.19
20171126,2.47,2.50,2.12,2.27,26896,6459930,2.31
20171125,2.51,2.81,2.37,2.47,56245,6578720,2.59
20171124,2.39,2.67,2.14,2.52,87367,6250700,2.41
20171123,2.26,2.45,2.17,2.40,22958,5920500,2.31
20171122,2.17,2.26,2.00,2.26,107202,5684590,2.13
20171121,2.02,2.49,1.91,2.17,109166,5288190,2.20
20171120,2.14,2.18,1.96,2.02,8081,5590590,2.07
20171119,2.07,2.38,1.89,2.14,34632,5409400,2.13
20171118,2.03,2.27,1.83,2.07,50324,5304490,2.05
20171117,2.27,2.38,2.03,2.03,12228,5951960,2.21
20171116,2.25,2.47,2.12,2.28,3558,5888770,2.29
20171115,2.12,2.36,2.06,2.35,5413,5552460,2.21
20171114,1.99,2.24,1.93,2.12,16325,5199430,2.08
20171113,1.78,2.03,1.76,1.99,6151,4653360,1.90
20171112,2.12,2.12,1.76,1.78,2666,5543150,1.94
20171111,2.06,2.25,2.01,2.12,6919,5390020,2.13
20171110,1.84,2.28,1.81,2.07,17527,4816120,2.04
