date,open,high,low,close,volume,marketcap,average
20180110,2.59,2.83,2.23,2.49,1631170,,2.53
20180109,2.48,2.78,2.34,2.59,1650940,,2.56
20180108,2.90,2.94,2.23,2.54,1993550,,2.58
20180107,2.61,2.97,2.45,2.92,1893540,,2.71
20180106,2.05,2.71,1.91,2.66,1810380,,2.31
20180105,2.15,2.51,1.93,2.17,2239570,,2.22
20180104,2.38,2.83,2.12,2.15,2858230,,2.48
20180103,2.58,2.67,2.21,2.39,3284490,,2.44
20180102,2.93,3.18,2.51,2.64,5545490,,2.84
20180101,2.71,3.43,2.12,2.89,7122910,,2.78
20171231,3.43,4.33,2.38,2.89,6042810,,3.35
20171230,1.91,4.00,1.79,3.66,5664270,,2.90
20171229,1.40,2.13,1.33,1.91,2162490,,1.73
20171228,1.25,1.40,1.08,1.39,439113,,1.24
20171227,1.27,1.42,1.17,1.27,814927,,1.29
20171226,1.39,1.46,1.12,1.27,1009120,,1.29
20171225,1.48,1.53,1.20,1.39,1348070,,1.36
20171224,1.54,1.69,1.32,1.47,1269660,,1.50
20171223,1.54,1.69,1.46,1.55,3010670,,1.57
