date,open,high,low,close,volume,marketcap,average
20180110,16.27,16.29,12.29,14.24,38735100,,14.29
20180109,13.60,16.64,12.87,16.24,40054300,,14.75
20180108,13.76,13.76,10.15,13.52,43579100,,11.96
20180107,9.75,14.70,9.32,14.03,66197200,,12.01
20180106,6.77,9.90,6.60,9.80,30465900,,8.25
20180105,6.87,6.91,6.13,6.72,18666600,,6.52
20180104,7.51,7.64,6.37,6.92,26605500,,7.00
20180103,5.56,7.69,4.95,7.52,32260000,,6.32
20180102,5.36,5.60,5.11,5.54,18219900,,5.36
20180101,5.66,5.66,5.00,5.29,8631880,,5.33
20171231,5.47,5.73,4.92,5.61,10903700,,5.33
20171230,6.02,6.04,4.66,5.48,11138000,,5.35
20171229,5.12,6.41,5.08,6.03,15972400,,5.75
20171228,5.65,5.65,4.39,5.08,10466100,,5.02
20171227,6.53,7.64,5.12,5.65,29351900,,6.38
20171226,4.04,6.68,3.61,6.54,15623200,,5.14
20171225,3.92,4.04,3.82,4.04,4835210,,3.93
20171117,2.73,3.21,2.64,2.64,545,13654000,2.92
20171116,2.36,2.87,2.34,2.74,3600880,11778800,2.60
20171115,2.37,3.00,2.22,2.98,5959170,11863200,2.61
20171114,2.49,2.72,2.31,2.37,4585530,12437300,2.52
20171113,2.73,3.02,2.32,2.48,5208,13635400,2.67
20171112,2.70,3.01,2.20,2.72,902325,13480200,2.60
20171111,3.02,3.40,2.67,2.70,5584820,15107300,3.04
20171110,2.82,3.05,2.25,3.03,13424100,14086900,2.65
20171109,2.06,3.16,1.99,2.81,5308560,10300600,2.58
20171108,1.82,2.13,1.79,2.06,4118620,9079890,1.96
20171107,1.54,1.91,1.54,1.82,4339130,7704390,1.73
20171106,1.66,1.74,1.54,1.54,4157400,8301090,1.64
20171105,1.69,1.81,1.64,1.66,3381360,8452110,1.73
20171104,1.65,1.90,1.61,1.69,4416420,8228950,1.75
20171103,1.74,1.82,1.57,1.65,3329140,,1.70
20171102,1.69,1.90,1.60,1.74,3917230,,1.75
20171101,1.81,1.81,1.55,1.69,4155450,,1.68
20171031,1.72,1.81,1.54,1.81,6424290,,1.68
20171030,2.04,2.06,1.03,1.73,5152710,,1.54
20171029,1.66,2.10,1.66,2.06,4368280,,1.88
20171028,1.98,1.98,1.65,1.66,909188,,1.81
20171027,1.86,2.05,1.81,1.97,5200300,,1.93
20171026,1.76,2.00,1.76,1.86,4560900,,1.88
20170831,5.42,5.42,5.41,5.41,934,,5.42
20170830,5.17,5.44,5.04,5.42,277276,,5.24
20170829,5.07,5.28,4.87,5.17,644801,,5.08
20170828,5.54,5.65,4.84,5.07,1046260,,5.25
20170827,5.68,5.96,5.42,5.56,1058870,,5.69
20170826,4.94,5.86,4.89,5.69,1828830,,5.38
20170825,4.49,5.34,4.36,4.94,1231690,,4.85
20170824,4.37,4.61,4.30,4.49,441121,,4.46
20170823,4.58,4.59,4.20,4.34,995797,,4.39
