date,open,high,low,close,volume,marketcap,average
20180110,0.017017,0.017603,0.012549,0.014201,27941,,0.02
20180109,0.016005,0.021107,0.012423,0.016977,50914,,0.02
20180108,0.012433,0.019376,0.012425,0.015963,62921,,0.02
20180107,0.008531,0.013348,0.007208,0.012338,59605,,0.01
20180106,0.011592,0.015212,0.008506,0.008506,34889,,0.01
20180105,0.014296,0.015086,0.007937,0.011450,30799,,0.01
20180104,0.015600,0.018005,0.011120,0.014307,31958,,0.01
20180103,0.020047,0.021490,0.011306,0.015551,62535,,0.02
20180102,0.024198,0.028163,0.015638,0.020335,183172,,0.02
20180101,0.006346,0.025458,0.006191,0.025458,138177,,0.02
20171231,0.006155,0.008872,0.004901,0.006878,28950,,0.01
20171230,0.006063,0.010328,0.005028,0.006218,21861,,0.01
20171229,0.003162,0.006721,0.002650,0.006075,36568,,0.00
20171228,0.004172,0.006923,0.002116,0.003132,7064,,0.00
20171227,0.002836,0.004183,0.002689,0.004179,31256,,0.00
20171226,0.002757,0.003325,0.001879,0.002832,4851,,0.00
20171225,0.003467,0.003499,0.001887,0.002759,7948,,0.00
20171224,0.002743,0.004892,0.002675,0.003435,6010,,0.00
20171223,0.002597,0.003374,0.002527,0.002713,3161,,0.00
20171222,0.003761,0.003792,0.002126,0.002574,4776,,0.00
20171221,0.003770,0.003991,0.002914,0.003748,4023,,0.00
20171220,0.003304,0.004602,0.002962,0.003761,6709,,0.00
20171219,0.004866,0.005292,0.002943,0.003308,25890,,0.00
20171218,0.003805,0.005087,0.002908,0.005070,3370,,0.00
20171217,0.002648,0.003876,0.002448,0.003798,8826,,0.00
20171216,0.002191,0.003143,0.001898,0.002649,4081,,0.00
20171215,0.002070,0.003116,0.002069,0.002188,4138,,0.00
20171214,0.002135,0.002869,0.001735,0.002067,2083,,0.00
20171213,0.001980,0.002493,0.001738,0.002140,3548,,0.00
20171212,0.002404,0.002731,0.001437,0.001978,6564,,0.00
20171211,0.002852,0.003308,0.002114,0.002658,4049,,0.00
20171210,0.002990,0.003248,0.002230,0.002871,4235,,0.00
20171209,0.002562,0.003154,0.002188,0.002979,8775,,0.00
20171208,0.003601,0.003791,0.002368,0.002571,3781,,0.00
20171207,0.003203,0.003584,0.002616,0.003584,7386,,0.00
20171206,0.002601,0.003395,0.002444,0.003224,10044,,0.00
20171205,0.002799,0.002843,0.002352,0.002607,5573,,0.00
20171204,0.002339,0.002872,0.001816,0.002794,14273,,0.00
20171203,0.002171,0.002679,0.002003,0.002334,6049,,0.00
20171202,0.002481,0.002942,0.002169,0.002169,6570,,0.00
20171201,0.001954,0.002686,0.001564,0.002482,6944,,0.00
20171130,0.001871,0.002255,0.001618,0.001961,2968,,0.00
20171129,0.002810,0.002901,0.001592,0.001845,4316,,0.00
20171128,0.002701,0.002867,0.002150,0.002816,6165,,0.00
20171127,0.002464,0.003174,0.002326,0.002711,10574,,0.00
20171126,0.002980,0.003752,0.002387,0.002465,12845,,0.00
20171125,0.002386,0.003497,0.002010,0.002981,41811,,0.00
20171124,0.001016,0.002442,0.000984,0.002389,14943,,0.00
20171123,0.001457,0.001462,0.000784,0.001019,11445,,0.00
20171122,0.001451,0.001591,0.001164,0.001416,11130,,0.00
20171121,0.001896,0.001928,0.001338,0.001507,19972,,0.00
20171120,0.002601,0.002886,0.001602,0.001977,47335,,0.00
20171119,0.003795,0.003832,0.002295,0.002781,188732,,0.00
20171118,0.002798,0.005906,0.002239,0.003947,536596,,0.00
20171117,0.031022,0.036087,0.002449,0.002813,586619,,0.02
20171116,0.046450,0.053108,0.018133,0.030899,631014,,0.04
20171115,0.057252,0.092940,0.030664,0.046320,801984,,0.06
20171114,0.019727,0.061734,0.019365,0.059556,338385,,0.04
20171113,0.009267,0.031149,0.009267,0.019695,118674,,0.02
