date,open,high,low,close,volume,marketcap,average
20180110,2.41,2.45,2.07,2.14,943699,69049300,2.26
20180109,2.30,2.60,2.22,2.40,1022640,65788400,2.41
20180108,2.37,2.37,1.88,2.30,854782,67790200,2.12
20180107,2.47,2.59,2.17,2.36,1118960,70937200,2.38
20180106,1.60,2.46,1.53,2.46,952660,45866000,2.00
20180105,2.31,2.45,1.54,1.60,818143,66190400,2.00
20180104,1.62,2.43,1.61,2.31,789172,46418800,2.02
20180103,0.883395,2.08,0.883395,1.62,985179,25319900,1.48
20180102,0.699770,0.879408,0.699770,0.877453,534931,,0.79
20180101,0.816221,0.837915,0.666467,0.699148,438869,,0.75
20171231,0.437503,0.815443,0.437503,0.812529,518622,,0.63
20171230,0.432729,0.442558,0.392572,0.438219,377516,,0.42
20171229,0.426167,0.434062,0.425380,0.432060,351032,,0.43
