date,open,high,low,close,volume,marketcap,average
20180110,0.006864,0.008030,0.006864,0.007499,632,343205,0.01
20180109,0.012000,0.012012,0.006759,0.006855,58,600013,0.01
20180108,0.012464,0.013960,0.009656,0.012034,443,623216,0.01
20180107,0.010149,0.012096,0.007826,0.010873,923,507433,0.01
20180106,0.028989,0.030343,0.009454,0.009460,793,1449440,0.02
20180105,0.006365,0.029875,0.006318,0.028841,3711,318266,0.02
20180104,0.005020,0.006431,0.004741,0.006375,1035,250978,0.01
20180103,0.007484,0.007731,0.003995,0.004992,321,374190,0.01
20180102,0.022683,0.026417,0.003602,0.007509,725,1134140,0.02
20180101,0.005173,0.020905,0.004984,0.020611,1813,258654,0.01
20171231,0.005522,0.006813,0.005476,0.005571,295,276081,0.01
20171230,0.006334,0.006334,0.004653,0.005572,302,316683,0.01
20171229,0.009495,0.011323,0.005360,0.006342,555,474765,0.01
20171228,0.007594,0.009437,0.007179,0.009437,392,379699,0.01
20171227,0.008926,0.009532,0.005004,0.007608,779,446282,0.01
20171226,0.003911,0.023831,0.003900,0.008908,692,195565,0.01
20171225,0.008010,0.008331,0.003871,0.003914,766,400515,0.01
20171224,0.008411,0.008411,0.007212,0.007934,586,420562,0.01
20171223,0.007584,0.008928,0.007478,0.008318,622,379216,0.01
20171222,0.008642,0.008727,0.006295,0.007513,532,432108,0.01
20171221,0.011574,0.012186,0.008550,0.008612,610,578718,0.01
20171220,0.012011,0.012184,0.010829,0.011556,1019,600570,0.01
20171219,0.012217,0.015171,0.011154,0.012024,1074,610865,0.01
20171218,0.011936,0.012244,0.010049,0.012229,777,596820,0.01
20171217,0.011629,0.014493,0.011531,0.011925,855,581437,0.01
20171216,0.012326,0.012922,0.010575,0.011619,1452,616298,0.01
20171215,0.010782,0.012454,0.010780,0.012307,1286,539098,0.01
20171214,0.010972,0.011945,0.010399,0.010766,1436,548578,0.01
20171213,0.009394,0.012198,0.007491,0.011007,1562,469703,0.01
20171212,0.008463,0.009413,0.008343,0.009387,2830,423163,0.01
20171211,0.009047,0.009667,0.007364,0.008460,2690,452334,0.01
20171210,0.012969,0.013636,0.008899,0.009065,3121,648461,0.01
20171209,0.012035,0.013987,0.011529,0.012922,2843,601762,0.01
20171208,0.012142,0.023635,0.010295,0.012047,3006,607101,0.02
20171207,0.017807,0.024860,0.011120,0.012114,3268,890358,0.02
20171206,0.025801,0.029996,0.013911,0.017838,2642,1290030,0.02
