date,open,high,low,close,volume,marketcap,average
20180110,0.017233,0.017546,0.015938,0.016498,3,28925,0.02
20180109,0.017771,0.018206,0.016969,0.017211,25,29827,0.02
20180108,0.017913,0.017981,0.016664,0.017819,817,30067,0.02
20180107,0.010150,0.018149,0.009534,0.017938,1812,17035,0.01
20180106,0.006963,0.010184,0.006709,0.010157,74,11688,0.01
20180105,0.009109,0.010007,0.006178,0.006958,322,15288,0.01
20180104,0.008670,0.009107,0.005891,0.009107,383,14552,0.01
20180103,0.007863,0.008813,0.007858,0.008623,8,13198,0.01
20180102,0.007696,0.008056,0.007085,0.007891,20,12917,0.01
20180101,0.005872,0.007828,0.005423,0.007696,82,9856,0.01
20171231,0.006357,0.008273,0.004847,0.005850,374,10670,0.01
20171230,0.004639,0.007365,0.004089,0.006427,1121,7786,0.01
20171229,0.004774,0.004774,0.003814,0.004650,80,8013,0.00
20171228,0.005120,0.005142,0.004497,0.004725,43,8594,0.00
20171227,0.003959,0.004145,0.003828,0.004043,23,6645,0.00
20171226,0.004736,0.005280,0.003755,0.003956,166,7949,0.00
20171225,0.003803,0.004816,0.003582,0.004741,133,6384,0.00
20171224,0.004528,0.004528,0.003608,0.003764,13,7600,0.00
20171223,0.004240,0.004812,0.004152,0.004479,13,7117,0.00
20171222,0.004400,0.004443,0.003205,0.004115,9,7385,0.00
20171221,0.005275,0.005564,0.004353,0.004384,10,8853,0.00
20171220,0.004052,0.005418,0.003689,0.005261,16,6802,0.00
20171219,0.004975,0.004993,0.003922,0.004056,21,8350,0.00
20171218,0.005931,0.006367,0.004872,0.004971,54,9955,0.01
20171217,0.006233,0.006589,0.005886,0.005913,89,10461,0.01
20171216,0.005996,0.006281,0.005956,0.006232,8,10065,0.01
20171215,0.005474,0.005965,0.005473,0.005895,6,9188,0.01
20171214,0.005404,0.005631,0.005343,0.005466,17,9070,0.01
20171213,0.003655,0.005731,0.003623,0.005421,9,6135,0.00
20171210,0.004511,0.004511,0.003971,0.004195,7,7572,0.00
20171209,0.006343,0.006437,0.002214,0.004493,421,10646,0.00
20171208,0.009719,0.009719,0.005882,0.006349,87,16313,0.01
20171207,0.007692,0.009696,0.007594,0.009696,9,12911,0.01
20171206,0.004680,0.007716,0.004680,0.007705,30,7856,0.01
20171205,0.004735,0.004747,0.004644,0.004691,24,7948,0.00
20171204,0.004497,0.004636,0.004355,0.004437,1,7547,0.00
20171203,0.006012,0.006481,0.004235,0.004482,19,10092,0.01
20171202,0.004136,0.006076,0.004077,0.006007,91,6942,0.01
20171201,0.004097,0.004397,0.003879,0.004140,8,6877,0.00
20171130,0.005013,0.005453,0.003756,0.004118,114,8413,0.00
20171129,0.005758,0.006304,0.004637,0.004937,960,9665,0.01
20171128,0.005073,0.005781,0.005024,0.005764,13,8514,0.01
20171127,0.004752,0.005643,0.004752,0.005060,25,7976,0.01
20171126,0.004810,0.005447,0.004735,0.004751,21,8074,0.01
20171125,0.004796,0.004812,0.004765,0.004812,3,8050,0.00
20171124,0.004661,0.004837,0.004573,0.004761,9,7824,0.00
20171123,0.004524,0.004759,0.004498,0.004668,9,7593,0.00
20171122,0.004482,0.004565,0.004456,0.004525,1,7523,0.00
20171121,0.004203,0.004269,0.003976,0.004223,17,7055,0.00
20171120,0.004826,0.004837,0.004170,0.004202,22,8100,0.00
20171119,0.003971,0.004867,0.003925,0.004828,1,6666,0.00
20171118,0.003920,0.004009,0.003800,0.003979,3,6580,0.00
20171117,0.004550,0.004657,0.003882,0.003935,24,7637,0.00
20171116,0.004496,0.004687,0.004469,0.004557,16,7546,0.00
20171114,0.003265,0.003360,0.003265,0.003308,1,5481,0.00
20171113,0.003156,0.003363,0.003105,0.003259,1,5297,0.00
20171112,0.003181,0.003218,0.002768,0.003044,1,5338,0.00
20171111,0.003287,0.003405,0.003116,0.003183,1,5518,0.00
20171110,0.003568,0.003568,0.003226,0.003299,3,5988,0.00
20171106,0.003697,0.003712,0.003556,0.003647,172,6205,0.00
20171105,0.003788,0.003805,0.003648,0.003688,174,6357,0.00
20171104,0.003727,0.003926,0.003641,0.003885,30,6255,0.00
20171103,0.004706,0.004861,0.003698,0.003737,28,7898,0.00
20171102,0.004261,0.004899,0.004261,0.004712,34,7152,0.00
20171101,0.003286,0.003287,0.003246,0.003262,3,5516,0.00
