date,open,high,low,close,volume,marketcap,average
20180110,7.62,8.54,7.04,8.23,23532600,179567000,7.79
20180109,6.97,8.25,6.56,7.59,21911400,164263000,7.40
20180108,7.13,8.11,5.28,6.96,27591400,168068000,6.70
20180107,6.02,7.36,5.70,7.16,33066000,141754000,6.53
20180106,5.24,6.37,4.34,5.99,26874500,123572000,5.36
20180105,4.49,5.33,3.51,5.27,26935500,105692000,4.42
20180104,3.55,4.59,3.29,4.52,31874900,83568300,3.94
20180103,2.30,3.79,2.07,3.56,18564100,54165700,2.93
20180102,2.16,2.49,2.15,2.34,7074850,50959000,2.32
20180101,2.25,2.38,1.96,2.18,6226810,53130700,2.17
20171231,2.20,2.40,1.96,2.34,6522190,51749200,2.18
20171230,2.15,2.32,1.70,2.08,6224630,50636300,2.01
20171229,2.11,2.50,2.06,2.21,7731480,49708900,2.28
20171228,2.09,2.22,1.74,2.10,7212260,49268400,1.98
20171227,1.71,2.37,1.64,2.08,9956730,40261200,2.00
20171226,1.78,1.90,1.60,1.72,5869280,41882200,1.75
20171225,1.97,2.12,1.68,1.80,6184170,46389900,1.90
20171224,1.65,2.07,1.38,1.96,13993800,38856100,1.72
20171223,0.915395,2.03,0.899076,1.64,18410900,21571200,1.46
20171222,1.13,1.14,0.743385,0.920280,4089970,26728600,0.94
20171221,1.01,1.17,1.00,1.13,75465000,23786100,1.08
20171220,1.14,1.14,0.974359,1.01,459809000,26973300,1.06
20171219,1.23,1.34,1.10,1.14,61563400,,1.22
20171218,1.14,1.27,1.03,1.24,13223500,,1.15
20171217,1.10,1.20,1.05,1.13,43891200,,1.12
20171216,0.985912,1.12,0.973596,1.10,75421500,,1.05
20171215,1.02,1.05,0.893573,0.995082,44966900,,0.97
20171214,0.875653,1.13,0.827503,1.02,21419800,,0.98
20171213,0.793670,0.950585,0.759173,0.911195,3181330,,0.85
20171212,0.867258,0.923186,0.749934,0.796081,2271050,,0.84
20171211,0.781177,1.06,0.756222,0.883736,2124910,,0.91
20171210,0.887820,0.895880,0.726184,0.767329,2043310,,0.81
20171209,0.874562,0.982781,0.774391,0.851667,2960880,,0.88
20171208,0.860849,1.02,0.712996,0.864435,3155930,,0.87
20171207,0.980746,1.29,0.800961,0.902773,6617360,,1.05
20171206,0.728063,1.00,0.712779,0.968369,4176740,,0.86
20171205,0.769036,0.928577,0.698642,0.723617,3531950,,0.81
20171204,0.551567,0.793635,0.499546,0.763345,3120470,,0.65
20171203,0.495117,0.586868,0.485306,0.548473,991724,,0.54
20171202,0.543986,0.543986,0.478639,0.491734,589530,,0.51
20171201,0.511773,0.544206,0.464346,0.530721,920101,,0.50
20171130,0.498050,0.512899,0.415339,0.512899,1269870,,0.46
20171129,0.593575,0.611806,0.448098,0.483502,1319140,,0.53
20171128,0.619581,0.664740,0.563186,0.588503,1545010,,0.61
20171127,0.668319,0.712619,0.607591,0.614537,2078110,,0.66
20171126,0.614588,0.700066,0.600691,0.675202,2216150,,0.65
20171125,0.599747,0.645173,0.580389,0.608633,2187220,,0.61
20171124,0.578852,0.635831,0.513253,0.589494,2642030,,0.57
20171123,0.697416,0.697416,0.568330,0.574498,2294320,,0.63
20171122,0.742628,0.749194,0.603306,0.678658,3320740,,0.68
20171121,0.849282,0.849282,0.716632,0.741822,4216300,,0.78
20171120,0.832272,0.926106,0.808810,0.862408,70420700,,0.87
20171119,0.759889,0.940992,0.733613,0.847398,45826200,,0.84
20171118,0.661671,0.792759,0.660023,0.764769,30353600,,0.73
20171117,0.784440,0.784440,0.657398,0.666624,5407500,,0.72
20171116,0.767628,0.824993,0.728745,0.789569,3618180,,0.78
20171115,0.794574,0.882761,0.713185,0.735744,3045360,,0.80
20171114,1.04,1.06,0.791844,0.807821,4432070,,0.93
20171113,0.574201,1.05,0.554979,1.05,7497080,,0.80
20171112,0.717353,0.737721,0.519787,0.545519,2179930,,0.63
20171111,0.618857,0.799266,0.571730,0.708030,3340790,,0.69
20171110,0.923467,0.940390,0.588090,0.615093,3385290,,0.76
20171109,0.608016,1.22,0.543419,0.911958,15906600,,0.88
20171108,0.177761,0.633672,0.176942,0.633672,4441610,,0.41
20171107,0.180655,0.184784,0.173171,0.179749,294062,,0.18
20171106,0.166720,0.188537,0.149416,0.180945,39259,,0.17
20171105,0.143110,0.170494,0.141692,0.166351,2277,,0.16
20171104,0.163262,0.169193,0.137770,0.143381,7694,,0.15
20171103,0.154091,0.171727,0.149072,0.163688,9594,,0.16
20171102,0.134572,0.155647,0.130524,0.154293,6099,,0.14
20171101,0.119213,0.171347,0.117844,0.134422,42802,,0.14
20171031,0.125007,0.128170,0.110596,0.119300,5627,,0.12
20171030,0.117597,0.128355,0.106399,0.125433,5658,,0.12
20171029,0.095885,0.120759,0.095688,0.118284,11374,,0.11
20171028,0.102416,0.104318,0.094801,0.096017,1091,,0.10
20171027,0.100664,0.105535,0.095235,0.102137,29940,,0.10
20171026,0.102072,0.105386,0.095609,0.100641,38119,,0.10
20171025,0.098379,0.103070,0.098378,0.102084,26708,,0.10
