date,open,high,low,close,volume,marketcap,average
20180110,1.50,2.10,0.931719,2.08,78701,22479800,1.52
20180109,1.41,1.68,1.35,1.50,4863,21148200,1.52
20180108,1.51,1.56,1.11,1.40,13444,22592000,1.33
20180107,1.67,2.00,1.22,1.48,14862,25099600,1.61
20180106,0.971347,1.68,0.920843,1.64,27165,14570200,1.30
20180105,1.45,1.55,0.950519,0.970943,3438,21800700,1.25
20180104,1.16,1.63,1.06,1.46,10425,17374200,1.34
20180103,1.18,1.22,1.07,1.17,8470,17758300,1.15
20180102,0.968413,1.28,0.963054,1.19,10475,14526200,1.12
20180101,1.05,1.09,0.656778,0.969957,2871,15697700,0.87
20171231,0.819147,1.07,0.782805,1.06,13541,12287200,0.93
20171230,0.959334,0.959334,0.716711,0.820778,9919,14390000,0.84
20171229,1.04,1.05,0.815037,0.957931,5815,15568600,0.93
20171228,0.842784,1.08,0.830944,1.03,780,12641800,0.96
20171227,0.965517,1.01,0.831087,0.843536,3444,14482800,0.92
20171226,1.16,1.16,0.935440,0.965934,3886,17341300,1.05
20171225,1.09,1.18,1.03,1.14,8945,16283300,1.10
20171224,1.33,1.34,0.974515,1.09,8566,19895400,1.16
20171223,0.642969,1.49,0.620739,1.34,9840,9644530,1.06
20171222,1.07,1.17,0.571879,0.633097,5379,16085200,0.87
20171221,1.32,1.51,1.04,1.05,6639,19815200,1.27
20171220,1.45,1.46,1.11,1.33,4709,21740900,1.29
20171219,1.32,1.52,1.21,1.47,12110,19799000,1.36
20171218,1.23,1.33,1.12,1.33,29075,18383100,1.23
20171217,1.16,1.29,1.14,1.23,11460,17456200,1.21
20171216,1.10,1.32,1.01,1.17,11265,16546100,1.17
20171215,1.17,1.24,0.934584,1.10,14525,17496900,1.09
20171214,0.983075,1.22,0.971698,1.17,10266,14746100,1.10
20171213,0.871166,1.08,0.702504,0.974392,13999,13067500,0.89
20171212,0.817206,0.915308,0.715833,0.870801,6055,12258100,0.82
20171211,1.06,1.22,0.692541,0.802477,11480,15973000,0.96
20171210,1.16,1.16,0.433598,1.07,6058,17423300,0.80
20171209,0.508765,1.18,0.495742,1.16,55158,7631470,0.84
20171208,0.401364,0.533874,0.334158,0.510851,1304,6020460,0.43
20171207,0.546866,0.555434,0.400491,0.400491,2271,8202990,0.48
20171206,0.534751,0.675579,0.501757,0.548901,9168,8021260,0.59
20171205,0.408397,0.653091,0.399690,0.650749,12785,6125960,0.53
20171204,0.432367,0.521771,0.393454,0.404477,14180,6485510,0.46
20171203,0.358874,0.487245,0.358119,0.430794,5492,5383110,0.42
20171202,0.306791,0.476758,0.303293,0.356471,1201,4601860,0.39
20171201,0.316401,0.407871,0.186017,0.305411,4826,4746020,0.30
20171130,0.529373,0.560826,0.277380,0.312576,1948,7940600,0.42
20171129,0.740951,0.791770,0.354335,0.527199,4042,11114300,0.57
20171128,0.767372,0.842184,0.557168,0.740497,15855,11510600,0.70
20171127,0.466048,0.741125,0.459535,0.741125,4160,6990720,0.60
20171126,0.432762,0.498750,0.427543,0.467781,2737,6491420,0.46
20171125,0.372669,0.482097,0.360322,0.433776,8970,5590030,0.42
20171124,0.345737,0.378548,0.323511,0.376061,1388,5186060,0.35
20171123,0.233894,0.353478,0.226134,0.347160,3043,3508410,0.29
20171122,0.320241,0.338912,0.232578,0.233908,3958,4803610,0.29
20171121,0.330935,0.447923,0.213990,0.318720,796,4964030,0.33
20171120,0.345799,0.348062,0.222101,0.331705,3703,5186980,0.29
20171119,0.494795,0.496136,0.336155,0.345678,3180,7421930,0.42
20171118,0.345707,0.507545,0.338819,0.496211,3506,5185600,0.42
20171117,0.501944,0.530465,0.339074,0.345787,6873,7529170,0.43
20171116,0.409103,0.501359,0.403369,0.501359,8589,6136550,0.45
20171115,0.433343,0.448908,0.079137,0.408836,11925,6500140,0.26
20171114,0.280583,0.436155,0.280583,0.431796,2999,4208740,0.36
20171113,0.381031,0.426651,0.280908,0.281404,2650,5715470,0.35
20171112,0.678163,0.702050,0.345988,0.379496,3464,10172400,0.52
20171111,0.753593,0.761134,0.648564,0.677610,13233,11303900,0.70
20171110,0.524239,0.703773,0.415426,0.687510,1057,7863580,0.56
20171109,0.826378,0.828995,0.357473,0.526576,5654,12395700,0.59
20171108,0.764020,0.862628,0.480523,0.825715,3541,11460300,0.67
20171107,0.605265,0.762919,0.476043,0.762919,26135,9078970,0.62
20171106,0.572061,0.741175,0.555925,0.610242,2916,8580910,0.65
20171105,0.538204,0.691616,0.368943,0.585328,3913,8073070,0.53
20171104,0.679093,0.704136,0.525055,0.536691,8666,10186400,0.61
20171103,0.648729,0.698637,0.502205,0.680603,616,9730930,0.60
20171102,0.638335,0.717040,0.597154,0.646393,5137,9575030,0.66
20171101,0.721655,0.725277,0.584605,0.635950,3065,10824800,0.65
20171031,0.648442,0.820060,0.648136,0.720251,2431,9726630,0.73
20171030,0.599295,0.770603,0.588830,0.645143,1773,8989420,0.68
20171029,0.841469,0.865592,0.564767,0.598309,1848,12622000,0.72
20171028,0.639742,0.832202,0.573871,0.832202,6748,9596130,0.70
20171027,0.522600,0.677052,0.428920,0.640194,759,7838990,0.55
20171026,0.545988,0.548857,0.497407,0.523948,4724,8189820,0.52
20171025,0.508633,0.671277,0.492925,0.548499,913,7629490,0.58
20171024,0.460730,0.554083,0.393893,0.507906,2645,6910940,0.47
20171023,0.503505,0.515215,0.439354,0.459860,6797,7552570,0.48
20171022,0.468542,0.509897,0.354229,0.503349,5228,7028130,0.43
20171021,0.482153,0.495882,0.451632,0.469606,3339,7232300,0.47
20171020,0.489982,0.509963,0.472055,0.482605,5674,7349740,0.49
20171019,0.466942,0.507821,0.428612,0.493198,116,7004120,0.47
20171018,0.488432,0.489223,0.418808,0.468266,3921,7326480,0.45
20171017,0.652583,0.668878,0.476188,0.481502,1462,9788750,0.57
20171016,0.522633,0.844882,0.522633,0.657251,3547,7839490,0.68
20171015,0.563678,0.617454,0.501614,0.522853,1950,8455160,0.56
20171014,0.573565,0.687888,0.557520,0.564391,1849,8603470,0.62
20171013,0.552822,0.617562,0.517232,0.575487,2432,8292330,0.57
20171012,0.516967,0.618195,0.509926,0.549027,3440,7754500,0.56
20171011,0.452789,0.522527,0.413255,0.516613,2343,6791830,0.47
20171010,0.432434,0.479468,0.402995,0.451072,2426,6486520,0.44
20171009,0.480279,0.495494,0.392847,0.432988,472,7204180,0.44
20171008,0.798316,0.800822,0.479251,0.479251,273,11974700,0.64
20171007,0.463111,0.809916,0.459543,0.798317,7586,6946660,0.63
20171006,0.380125,0.489551,0.375948,0.463638,3917,5701870,0.43
20171005,0.475789,0.840373,0.377981,0.380312,2274,7136840,0.61
20171004,0.368427,0.569855,0.342623,0.475819,3552,5526400,0.46
20171003,0.365312,0.369739,0.334059,0.368220,5455,5479670,0.35
20171002,0.397196,0.405200,0.358701,0.367374,8741,5957940,0.38
20171001,0.403787,0.426649,0.393230,0.396175,505,6056810,0.41
20170930,0.347577,0.419308,0.324403,0.403949,5606,5213650,0.37
20170929,0.317091,0.360744,0.317091,0.346916,8042,4756370,0.34
20170928,0.333278,0.355523,0.314158,0.317666,1758,4999160,0.33
20170927,0.331549,0.373065,0.326950,0.333831,707,4973240,0.35
20170926,0.309668,0.369504,0.306490,0.333135,2682,4645020,0.34
20170925,0.317006,0.356860,0.300185,0.309669,4196,4755090,0.33
