date,open,high,low,close,volume,marketcap,average
20180110,0.010807,0.011590,0.005359,0.006899,11985,3446620,0.01
20180109,0.006775,0.011956,0.006478,0.010501,48976,2160870,0.01
20180108,0.008631,0.009522,0.004816,0.008304,24384,2752690,0.01
20180107,0.004826,0.009052,0.004006,0.008480,23719,1539110,0.01
20180106,0.004517,0.005138,0.004179,0.004180,5058,1440640,0.00
20180105,0.004019,0.005313,0.003982,0.004527,3357,1281630,0.00
20180104,0.003774,0.005225,0.003710,0.003747,5991,1203760,0.00
20180103,0.003335,0.004178,0.002979,0.003754,2890,1063620,0.00
20180102,0.004117,0.004160,0.002611,0.003345,7194,1312900,0.00
20180101,0.003197,0.004031,0.003002,0.004021,1503,1019580,0.00
20171231,0.003184,0.003688,0.001965,0.003186,5345,1015600,0.00
20171230,0.002347,0.003642,0.002258,0.003217,4002,748646,0.00
20171229,0.002053,0.002499,0.002032,0.002354,798,654732,0.00
20171228,0.002490,0.002497,0.001982,0.002033,1409,794043,0.00
20171227,0.002537,0.002621,0.002182,0.002494,850,809195,0.00
20171226,0.002079,0.002553,0.001959,0.002416,929,663157,0.00
20171225,0.001840,0.002217,0.001695,0.002081,1465,586917,0.00
20171224,0.002213,0.002320,0.001660,0.001822,1999,705670,0.00
20171223,0.002067,0.002372,0.001571,0.002191,669,659199,0.00
20171222,0.002018,0.002332,0.000934,0.002048,3834,643743,0.00
20171221,0.001694,0.002502,0.001575,0.002012,2966,540249,0.00
20171220,0.001940,0.001961,0.001609,0.001693,985,618756,0.00
20171219,0.002174,0.002495,0.001881,0.001942,385,693474,0.00
20171218,0.002259,0.002454,0.002129,0.002171,356,720621,0.00
20171217,0.002200,0.002337,0.001902,0.002254,522,701784,0.00
20171216,0.001936,0.002449,0.001904,0.002173,742,617295,0.00
20171215,0.002131,0.002323,0.001881,0.001933,2070,679702,0.00
20171214,0.001468,0.002162,0.001456,0.002128,3119,468062,0.00
20171213,0.001591,0.001712,0.001432,0.001471,357,507491,0.00
20171212,0.001554,0.002591,0.001348,0.001588,412,495617,0.00
20171211,0.001377,0.001723,0.001371,0.001550,288,439109,0.00
20171210,0.001501,0.001527,0.000943,0.001386,350,478519,0.00
