date,open,high,low,close,volume,marketcap,average
20180110,0.025664,0.037251,0.023949,0.031428,16635,1315290,0.03
20180109,0.025543,0.061325,0.025314,0.027874,52220,1308400,0.04
20180108,0.018048,0.028483,0.017219,0.025167,22721,924234,0.02
20180107,0.014196,0.018245,0.012085,0.018076,5203,726913,0.02
20180106,0.009959,0.013857,0.008460,0.013857,1245,509838,0.01
20180105,0.008872,0.014698,0.008832,0.009960,2930,453987,0.01
20180104,0.008109,0.009783,0.006908,0.008856,2519,414867,0.01
20180103,0.007502,0.009015,0.006289,0.008067,1365,383528,0.01
20180102,0.006131,0.007826,0.005322,0.007520,1423,313217,0.01
20180101,0.005385,0.007366,0.005008,0.006132,1637,274989,0.01
20171231,0.005846,0.006129,0.005115,0.005377,640,298323,0.01
20171230,0.008013,0.008013,0.005854,0.005899,1398,408599,0.01
20171229,0.006346,0.008001,0.006272,0.007669,2676,323379,0.01
20171228,0.007445,0.007470,0.005678,0.006288,209,379177,0.01
20171227,0.006422,0.007857,0.006422,0.007461,274,326848,0.01
20171226,0.006150,0.007566,0.006146,0.006416,141,312806,0.01
20171225,0.004862,0.007229,0.004707,0.006139,451,247122,0.01
20171224,0.006006,0.006006,0.003989,0.004825,317,305231,0.00
20171223,0.003996,0.006205,0.003971,0.005802,326,203006,0.01
20171222,0.005712,0.005768,0.003528,0.003860,362,290140,0.00
20171221,0.005566,0.006073,0.004535,0.005693,340,282636,0.01
20171220,0.004933,0.005573,0.004589,0.005570,175,250455,0.01
20171219,0.005232,0.005540,0.004775,0.004938,794,265505,0.01
20171218,0.005525,0.005676,0.005054,0.005227,262,280274,0.01
20171217,0.006968,0.006968,0.005435,0.005513,619,353319,0.01
20171216,0.006200,0.007808,0.006164,0.006944,1557,313956,0.01
20171215,0.007354,0.008211,0.006014,0.006192,630,372366,0.01
20171214,0.005212,0.007688,0.004847,0.007339,557,262794,0.01
20171213,0.006844,0.006906,0.005174,0.005213,132,345052,0.01
20171212,0.006575,0.007345,0.004780,0.006835,409,331523,0.01
20171211,0.005479,0.007102,0.005456,0.006532,959,276250,0.01
20171210,0.006782,0.006782,0.005149,0.005517,850,341959,0.01
20171209,0.009153,0.012391,0.006727,0.006759,371,461508,0.01
20171208,0.007247,0.010231,0.004866,0.009163,233,365390,0.01
20171207,0.005920,0.011134,0.005845,0.007323,1431,298496,0.01
20171206,0.005067,0.006803,0.005067,0.005928,241,255297,0.01
20171205,0.004781,0.007373,0.004095,0.005078,1177,240830,0.01
20171204,0.004601,0.005375,0.004596,0.004772,77,231737,0.00
20171203,0.004499,0.005561,0.004215,0.004586,596,226577,0.00
20171202,0.004536,0.005476,0.004017,0.004491,40,228378,0.00
20171201,0.004860,0.004914,0.003573,0.004540,116,244663,0.00
20171130,0.004192,0.006615,0.003747,0.004884,769,210975,0.01
20171129,0.004010,0.006614,0.003876,0.004129,430,201773,0.01
20171128,0.003733,0.004226,0.003697,0.003985,65,187769,0.00
20171127,0.003651,0.004016,0.003488,0.003724,195,183590,0.00
20171126,0.003085,0.003779,0.003053,0.003648,147,155084,0.00
20171125,0.002997,0.003132,0.002770,0.003083,11,150639,0.00
20171124,0.003644,0.003829,0.002771,0.003014,57,183099,0.00
20171123,0.003288,0.004187,0.002529,0.003660,619,165177,0.00
20171122,0.004743,0.004954,0.003254,0.003292,455,238224,0.00
20171121,0.003281,0.005436,0.003272,0.004738,937,164723,0.00
20171120,0.002241,0.004515,0.002146,0.003280,2232,112503,0.00
20171119,0.002105,0.002267,0.002081,0.002241,29,105644,0.00
20171118,0.002083,0.002255,0.002036,0.002108,130,104525,0.00
20171117,0.002268,0.002270,0.002065,0.002091,211,113704,0.00
20171116,0.002034,0.002293,0.001992,0.002272,234,101932,0.00
20171115,0.001782,0.002047,0.001782,0.002023,44,89276,0.00
20171114,0.001839,0.001890,0.001748,0.001781,41,92028,0.00
20171113,0.001682,0.001861,0.001265,0.001835,98,84190,0.00
20171112,0.001962,0.001962,0.001295,0.001679,817,98194,0.00
20171111,0.001825,0.001997,0.001769,0.001963,171,91338,0.00
20171110,0.002008,0.002234,0.001816,0.001832,36,100491,0.00
20171109,0.002030,0.002030,0.001857,0.001987,127,101598,0.00
20171108,0.001871,0.002225,0.001861,0.002033,24,93635,0.00
20171107,0.001795,0.001927,0.001795,0.001877,7,89828,0.00
20171106,0.001701,0.001914,0.001660,0.001800,18,85139,0.00
20171105,0.001807,0.001903,0.001679,0.001697,11,90418,0.00
20171104,0.001664,0.001850,0.001620,0.001811,20,83265,0.00
20171103,0.001691,0.001963,0.001642,0.001654,7,84609,0.00
20171102,0.001915,0.001944,0.001604,0.001692,50,95781,0.00
20171101,0.001628,0.001921,0.001357,0.001916,669,81427,0.00
20171031,0.001818,0.001829,0.001618,0.001629,389,90962,0.00
20171030,0.001998,0.001998,0.001806,0.001828,21,99928,0.00
20171029,0.001604,0.002158,0.001600,0.002013,33,80213,0.00
20171028,0.001614,0.001644,0.001589,0.001606,24,80715,0.00
20171027,0.001657,0.001968,0.001608,0.001609,120,82868,0.00
20171026,0.001959,0.002009,0.001616,0.001657,89,97985,0.00
20171025,0.001555,0.002022,0.001511,0.001959,7,77779,0.00
20171024,0.001661,0.001814,0.001546,0.001554,52,83081,0.00
20171023,0.002122,0.002165,0.001644,0.001666,126,106139,0.00
20171022,0.001919,0.002160,0.001767,0.002126,92,95956,0.00
20171021,0.002040,0.002040,0.001879,0.001918,415,101989,0.00
20171020,0.001917,0.002281,0.001889,0.002038,105,95818,0.00
20171019,0.001891,0.001966,0.001830,0.001917,19,94552,0.00
20171018,0.001960,0.001961,0.001690,0.001892,330,97965,0.00
20171017,0.002160,0.002171,0.001883,0.001962,76,107957,0.00
20171016,0.002261,0.003547,0.002076,0.002159,113,113033,0.00
20171015,0.002490,0.002505,0.002028,0.002261,58,124463,0.00
20171014,0.001862,0.002617,0.001812,0.002485,99,93059,0.00
20171013,0.001814,0.001950,0.001690,0.001861,52,90667,0.00
20171012,0.001775,0.002110,0.001757,0.001805,26,88712,0.00
20171011,0.001521,0.001875,0.001504,0.001774,96,76016,0.00
20171010,0.001582,0.001664,0.001511,0.001521,369,79056,0.00
20171009,0.001802,0.001820,0.001577,0.001580,406,90038,0.00
20171008,0.001732,0.001812,0.001726,0.001801,332,86526,0.00
20171007,0.001718,0.001849,0.001718,0.001736,26,85843,0.00
20171006,0.001957,0.001960,0.001717,0.001717,702,97801,0.00
20171005,0.001942,0.001989,0.001826,0.001957,553,97023,0.00
20171004,0.002060,0.002116,0.001892,0.001940,156,102943,0.00
20171003,0.002097,0.002170,0.001936,0.002056,696,104747,0.00
20171002,0.002085,0.002575,0.002048,0.002097,47,104165,0.00
20171001,0.002129,0.002176,0.002030,0.002085,246,106378,0.00
20170930,0.002111,0.002186,0.002048,0.002128,402,105454,0.00
20170929,0.002836,0.002847,0.002033,0.002042,672,141646,0.00
