date,open,high,low,close,volume,marketcap,average
20180110,0.168079,0.169206,0.115093,0.136426,7262,2545490,0.14
20180109,0.138519,0.175452,0.121114,0.167858,9471,2097820,0.15
20180108,0.111811,0.141585,0.100044,0.138814,9905,1693340,0.12
20180107,0.070912,0.145715,0.070016,0.112201,3810,1073930,0.11
20180106,0.090581,0.098824,0.082337,0.086270,3616,1371810,0.09
20180105,0.078246,0.100157,0.077478,0.090674,3030,1185000,0.09
20180104,0.077123,0.088674,0.061498,0.078166,1153,1168000,0.08
20180103,0.064254,0.086701,0.064069,0.076721,1865,973100,0.08
20180102,0.066642,0.070987,0.056125,0.064557,2122,1009250,0.06
20180101,0.051468,0.078335,0.044943,0.066529,864,779449,0.06
20171231,0.050845,0.054572,0.042250,0.051423,353,770022,0.05
20171230,0.090586,0.090586,0.037355,0.037355,232,1371870,0.06
20171229,0.048125,0.090985,0.043014,0.090761,502,728822,0.07
20171228,0.054110,0.054325,0.041998,0.047636,226,819461,0.05
20171227,0.058972,0.059927,0.049658,0.054224,184,893091,0.05
20171226,0.055592,0.071571,0.055364,0.058905,456,841898,0.06
20171225,0.057002,0.062413,0.043355,0.055649,1229,863235,0.05
20171224,0.059538,0.059637,0.051513,0.056416,348,901642,0.06
20171223,0.053632,0.063353,0.049226,0.059020,226,812203,0.06
20171222,0.056523,0.057668,0.040120,0.053133,67,855980,0.05
20171221,0.047071,0.069518,0.046816,0.056335,615,712846,0.06
20171220,0.076286,0.076286,0.045047,0.046949,273,1155270,0.06
20171219,0.077546,0.078790,0.063718,0.075716,160,1174340,0.07
20171218,0.112371,0.112371,0.060091,0.077124,1162,1701740,0.09
20171217,0.176340,0.193082,0.076459,0.112232,487,2670480,0.13
20171216,0.058505,0.177529,0.052986,0.169514,248,885998,0.12
20171215,0.072054,0.075492,0.043595,0.058476,714,1091180,0.06
20171214,0.114510,0.117946,0.062821,0.071906,217,1734120,0.09
20171213,0.083061,0.127906,0.061841,0.113118,1364,1257870,0.09
20171212,0.235456,0.244961,0.082745,0.082974,781,3565710,0.16
20171211,0.036416,0.243141,0.036257,0.235036,400,551469,0.14
20171210,0.070455,0.071174,0.034364,0.036678,2195,1066960,0.05
20171209,0.089318,0.090641,0.045536,0.070304,277,1352610,0.07
20171208,0.072730,0.089420,0.051488,0.089408,3668,1101400,0.07
20171207,0.059301,0.080209,0.043619,0.072561,3152,898033,0.06
20171206,0.056626,0.068366,0.056626,0.059403,297,857524,0.06
20171205,0.040730,0.057004,0.034582,0.056752,818,616805,0.05
20171204,0.034477,0.040803,0.034439,0.040605,52,522109,0.04
20171203,0.034248,0.049682,0.032357,0.034363,355,518639,0.04
20171202,0.026633,0.038841,0.025855,0.034215,22,403323,0.03
20171201,0.028249,0.050243,0.026229,0.026656,398,427795,0.04
20171130,0.028269,0.033073,0.021838,0.028390,102,428098,0.03
20171129,0.034955,0.043973,0.025250,0.027842,1348,529338,0.03
20171128,0.034871,0.035879,0.029412,0.034950,173,528073,0.03
20171127,0.032473,0.040064,0.023170,0.032812,375,491747,0.03
20171126,0.020110,0.046139,0.020085,0.032466,1592,304530,0.03
20171125,0.031881,0.032493,0.018926,0.020116,101,482785,0.03
20171124,0.018984,0.031816,0.018634,0.031816,95,287474,0.03
20171123,0.018904,0.019146,0.015143,0.019009,128,286276,0.02
20171122,0.017490,0.019866,0.017385,0.018943,196,264855,0.02
20171121,0.017025,0.019931,0.016808,0.017448,357,257812,0.02
20171120,0.020603,0.021022,0.016361,0.017022,127,312000,0.02
20171119,0.018697,0.061732,0.018645,0.020594,554,283130,0.04
20171118,0.014278,0.020909,0.013841,0.018726,12,216209,0.02
20171117,0.018549,0.019207,0.014139,0.014332,269,280886,0.02
20171116,0.021943,0.021943,0.017073,0.018579,33,332291,0.02
20171115,0.013407,0.024956,0.013407,0.021829,247,203020,0.02
20171114,0.014943,0.015312,0.013300,0.013397,28,226288,0.01
20171113,0.011976,0.015470,0.011976,0.014912,40,181360,0.01
20171112,0.012807,0.012807,0.011069,0.011959,5,193944,0.01
20171111,0.012164,0.014585,0.011752,0.012817,10,184192,0.01
20171110,0.014472,0.014889,0.012120,0.012207,19,219140,0.01
20171109,0.016470,0.026237,0.014381,0.014429,14,249403,0.02
20171108,0.015229,0.016967,0.013158,0.016510,1,230601,0.02
20171107,0.014396,0.015438,0.014396,0.015277,0,218000,0.01
20171106,0.014908,0.015146,0.014367,0.014420,1,225752,0.01
20171104,0.014549,0.014549,0.014215,0.014301,1,220308,0.01
20171103,0.014538,0.015157,0.014155,0.014587,1,220146,0.01
20171102,0.013636,0.015135,0.013636,0.014557,1,206478,0.01
20171101,0.013074,0.015629,0.012915,0.013620,133,197966,0.01
20171031,0.022691,0.022920,0.013031,0.013083,214,343602,0.02
20171030,0.012356,0.023113,0.012223,0.022884,0,187106,0.02
20171029,0.012537,0.017790,0.009654,0.012430,73,189837,0.01
20171028,0.011455,0.012601,0.011455,0.012554,5,173454,0.01
20171027,0.013682,0.013937,0.011434,0.011440,5,207183,0.01
20171026,0.014458,0.014970,0.013483,0.013679,7,218929,0.01
20171025,0.011692,0.014679,0.009284,0.014460,729,177048,0.01
20171024,0.014735,0.017803,0.012020,0.012197,30,223120,0.01
20171023,0.015091,0.015311,0.012390,0.014767,82,228520,0.01
20171022,0.015655,0.017495,0.013235,0.015159,35,237051,0.02
20171021,0.013695,0.020591,0.013600,0.015650,30,207371,0.02
20171020,0.013444,0.014745,0.012955,0.013724,241,203568,0.01
20171019,0.016149,0.016429,0.013442,0.013442,187,244535,0.01
20171018,0.011965,0.016219,0.011200,0.016141,8,181172,0.01
20171017,0.014855,0.014859,0.011206,0.011966,376,224936,0.01
20171016,0.017556,0.043692,0.013317,0.014854,1,265842,0.03
20171015,0.151779,0.156837,0.016895,0.017554,355,2298270,0.09
20171014,0.013319,0.154802,0.013173,0.151519,73,201673,0.08
20171013,0.015941,0.017220,0.013006,0.013315,54,241386,0.02
20171012,0.011172,0.015892,0.011144,0.015892,10,169174,0.01
20171011,0.010924,0.011175,0.010431,0.011163,3,165413,0.01
20171010,0.011693,0.013849,0.010848,0.010926,15,177063,0.01
20171009,0.014821,0.014900,0.011131,0.011694,60,224422,0.01
20171008,0.009412,0.014841,0.009380,0.014817,8,142512,0.01
20171007,0.009587,0.013889,0.009428,0.009437,142,145173,0.01
20171006,0.008770,0.009611,0.008752,0.009584,315,132797,0.01
20171005,0.010596,0.010982,0.008750,0.008770,69,,0.01
20171004,0.011701,0.011775,0.010533,0.010586,13,,0.01
20171003,0.011713,0.013940,0.011510,0.011674,1,,0.01
20171002,0.011732,0.014214,0.011620,0.011712,358,,0.01
20171001,0.012063,0.012117,0.011554,0.011737,4,,0.01
20170930,0.011014,0.012082,0.010345,0.012056,19,,0.01
20170929,0.009522,0.011187,0.009201,0.011013,1,,0.01
20170928,0.011529,0.011547,0.008406,0.009529,121,,0.01
20170927,0.011666,0.012318,0.011412,0.011528,9,,0.01
20170926,0.010738,0.011807,0.010722,0.011698,17,,0.01
20170925,0.007884,0.010838,0.007752,0.010739,54,,0.01
20170924,0.011631,0.011631,0.007856,0.007892,33,,0.01
20170923,0.008913,0.011661,0.003353,0.011632,28,,0.01
20170922,0.009035,0.009237,0.008015,0.008939,109,,0.01
20170921,0.009466,0.009860,0.008300,0.009045,227,,0.01
