date,open,high,low,close,volume,marketcap,average
20180110,0.001753,0.001915,0.001175,0.001200,53,,0.00
20180109,0.001807,0.001851,0.001315,0.001750,183,,0.00
20180108,0.001954,0.001962,0.001709,0.001812,21,,0.00
20180107,0.002028,0.002033,0.001907,0.001957,60,,0.00
20180106,0.002038,0.002052,0.001967,0.001969,10,,0.00
20180105,0.001822,0.002054,0.001792,0.002036,17,,0.00
20180104,0.001825,0.001855,0.001724,0.001821,21,,0.00
20180103,0.001632,0.001855,0.001631,0.001815,20,,0.00
20180102,0.001649,0.001649,0.001622,0.001638,4,,0.00
20180101,0.001398,0.001399,0.001291,0.001353,3,,0.00
20171231,0.001144,0.001424,0.001133,0.001393,8,,0.00
20171230,0.001134,0.001191,0.001133,0.001157,2,,0.00
20171229,0.001447,0.001513,0.001413,0.001488,46,,0.00
20171228,0.000848,0.001432,0.000840,0.001432,45,,0.00
20171225,0.000986,0.001015,0.000929,0.000966,3,,0.00
20171224,0.001340,0.001340,0.000918,0.000976,6,,0.00
20171223,0.000965,0.001072,0.000952,0.001072,4,,0.00
20171222,0.001414,0.001428,0.000868,0.000956,3,,0.00
20171221,0.001154,0.001426,0.001139,0.001409,3,,0.00
20171220,0.001167,0.001185,0.001104,0.001151,12,,0.00
20171218,0.001339,0.001351,0.001279,0.001315,4,,0.00
20171217,0.001350,0.001378,0.001321,0.001335,4,,0.00
20171215,0.001161,0.001265,0.001161,0.001245,18,,0.00
20171214,0.001163,0.001165,0.001152,0.001159,17,,0.00
20171213,0.001209,0.001225,0.001153,0.001165,2,,0.00
20171212,0.001381,0.001392,0.001204,0.001208,3,,0.00
20171210,0.001053,0.001053,0.000927,0.000979,165,,0.00
20171209,0.001464,0.001584,0.000948,0.001048,178,,0.00
20171208,0.001388,0.001465,0.001213,0.001465,1,,0.00
20171207,0.001311,0.001385,0.001234,0.001385,4,,0.00
20171206,0.001053,0.001156,0.001053,0.001151,2,,0.00
20171205,0.000933,0.001068,0.000919,0.001055,2,,0.00
20171204,0.000899,0.000931,0.000871,0.000931,2,,0.00
20171203,0.000912,0.000916,0.000847,0.000896,20,,0.00
20171202,0.000980,0.001008,0.000966,0.000994,57,,0.00
20171201,0.000981,0.000983,0.000965,0.000980,56,,0.00
20171128,0.000878,0.000898,0.000869,0.000896,2,,0.00
20171127,0.000848,0.000877,0.000848,0.000876,14,,0.00
20171125,0.000739,0.000786,0.000735,0.000784,5,,0.00
