date,open,high,low,close,volume,marketcap,average
20180110,0.051116,0.058644,0.047912,0.058644,7,45699,0.05
20180109,0.051512,0.052366,0.049756,0.051049,313,46053,0.05
20180108,0.062208,0.062442,0.060107,0.061011,2,55616,0.06
20180107,0.037674,0.064709,0.036350,0.062296,2,33681,0.05
20180106,0.063520,0.063941,0.035834,0.037701,4,56789,0.05
20180105,0.060224,0.064007,0.059943,0.063469,2,53842,0.06
20180104,0.059018,0.059967,0.055745,0.057827,2,52763,0.06
20180103,0.058008,0.060456,0.035589,0.058696,164,51861,0.05
20180102,0.051588,0.059281,0.051512,0.058214,4,46121,0.06
20180101,0.032437,0.032459,0.029955,0.030580,2,28999,0.03
20171231,0.049841,0.055440,0.029759,0.032312,6,44559,0.04
20171230,0.056678,0.056697,0.047720,0.050385,3,50672,0.05
20171229,0.057291,0.059746,0.043011,0.056821,34,51220,0.05
20171228,0.062064,0.062327,0.041485,0.056704,6,55487,0.05
20171227,0.047669,0.062266,0.047291,0.062194,74,42618,0.05
20171226,0.056136,0.057011,0.041905,0.047635,154,50188,0.05
20171225,0.054984,0.058713,0.042511,0.056194,13,49157,0.05
20171224,0.059302,0.059302,0.057757,0.058532,12,53018,0.06
20171223,0.042886,0.063571,0.042588,0.058654,28,38341,0.05
20171222,0.041847,0.046108,0.035597,0.042485,51,37412,0.04
20171221,0.049614,0.052334,0.048995,0.050721,5,44357,0.05
20171220,0.051154,0.053685,0.047451,0.049485,7,45733,0.05
20171219,0.078256,0.078537,0.076583,0.077729,35,69963,0.08
20171218,0.077293,0.078916,0.073826,0.078190,73,69102,0.08
20171217,0.043823,0.079540,0.042951,0.077060,124,39179,0.06
20171216,0.071470,0.071813,0.040266,0.043817,35,63896,0.06
20171215,0.067180,0.073202,0.061485,0.071370,37,60061,0.07
20171214,0.056823,0.067337,0.056181,0.067079,138,50801,0.06
20171213,0.070313,0.072954,0.055298,0.057006,107,62862,0.06
20171212,0.078459,0.079572,0.068041,0.070255,28,70144,0.07
20171211,0.037050,0.084858,0.036888,0.078208,1112,33124,0.06
20171210,0.041654,0.078241,0.036670,0.037320,2411,37240,0.06
20171209,0.032365,0.044923,0.027359,0.041486,29,28935,0.04
20171208,0.049116,0.049848,0.030014,0.032398,8,43911,0.04
20171207,0.037087,0.049001,0.028591,0.049001,20,33157,0.04
20171206,0.031592,0.037203,0.031592,0.037151,59,28244,0.03
20171205,0.031355,0.032176,0.022412,0.031662,56,28033,0.03
20171204,0.032714,0.033725,0.022385,0.031294,14,29247,0.03
20171203,0.033342,0.034408,0.022446,0.032606,58,29808,0.03
20171202,0.024599,0.034145,0.024550,0.033310,55,21992,0.03
20171201,0.024783,0.025057,0.022158,0.024620,34,22157,0.02
20171130,0.031648,0.034426,0.023542,0.024906,25,28295,0.03
20171129,0.026988,0.036948,0.022460,0.031170,19,24128,0.03
20171128,0.031607,0.032334,0.031302,0.032247,4,28258,0.03
20171127,0.030096,0.031579,0.023672,0.031526,10,26907,0.03
20171126,0.028513,0.030735,0.020822,0.030090,20,25491,0.03
20171125,0.026765,0.028522,0.026613,0.028522,300,23928,0.03
20171124,0.027808,0.028853,0.026611,0.026819,164,24861,0.03
20171123,0.026814,0.028294,0.026413,0.027846,3,23973,0.03
20171122,0.026452,0.028608,0.026340,0.026823,22,23649,0.03
20171121,0.026867,0.027287,0.025416,0.026388,150,24020,0.03
20171120,0.026221,0.027874,0.026150,0.026862,44,23443,0.03
20171119,0.026164,0.026444,0.025210,0.026234,190,23391,0.03
20171118,0.026519,0.026922,0.025709,0.026213,1,23709,0.03
20171117,0.025495,0.027555,0.024593,0.026621,13,22793,0.03
20171116,0.023589,0.026009,0.023061,0.025537,61,21089,0.02
20171115,0.015603,0.023466,0.014005,0.023466,79,13950,0.02
20171114,0.020768,0.024397,0.012439,0.015593,201,18567,0.02
20171113,0.014774,0.021523,0.014616,0.020724,3,13208,0.02
20171112,0.020801,0.021044,0.018106,0.019982,1,18597,0.02
20171111,0.019659,0.024550,0.014769,0.020816,24,17576,0.02
20171110,0.021886,0.022517,0.015348,0.019729,19,19566,0.02
20171109,0.027779,0.027779,0.015017,0.021821,51,24835,0.02
20171108,0.031596,0.033015,0.015467,0.018090,281,28247,0.02
20171107,0.031037,0.032175,0.020265,0.031695,8,27748,0.03
20171106,0.036597,0.036711,0.020001,0.031087,4,32719,0.03
20171105,0.035556,0.037672,0.021402,0.036516,8,31788,0.03
20171104,0.030818,0.035978,0.030111,0.035624,41,27552,0.03
20171103,0.025916,0.032106,0.020760,0.030898,3,23170,0.03
20171102,0.019557,0.026404,0.019340,0.025950,65,17484,0.02
20171101,0.032091,0.032595,0.031701,0.032569,5,28690,0.03
20171031,0.030700,0.032114,0.018921,0.032114,5,27447,0.03
20171030,0.018471,0.033212,0.018287,0.030805,5,16513,0.03
20171029,0.030874,0.030930,0.017162,0.018579,5,27602,0.02
20171028,0.016253,0.031218,0.016166,0.030916,93,14531,0.02
20171027,0.031789,0.032380,0.016110,0.016209,3,28420,0.02
20171026,0.030966,0.032316,0.030763,0.031781,1,27684,0.03
20171025,0.029192,0.031024,0.015107,0.030969,384,26098,0.02
20171024,0.018770,0.029492,0.013123,0.029180,1002,16781,0.02
20171023,0.017220,0.017813,0.004998,0.017635,540,15396,0.01
20171022,0.012509,0.017291,0.012164,0.017248,20,11183,0.01
20171021,0.013692,0.017402,0.011663,0.012505,28,12241,0.01
20171020,0.014946,0.014993,0.012646,0.013721,24,13362,0.01
20171019,0.010727,0.015039,0.010629,0.014942,35,9591,0.01
20171018,0.014674,0.014674,0.010349,0.010722,7,13119,0.01
20171017,0.010460,0.014971,0.010188,0.014673,27,9352,0.01
20171016,0.015880,0.015961,0.009909,0.010459,11,14198,0.01
20171015,0.015462,0.016039,0.015279,0.015878,1,13824,0.02
20171014,0.017815,0.018243,0.017620,0.017990,0,15927,0.02
20171013,0.016866,0.018630,0.008844,0.017811,134,15079,0.01
20171012,0.019305,0.023006,0.014540,0.016814,349,17259,0.02
20171011,0.015241,0.020434,0.014353,0.019289,149,13626,0.02
20171010,0.016943,0.020922,0.014883,0.015243,308,15148,0.02
20171009,0.016984,0.017240,0.016144,0.016944,10,15184,0.02
20171008,0.015819,0.018403,0.015765,0.016980,15,14143,0.02
20171007,0.015790,0.017427,0.015494,0.015862,11,14116,0.02
20171006,0.015652,0.017597,0.015620,0.015784,10,13993,0.02
20171005,0.015239,0.018855,0.014527,0.015652,100,13624,0.02
20171004,0.017970,0.018830,0.015171,0.015225,101,16066,0.02
20171003,0.020561,0.020656,0.017918,0.017928,84,18382,0.02
20171002,0.028122,0.028185,0.019718,0.020560,649,25142,0.02
20171001,0.029762,0.030373,0.021759,0.028135,293,26608,0.03
20170930,0.029955,0.031676,0.022258,0.029746,216,26781,0.03
20170929,0.031662,0.035993,0.023483,0.029951,1522,28307,0.03
20170928,0.025287,0.046694,0.025006,0.031686,105232,22607,0.04
20170927,0.036125,0.036167,0.020939,0.025286,1374,32297,0.03
20170926,0.044054,0.057892,0.012013,0.036226,15539,39385,0.03
20170925,0.022512,0.082750,0.022503,0.044058,180707,20126,0.05
20170924,0.021860,0.022922,0.020996,0.022534,1,19543,0.02
20170923,0.021399,0.022015,0.021289,0.021862,5,19132,0.02
20170917,0.022844,0.022844,0.021458,0.022065,2,20423,0.02
20170916,0.022812,0.023868,0.021871,0.022859,2,20395,0.02
20170915,0.019325,0.023520,0.018383,0.022872,1,17278,0.02
20170914,0.023263,0.023573,0.019400,0.019592,16,20797,0.02
20170913,0.025010,0.025010,0.023263,0.023264,23,22359,0.02
20170912,0.025882,0.026223,0.024615,0.025002,5,23140,0.03
20170911,0.026649,0.027438,0.025936,0.026324,1,23825,0.03
20170910,0.024960,0.026960,0.024860,0.026694,2,22315,0.03
20170907,0.027694,0.028105,0.026999,0.028020,1,24759,0.03
20170906,0.022100,0.027968,0.022091,0.027747,1,19758,0.03
20170905,0.021531,0.022075,0.020285,0.022075,1,19249,0.02
20170904,0.029100,0.029121,0.020764,0.021419,65,26016,0.02
20170903,0.029546,0.029546,0.027922,0.029090,4,26415,0.03
20170830,0.024854,0.025161,0.024768,0.024808,2,22220,0.02
20170829,0.027562,0.027668,0.023557,0.024887,3,24641,0.03
20170828,0.026755,0.027654,0.025857,0.027515,2,23919,0.03
20170827,0.024023,0.026969,0.023371,0.026783,5,21477,0.03
20170826,0.027429,0.027491,0.023611,0.024028,0,24522,0.03
20170825,0.027444,0.028026,0.026998,0.027420,408,24536,0.03
20170824,0.021502,0.027688,0.021502,0.027488,31,19223,0.02
20170823,0.021959,0.022083,0.021184,0.021493,1,19632,0.02
20170820,0.022924,0.022924,0.022394,0.022763,0,20494,0.02
20170819,0.022720,0.023139,0.021933,0.023031,1,20313,0.02
20170818,0.021528,0.022740,0.021129,0.022740,0,19246,0.02
20170817,0.027825,0.028312,0.021099,0.021594,3,24877,0.02
20170816,0.026293,0.027856,0.025038,0.027851,0,23507,0.03
20170815,0.021765,0.026565,0.019467,0.026264,2,19459,0.02
20170814,0.025753,0.026016,0.020535,0.021707,4,23024,0.02
20170813,0.024483,0.026520,0.024428,0.025736,1,21888,0.03
20170812,0.022815,0.024548,0.018345,0.024506,2,20397,0.02
20170811,0.022084,0.023141,0.021991,0.022832,26,19744,0.02
20170808,0.016993,0.017444,0.016852,0.016981,6,15192,0.02
20170807,0.018290,0.019331,0.016692,0.016975,6,16352,0.02
20170806,0.018422,0.018422,0.018273,0.018331,2,16470,0.02
20170804,0.013935,0.014363,0.013840,0.014166,1,12458,0.01
20170803,0.013933,0.013999,0.013893,0.013938,1,12456,0.01
20170801,0.014884,0.015127,0.013855,0.014123,5,13307,0.01
20170731,0.014251,0.014950,0.014054,0.014877,25,12741,0.01
20170730,0.014023,0.014276,0.013528,0.014236,4,12537,0.01
20170729,0.014111,0.014229,0.013775,0.014025,0,12616,0.01
20170727,0.014568,0.014634,0.014512,0.014598,0,13024,0.01
20170726,0.014542,0.015001,0.013915,0.014527,0,13001,0.01
20170725,0.015666,0.015774,0.013920,0.014536,1,14006,0.01
20170724,0.015623,0.015887,0.012064,0.015668,1,13967,0.01
20170723,0.015865,0.015865,0.014892,0.015641,14,14183,0.02
20170722,0.014937,0.016151,0.014865,0.015554,0,13354,0.02
20170721,0.015668,0.015679,0.014659,0.014940,1,14007,0.02
20170720,0.009697,0.011632,0.009697,0.011632,2,8670,0.01
20170719,0.013816,0.014349,0.009630,0.009727,2,12352,0.01
20170718,0.011114,0.013851,0.009538,0.013794,5,9937,0.01
20170717,0.012480,0.013559,0.010315,0.011086,1,11157,0.01
20170716,0.009926,0.013016,0.009203,0.012494,60,8874,0.01
20170715,0.013221,0.013638,0.009956,0.009956,0,11820,0.01
20170713,0.011120,0.011264,0.010817,0.010832,1,9942,0.01
20170712,0.014991,0.015606,0.010998,0.011112,8,13402,0.01
20170711,0.015212,0.015551,0.014655,0.015065,0,13600,0.02
20170710,0.015457,0.016258,0.014825,0.015245,9,13819,0.02
20170709,0.015466,0.015712,0.015275,0.015427,3,13828,0.02
20170708,0.014985,0.015114,0.014819,0.015081,4,13397,0.01
20170707,0.015227,0.015255,0.014649,0.014972,4,13614,0.01
20170706,0.015027,0.015259,0.014848,0.015216,0,13434,0.02
20170705,0.011137,0.015112,0.010967,0.015019,22,9957,0.01
20170704,0.012404,0.012590,0.010951,0.011143,0,11089,0.01
20170703,0.010954,0.012575,0.010901,0.012432,26,9793,0.01
20170702,0.014033,0.014049,0.010617,0.010994,700,12546,0.01
20170701,0.012259,0.014542,0.012259,0.014035,2,10960,0.01
20170630,0.015167,0.015267,0.012215,0.012264,10,13560,0.01
20170629,0.015545,0.015619,0.014573,0.015137,80,13898,0.02
20170628,0.015366,0.015765,0.015366,0.015559,15,13737,0.02
20170625,0.011314,0.011599,0.010939,0.010939,27,10115,0.01
20170624,0.011864,0.011996,0.011188,0.011340,28,10607,0.01
20170623,0.014363,0.015717,0.011845,0.011866,15,12841,0.01
20170622,0.014463,0.014463,0.014363,0.014363,1,12931,0.01
20170621,0.011990,0.014463,0.011990,0.014463,10,10720,0.01
20170620,0.011141,0.011990,0.011141,0.011990,2,9960,0.01
20170619,0.011116,0.011141,0.011116,0.011141,3,9938,0.01
20170618,0.011091,0.011116,0.011091,0.011116,1,9916,0.01
20170617,0.011416,0.011416,0.011091,0.011091,24,10206,0.01
20170616,0.011972,0.012390,0.011494,0.012390,1,10704,0.01
20170615,0.012189,0.012422,0.011040,0.011981,1,10897,0.01
20170614,0.015462,0.016209,0.011655,0.012189,12,13824,0.01
20170613,0.016271,0.017010,0.015425,0.015471,27,14547,0.02
20170612,0.016359,0.016478,0.013992,0.016325,1,14626,0.02
20170611,0.016251,0.016385,0.016180,0.016381,0,14529,0.02
20170610,0.018239,0.018903,0.018217,0.018557,57,16306,0.02
20170609,0.012802,0.018487,0.012773,0.018212,56,11445,0.02
20170608,0.017489,0.017698,0.012355,0.012822,2,15636,0.02
20170607,0.019780,0.019830,0.017092,0.017402,1,17684,0.02
20170606,0.018594,0.019844,0.018594,0.019775,5,16624,0.02
20170605,0.017391,0.018538,0.017391,0.018538,3,15548,0.02
20170604,0.017054,0.017630,0.017019,0.017388,3,15247,0.02
20170603,0.016285,0.017233,0.015995,0.017101,0,14559,0.02
20170602,0.014806,0.016292,0.014624,0.016292,2,13237,0.02
20170601,0.014111,0.014991,0.010433,0.014799,10,12616,0.01
20170531,0.013250,0.014164,0.013250,0.014098,165,11846,0.01
20170530,0.014054,0.014054,0.013045,0.013199,3,12565,0.01
20170529,0.012766,0.014337,0.012202,0.014038,14,11413,0.01
20170528,0.011970,0.013442,0.011970,0.012791,3,10701,0.01
20170527,0.013087,0.013479,0.011028,0.011899,0,11700,0.01
20170526,0.013230,0.014943,0.011867,0.013043,45,11828,0.01
20170525,0.014074,0.015956,0.012978,0.013328,3,12583,0.01
20170524,0.013837,0.014370,0.013837,0.014101,1,12371,0.01
20170521,0.009554,0.009752,0.009329,0.009507,1,8542,0.01
20170520,0.009536,0.009558,0.009500,0.009558,1,8526,0.01
20170519,0.010428,0.010826,0.010428,0.010826,1,9323,0.01
20170518,0.008426,0.010440,0.008405,0.010422,7,7533,0.01
20170517,0.008450,0.008540,0.008348,0.008431,3,7555,0.01
20170514,0.012419,0.012665,0.012357,0.012412,4,11103,0.01
20170513,0.012118,0.012405,0.011860,0.012379,28,10834,0.01
20170512,0.008149,0.008166,0.007765,0.008107,0,7286,0.01
20170511,0.008278,0.008287,0.008033,0.008141,0,7400,0.01
20170510,0.012261,0.012288,0.011999,0.012123,0,10961,0.01
20170509,0.007671,0.012798,0.007638,0.012252,0,6858,0.01
20170508,0.007090,0.007669,0.007090,0.007669,3,6339,0.01
20170507,0.010878,0.010938,0.006988,0.007089,2,9725,0.01
20170506,0.010820,0.010943,0.010720,0.010813,2,9673,0.01
20170505,0.009939,0.010946,0.009939,0.010810,2,8885,0.01
20170504,0.006589,0.009922,0.006589,0.009918,4,5891,0.01
20170503,0.007545,0.007625,0.006453,0.006586,170,6746,0.01
20170502,0.007434,0.007541,0.007433,0.007540,0,6646,0.01
20170430,0.006847,0.006849,0.006811,0.006827,2,6122,0.01
20170429,0.007657,0.007711,0.006819,0.006847,2,6845,0.01
20170428,0.007279,0.007735,0.007274,0.007649,2,6507,0.01
20170426,0.007026,0.007186,0.007026,0.007183,1,6282,0.01
20170425,0.008691,0.008710,0.006411,0.007023,9,7770,0.01
20170424,0.006193,0.008715,0.006193,0.008689,9,5537,0.01
20170423,0.006307,0.006309,0.006164,0.006181,2,5639,0.01
20170422,0.006292,0.006326,0.006187,0.006306,0,5625,0.01
20170421,0.008729,0.008775,0.008679,0.008679,5,7804,0.01
20170420,0.008066,0.008810,0.008048,0.008726,5,7211,0.01
20170419,0.008037,0.008061,0.008026,0.008061,1,7186,0.01
20170417,0.005928,0.005982,0.005875,0.005979,0,5300,0.01
20170416,0.005885,0.005946,0.005885,0.005927,1,5261,0.01
20170415,0.005848,0.005952,0.005836,0.005875,2,5228,0.01
20170414,0.007010,0.007133,0.005848,0.005849,2,6267,0.01
20170413,0.005910,0.007102,0.005910,0.007004,1,5284,0.01
20170410,0.005996,0.006011,0.005954,0.006001,0,5360,0.01
20170409,0.005871,0.007171,0.005867,0.005999,0,5249,0.01
20170408,0.005829,0.008052,0.005829,0.005868,14,5211,0.01
20170407,0.006001,0.006040,0.005922,0.005985,0,5365,0.01
20170406,0.005044,0.006027,0.005044,0.006020,3,4509,0.01
20170405,0.005040,0.005042,0.005012,0.005039,1,4506,0.01
20170404,0.005132,0.005181,0.005020,0.005066,3,4588,0.01
20170403,0.005305,0.005590,0.005061,0.005124,8,4743,0.01
20170402,0.005090,0.005328,0.005065,0.005301,0,4550,0.01
20170401,0.004973,0.005142,0.004804,0.005089,2,4446,0.00
20170331,0.004610,0.005029,0.004610,0.004973,1,4121,0.00
20170330,0.005326,0.005362,0.004590,0.004609,5,4761,0.00
20170329,0.005331,0.005351,0.005254,0.005314,1,4766,0.01
20170328,0.005139,0.005238,0.005092,0.005130,0,4595,0.01
20170327,0.004462,0.005148,0.004333,0.005145,13,3989,0.00
20170326,0.004792,0.004792,0.004399,0.004437,0,4284,0.00
20170325,0.004299,0.004801,0.004148,0.004786,1,3843,0.00
20170324,0.005026,0.005190,0.004289,0.004303,5,4493,0.00
20170323,0.004851,0.005121,0.004799,0.005027,1,4337,0.00
20170322,0.006164,0.006164,0.004598,0.004847,10,5510,0.01
20170321,0.006036,0.006173,0.006011,0.006163,3,5396,0.01
20170318,0.005487,0.005559,0.005385,0.005415,0,4906,0.01
20170317,0.005252,0.005853,0.004987,0.005490,0,4695,0.01
20170316,0.005543,0.005573,0.005128,0.005286,5,4956,0.01
20170315,0.006089,0.006133,0.005502,0.005536,61,5444,0.01
20170314,0.006272,0.006272,0.006079,0.006088,1,5607,0.01
20170313,0.005962,0.006298,0.005939,0.006270,0,5330,0.01
20170312,0.009307,0.009546,0.005672,0.005960,19,8321,0.01
20170311,0.005358,0.009399,0.005358,0.009301,10,4791,0.01
20170310,0.007136,0.007606,0.005241,0.005360,10,6380,0.01
20170309,0.006914,0.007185,0.006847,0.007131,1,6181,0.01
20170308,0.007339,0.007393,0.006900,0.006912,0,6562,0.01
20170307,0.007572,0.007587,0.007229,0.007341,1,6769,0.01
20170306,0.012370,0.012434,0.012342,0.012434,0,11060,0.01
20170305,0.007639,0.012369,0.007610,0.012367,1,6829,0.01
20170304,0.006489,0.014016,0.006478,0.007644,857,5802,0.01
20170303,0.012452,0.016300,0.006055,0.006477,11128,11132,0.01
20170302,0.005401,0.005566,0.005361,0.005514,1,4828,0.01
20170301,0.005204,0.005686,0.005202,0.005391,1,4652,0.01
20170228,0.003613,0.005482,0.003586,0.005204,5,3230,0.00
20170227,0.005284,0.005324,0.003606,0.003611,26,4724,0.00
20170226,0.006534,0.006536,0.005136,0.005290,24,5841,0.01
20170225,0.006695,0.006720,0.006421,0.006531,1,5985,0.01
20170224,0.008408,0.008607,0.005343,0.006713,1,7517,0.01
20170223,0.008044,0.008436,0.005203,0.008365,4,7192,0.01
20170222,0.011070,0.014383,0.004679,0.008046,1682,9897,0.01
20170221,0.003896,0.015431,0.003788,0.011075,11931,3483,0.01
20170220,0.007194,0.007259,0.003824,0.003899,4,6432,0.01
20170219,0.006856,0.007198,0.003860,0.007188,6,6129,0.01
20170218,0.007219,0.007243,0.006842,0.006854,0,6454,0.01
20170217,0.007060,0.007246,0.004128,0.007198,1,6312,0.01
20170216,0.006771,0.007110,0.004035,0.007069,5,6054,0.01
20170215,0.003824,0.006779,0.003806,0.006770,11,3418,0.01
20170214,0.003798,0.003874,0.003778,0.003817,8,3396,0.00
20170213,0.006916,0.006923,0.003792,0.003794,11,6183,0.01
20170212,0.003803,0.003803,0.003778,0.003794,0,3400,0.00
20170211,0.004351,0.004941,0.003624,0.003807,7,3890,0.00
20170210,0.006950,0.006972,0.003458,0.004350,2,6213,0.01
20170209,0.007341,0.007373,0.006645,0.006941,4,6563,0.01
20170208,0.006448,0.006549,0.006298,0.006453,0,5765,0.01
20170207,0.006730,0.006870,0.003519,0.006549,1,6017,0.01
20170206,0.006150,0.006779,0.003189,0.006717,1,5498,0.00
20170205,0.006156,0.006182,0.006114,0.006143,1,5503,0.01
20170203,0.006574,0.006720,0.006557,0.006654,0,5878,0.01
20170202,0.008407,0.008460,0.002977,0.006577,2,7516,0.01
20170201,0.005822,0.008407,0.002539,0.008407,3,5205,0.01
20170131,0.007363,0.007781,0.005715,0.005823,0,6583,0.01
20170130,0.006436,0.007384,0.006436,0.007366,0,5754,0.01
20170129,0.007926,0.007941,0.006434,0.006437,0,7086,0.01
20170128,0.008177,0.008190,0.003687,0.007926,29,7310,0.01
20170127,0.007341,0.008207,0.003746,0.008177,3,6563,0.01
20170126,0.004499,0.008200,0.003651,0.007340,975,4022,0.01
20170125,0.004484,0.004507,0.004456,0.004497,3,4009,0.00
20170124,0.005346,0.005425,0.005298,0.005299,0,4779,0.01
20170123,0.006473,0.006478,0.002766,0.005410,4,5787,0.00
20170122,0.006342,0.006988,0.002791,0.006465,10,5670,0.00
20170121,0.011600,0.011618,0.002431,0.006342,76,10370,0.01
20170120,0.002517,0.012164,0.002236,0.011600,269,2251,0.01
20170119,0.002571,0.002599,0.001375,0.002518,3,2299,0.00
20170118,0.001416,0.001431,0.001392,0.001394,1,1266,0.00
20170117,0.002071,0.002073,0.001298,0.001415,1,1851,0.00
20170116,0.001249,0.002078,0.001249,0.002070,2,1117,0.00
20170115,0.002193,0.002205,0.001165,0.001249,4,1961,0.00
20170114,0.001798,0.002226,0.001766,0.002194,1,1607,0.00
20170112,0.001050,0.001051,0.001020,0.001047,3,939,0.00
20170111,0.001588,0.001609,0.001030,0.001051,3,1420,0.00
20170110,0.002925,0.002964,0.001588,0.001588,5,2615,0.00
20170109,0.002752,0.002930,0.001693,0.002927,4,2460,0.00
20170108,0.002719,0.002771,0.002709,0.002748,2,2431,0.00
20170105,0.001998,0.002061,0.001904,0.001938,0,1786,0.00
20170104,0.002933,0.003063,0.001878,0.001996,0,2622,0.00
