date,open,high,low,close,volume,marketcap,average
20180110,6.86,6.94,6.22,6.69,2742700,168411000,6.58
20180109,6.23,7.11,6.22,6.84,4227200,153131000,6.67
20180108,6.41,6.52,5.66,6.26,3644850,157501000,6.09
20180107,6.32,6.60,6.04,6.43,3608310,155114000,6.32
20180106,5.70,6.35,5.45,6.35,1761290,139926000,5.90
20180105,5.50,5.75,5.42,5.68,1918520,135108000,5.58
20180104,5.79,5.79,5.23,5.51,1826520,142251000,5.51
20180103,5.48,5.96,5.40,5.74,3649570,134440000,5.68
20180102,4.59,5.89,4.59,5.43,6897260,112780000,5.24
20180101,4.50,4.87,4.28,4.59,1473370,110547000,4.58
20171231,4.20,4.64,4.08,4.48,1388080,102995000,4.36
20171230,4.60,4.63,3.92,4.24,2093460,112907000,4.28
20171229,4.63,4.88,4.54,4.62,1968370,113632000,4.71
20171228,4.81,4.82,4.26,4.56,1866110,117982000,4.54
20171227,5.03,5.11,4.58,4.82,2024120,123492000,4.85
20171226,4.86,5.10,4.71,5.03,2450620,119292000,4.90
20171225,4.44,4.99,4.33,4.87,2821610,109022000,4.66
20171224,4.68,4.69,3.94,4.39,2237460,114807000,4.32
20171223,4.07,5.21,4.01,4.62,4173890,99823300,4.61
20171222,5.17,5.21,3.28,4.04,5886610,126758000,4.25
20171221,5.72,6.12,5.00,5.14,5182820,140334000,5.56
20171220,5.92,6.15,5.34,5.73,6504460,145163000,5.75
20171219,6.68,6.78,5.70,5.89,7803620,163824000,6.24
20171218,5.72,6.83,5.55,6.65,7024760,140365000,6.19
20171217,5.87,6.07,5.41,5.69,5113420,143822000,5.74
20171216,4.18,6.02,4.18,5.82,8978460,102554000,5.10
20171215,4.49,4.52,3.98,4.18,2532540,109966000,4.25
20171214,4.02,4.62,3.98,4.50,5298770,98403300,4.30
20171213,3.56,4.30,3.43,4.03,6059040,87278100,3.87
20171212,3.46,3.69,3.17,3.57,3354130,84793700,3.43
20171211,3.04,3.82,3.03,3.47,3554860,74490400,3.42
20171210,3.21,3.26,2.94,3.06,1568200,78690700,3.10
20171209,3.21,3.43,2.94,3.20,2104980,78625600,3.19
20171208,2.93,3.34,2.75,3.24,3011420,71859600,3.04
20171207,3.05,3.58,2.81,2.97,3620640,74741500,3.20
20171206,3.28,3.35,3.01,3.08,3522130,80231300,3.18
20171205,3.50,3.58,3.26,3.28,2755280,85752000,3.42
20171204,3.35,3.60,3.27,3.50,2683470,81964700,3.44
20171203,3.54,3.67,3.18,3.35,3152620,86566900,3.42
20171202,3.70,3.71,3.38,3.51,2455030,90669200,3.54
20171201,3.20,3.73,2.90,3.70,3632580,78282200,3.31
20171130,3.23,3.79,2.77,3.23,4674400,79131500,3.28
20171129,2.39,4.43,2.39,3.21,16859100,58452500,3.41
20171128,2.14,2.52,2.10,2.41,2234600,52438000,2.31
20171127,1.89,2.18,1.82,2.13,2133480,46338200,2.00
20171126,1.97,1.99,1.88,1.91,635862,48231700,1.94
20171125,1.78,1.98,1.75,1.98,723966,43496300,1.86
20171124,1.74,1.78,1.71,1.78,716486,42460300,1.75
20171123,1.70,1.76,1.65,1.74,1078410,41667000,1.71
20171122,1.52,1.74,1.52,1.70,827815,37224600,1.63
20171121,1.58,1.60,1.50,1.52,458434,38730000,1.55
20171120,1.57,1.61,1.54,1.58,377150,38363600,1.58
20171119,1.62,1.64,1.56,1.57,527524,39622300,1.60
20171118,1.68,1.68,1.56,1.62,723615,41065800,1.62
20171117,1.60,1.83,1.60,1.69,1693130,39077800,1.72
20171116,1.50,1.81,1.46,1.59,716526,36557700,1.64
20171115,1.47,1.53,1.46,1.48,422057,35910800,1.50
20171114,1.49,1.53,1.46,1.47,413628,36471000,1.50
20171113,1.41,1.50,1.40,1.49,651810,34401900,1.45
20171112,1.44,1.51,1.35,1.40,930811,35217800,1.43
20171111,1.40,1.50,1.38,1.44,941496,34264700,1.44
20171110,1.65,1.70,1.37,1.42,988942,40270600,1.54
20171109,1.54,1.69,1.53,1.64,723863,37527900,1.61
20171108,1.40,1.60,1.39,1.54,1075320,34254900,1.50
20171107,1.33,1.41,1.31,1.41,392342,32408800,1.36
20171106,1.36,1.38,1.29,1.33,269424,33281600,1.33
20171105,1.37,1.42,1.33,1.36,245093,33401900,1.38
20171104,1.24,1.49,1.21,1.37,545068,30186000,1.35
20171103,1.26,1.29,1.21,1.24,217274,30710400,1.25
20171102,1.35,1.36,1.19,1.25,467073,33044400,1.27
20171101,1.32,1.49,1.26,1.36,1061490,32140100,1.38
