date,open,high,low,close,volume,marketcap,average
20180110,0.147781,0.173163,0.127555,0.173163,495274,19541300,0.15
20180109,0.151351,0.162389,0.142254,0.147658,518793,20011600,0.15
20180108,0.154602,0.159928,0.124360,0.152142,532394,20439200,0.14
20180107,0.164175,0.167293,0.152265,0.154387,407682,21702600,0.16
20180106,0.134245,0.167585,0.126513,0.163927,481674,17744300,0.15
20180105,0.139565,0.145179,0.129449,0.134253,404386,18445500,0.14
20180104,0.138376,0.150830,0.127563,0.141043,720110,18286500,0.14
20180103,0.138059,0.148994,0.121163,0.137306,828165,18242800,0.14
20180102,0.122672,0.161540,0.110861,0.138405,1538690,16207800,0.14
20180101,0.098904,0.154850,0.091960,0.123072,746406,13066200,0.12
20171231,0.088673,0.107435,0.087744,0.098536,317192,11713400,0.10
20171230,0.109917,0.110139,0.088107,0.089900,283775,14518100,0.10
20171229,0.094006,0.111496,0.091243,0.109924,377089,12415300,0.10
20171228,0.093089,0.095618,0.081790,0.093075,156572,12292800,0.09
20171227,0.090707,0.103222,0.084988,0.093097,254645,11977100,0.09
20171226,0.090018,0.093061,0.079366,0.090436,348270,11884800,0.09
20171225,0.095168,0.102668,0.088966,0.090107,706283,12563500,0.10
20171224,0.081739,0.102926,0.072277,0.094118,605951,10789500,0.09
20171223,0.082132,0.090609,0.073433,0.079731,226176,10840200,0.08
20171222,0.093528,0.095798,0.059616,0.081860,343246,12343100,0.08
20171221,0.077343,0.107085,0.076133,0.092039,1006880,10206100,0.09
20171220,0.078428,0.081296,0.068716,0.077176,278779,10348100,0.08
20171219,0.085708,0.089302,0.074305,0.077320,789067,11307500,0.08
20171218,0.081933,0.086463,0.076130,0.085681,279090,10808400,0.08
20171217,0.079834,0.085462,0.078888,0.082099,160570,10530400,0.08
20171216,0.072417,0.084803,0.072222,0.080040,266233,9551090,0.08
20171215,0.079271,0.081768,0.071389,0.072055,216291,10453900,0.08
20171214,0.081635,0.086315,0.075788,0.078314,393259,10764600,0.08
20171213,0.076446,0.082786,0.070992,0.081208,416158,10079300,0.08
20171212,0.066915,0.080081,0.065494,0.077818,252336,8821780,0.07
20171211,0.060750,0.069684,0.060550,0.065728,77716,8008190,0.07
20171210,0.059929,0.062961,0.053167,0.061164,81784,7899070,0.06
20171209,0.065048,0.069469,0.056395,0.059719,67035,8572890,0.06
20171208,0.068506,0.070910,0.055713,0.064992,151798,9027770,0.06
20171207,0.057255,0.068920,0.054469,0.068920,147937,7544230,0.06
20171206,0.063489,0.066243,0.054960,0.057342,271462,8364860,0.06
20171205,0.058795,0.067804,0.057137,0.063605,533774,7745590,0.06
20171204,0.057798,0.058771,0.053648,0.058771,207185,7613480,0.06
20171203,0.057924,0.068789,0.053221,0.057603,406130,7629280,0.06
20171202,0.047820,0.059557,0.046261,0.057871,276676,6297870,0.05
20171201,0.041325,0.049692,0.039203,0.048447,79075,5441890,0.04
20171130,0.042830,0.046330,0.037010,0.041544,77886,5639560,0.04
20171129,0.064283,0.065143,0.040214,0.042108,636923,8463520,0.05
20171128,0.039816,0.066806,0.039512,0.064360,1137880,5241630,0.05
20171127,0.036059,0.041479,0.036059,0.040812,56077,4746520,0.04
20171126,0.035603,0.037360,0.035001,0.036203,90773,4686080,0.04
20171125,0.034209,0.036741,0.033591,0.035611,65050,4502100,0.04
20171124,0.033701,0.035106,0.033147,0.034283,37070,4434780,0.03
20171123,0.034077,0.035128,0.032595,0.033760,32584,4483770,0.03
20171122,0.033989,0.036475,0.033016,0.034771,30443,4471840,0.03
20171121,0.032674,0.035160,0.030888,0.033875,26666,4298350,0.03
20171120,0.034487,0.035548,0.032258,0.032670,39192,4536370,0.03
20171119,0.033738,0.036620,0.032618,0.034518,73271,4437340,0.03
20171118,0.034996,0.037478,0.032991,0.033796,78551,4602440,0.04
20171117,0.034311,0.036257,0.032433,0.034539,45667,4511830,0.03
20171116,0.035584,0.035761,0.032565,0.034283,61225,4678730,0.03
20171115,0.031524,0.035586,0.031524,0.035409,30132,4144510,0.03
20171114,0.031386,0.032419,0.030513,0.031478,12669,4125960,0.03
20171113,0.029220,0.032685,0.028138,0.031227,22264,3840780,0.03
20171112,0.032749,0.032749,0.026363,0.029266,95678,4304180,0.03
20171111,0.033035,0.035673,0.031625,0.033204,51700,4341340,0.03
20171110,0.035307,0.036745,0.031598,0.033135,57181,4639510,0.03
20171109,0.034248,0.037855,0.032704,0.035408,76745,4499780,0.04
20171108,0.034059,0.039832,0.032471,0.033703,173559,4474510,0.04
20171107,0.032486,0.034416,0.032021,0.034177,25133,4267420,0.03
20171106,0.033827,0.035414,0.031319,0.032529,48658,4443140,0.03
20171105,0.033925,0.035397,0.032627,0.033290,17100,4455500,0.03
20171104,0.034582,0.037254,0.033265,0.034385,62404,4541350,0.04
20171103,0.032662,0.037033,0.031672,0.034060,153003,4288710,0.03
20171102,0.033861,0.037207,0.030204,0.032700,170585,4445700,0.03
20171101,0.031282,0.033910,0.029461,0.033830,67567,4106740,0.03
20171031,0.032397,0.033628,0.030854,0.032113,40503,4252640,0.03
20171030,0.030667,0.033621,0.029328,0.032680,93331,4025170,0.03
20171029,0.028158,0.032085,0.027513,0.030852,40236,3695410,0.03
20171028,0.029086,0.034371,0.027808,0.028195,91722,3816820,0.03
20171027,0.031066,0.031082,0.027928,0.028554,12314,4076180,0.03
20171026,0.030232,0.031577,0.028979,0.031071,13156,3966330,0.03
20171025,0.031587,0.031978,0.029298,0.030387,25068,4143720,0.03
20171024,0.027738,0.032599,0.025516,0.031572,35543,3638470,0.03
20171023,0.031255,0.032183,0.026032,0.027793,32766,4099320,0.03
20171022,0.028156,0.032092,0.025801,0.032092,36834,3692520,0.03
20171021,0.030534,0.031192,0.026711,0.028123,21305,4003920,0.03
20171020,0.031694,0.032445,0.029693,0.030599,19893,4155590,0.03
20171019,0.031271,0.035341,0.030536,0.031684,64352,4099730,0.03
20171018,0.032410,0.032547,0.028537,0.031739,51036,4248570,0.03
20171017,0.032312,0.033200,0.031183,0.032412,18050,4235240,0.03
20171016,0.033035,0.038134,0.031987,0.032043,62436,4329520,0.04
20171015,0.034893,0.035146,0.030866,0.033028,19607,4572640,0.03
20171014,0.033677,0.035566,0.032279,0.034561,25149,4412790,0.03
20171013,0.038399,0.038913,0.032985,0.033872,40986,5031070,0.04
20171012,0.034163,0.038706,0.032450,0.038281,111383,4475630,0.04
20171011,0.031946,0.035155,0.031401,0.034140,19959,4184650,0.03
20171010,0.030329,0.036510,0.028899,0.031505,71369,3972420,0.03
