date,open,high,low,close,volume,marketcap,average
20180110,0.141517,0.218575,0.136014,0.180280,28464,,0.18
20180109,0.105570,0.183733,0.101923,0.141332,28060,,0.14
20180108,0.122137,0.195682,0.103689,0.105858,4740,,0.15
20180107,0.187336,0.191024,0.111091,0.122308,9386,,0.15
20180106,0.140192,0.217927,0.081348,0.187473,14487,,0.15
20180105,0.106201,0.151235,0.104656,0.140080,19461,,0.13
20180104,0.089896,0.130402,0.071605,0.106180,35852,,0.10
20180103,0.074179,0.091488,0.061223,0.089406,2653,,0.08
20180102,0.074180,0.087970,0.050838,0.074443,28874,,0.07
20180101,0.069276,0.075465,0.050629,0.074186,13228,,0.06
20171231,0.042135,0.077234,0.041717,0.069009,19052,,0.06
20171230,0.057317,0.072770,0.036911,0.042596,13533,,0.05
20171229,0.021701,0.129854,0.021434,0.057461,16966,,0.08
20171228,0.030194,0.030294,0.021204,0.021479,79,,0.03
20171227,0.025664,0.031221,0.022776,0.030258,5267,,0.03
20171226,0.027483,0.031565,0.019313,0.025646,3807,,0.03
20171225,0.022092,0.028026,0.011068,0.027511,7197,,0.02
20171224,0.028961,0.028961,0.019742,0.021865,921,,0.02
20171223,0.022141,0.030753,0.018603,0.028644,4765,,0.02
20171222,0.022017,0.029364,0.017937,0.021934,1084,,0.02
20171221,0.019121,0.110295,0.019012,0.021941,3757,,0.06
20171220,0.030697,0.030997,0.017965,0.019071,6601,,0.02
20171219,0.022926,0.030853,0.020942,0.030054,7416,,0.03
20171218,0.019132,0.022902,0.007640,0.022902,8508,,0.02
20171217,0.018759,0.024116,0.018545,0.019074,3497,,0.02
20171216,0.026035,0.026194,0.016291,0.018800,6030,,0.02
20171215,0.016588,0.030113,0.016584,0.026049,13764,,0.02
20171214,0.014967,0.028788,0.012790,0.026654,11291,,0.02
20171213,0.012457,0.015921,0.006496,0.015015,2764,,0.01
20171212,0.014222,0.019591,0.002326,0.012446,10867,,0.01
20171211,0.014860,0.020268,0.014170,0.018096,4362,,0.02
20171210,0.020693,0.128135,0.012789,0.014968,1074,,0.07
20171209,0.015389,0.020610,0.002504,0.020610,3360,,0.01
20171208,0.024667,0.025035,0.010004,0.015404,1617,,0.02
20171207,0.009697,0.031295,0.009697,0.024609,8248,,0.02
20171206,0.015000,0.021759,0.009588,0.009714,2315,,0.02
20171205,0.024119,0.108301,0.011698,0.015033,2632,,0.06
20171204,0.015125,0.024071,0.014753,0.024071,8436,,0.02
20171203,0.016932,0.024775,0.014243,0.015075,3677,,0.02
20171202,0.018890,0.021993,0.014865,0.016916,3836,,0.02
20171201,0.019111,0.024262,0.016783,0.018906,3368,,0.02
20171130,0.018469,0.023951,0.016361,0.019206,2554,,0.02
20171129,0.020393,0.027825,0.017034,0.018171,8026,,0.02
20171128,0.019993,0.020166,0.010150,0.018363,5902,,0.02
20171127,0.008704,0.019975,0.002160,0.019941,678,,0.01
20171126,0.014482,0.018892,0.008360,0.008702,2301,,0.01
20171125,0.016411,0.022147,0.013936,0.014487,7626,,0.02
20171124,0.017398,0.024740,0.013338,0.016444,6459,,0.02
20171123,0.024119,0.029579,0.012367,0.017422,5190,,0.02
20171122,0.012212,0.024245,0.012175,0.024127,6331,,0.02
20171121,0.016874,0.023764,0.011599,0.012182,7806,,0.02
20171120,0.016704,0.020510,0.016704,0.016871,9113,,0.02
