date,open,high,low,close,volume,marketcap,average
20180110,0.088357,0.144641,0.076729,0.125686,10017,531409,0.11
20180109,0.085691,0.092489,0.073382,0.088241,5981,515373,0.08
20180108,0.093150,0.093499,0.078674,0.085925,5469,560236,0.09
20180107,0.069498,0.094469,0.069066,0.093280,2359,417986,0.08
20180106,0.093412,0.093412,0.068747,0.069549,1555,561811,0.08
20180105,0.086077,0.094128,0.065707,0.093338,408,517698,0.08
20180104,0.090960,0.091112,0.059932,0.086060,3420,547067,0.08
20180103,0.105037,0.106835,0.054294,0.090465,3377,631729,0.08
20180102,0.084789,0.109012,0.041753,0.105411,6799,509949,0.08
20180101,0.050612,0.096735,0.039586,0.084795,13419,304400,0.07
20171231,0.034329,0.050832,0.033988,0.050417,2321,206467,0.04
20171230,0.036964,0.038877,0.033577,0.034704,2282,222316,0.04
20171229,0.035590,0.043947,0.035081,0.037057,1496,214051,0.04
20171228,0.042048,0.043689,0.035012,0.035225,638,252892,0.04
20171227,0.047511,0.049677,0.041090,0.042137,727,285747,0.05
20171226,0.040396,0.047629,0.037456,0.047477,2895,242955,0.04
20171225,0.038035,0.040791,0.035819,0.040158,871,228753,0.04
20171224,0.037100,0.039600,0.031920,0.037644,28,223134,0.04
20171223,0.040680,0.046226,0.029279,0.036695,229,244660,0.04
20171222,0.046353,0.046810,0.033765,0.040299,72,278785,0.04
20171221,0.048626,0.051290,0.044683,0.046193,24,292451,0.05
20171220,0.052680,0.053328,0.046505,0.048499,20,316836,0.05
20171219,0.057401,0.057606,0.050984,0.052732,121,345227,0.05
20171218,0.057204,0.057691,0.054639,0.057352,10,344047,0.06
20171217,0.057261,0.058868,0.029812,0.057032,1418,344390,0.04
20171216,0.042882,0.058343,0.042340,0.057254,87,257906,0.05
20171215,0.046445,0.050609,0.042358,0.042822,190,279338,0.05
20171214,0.045851,0.047779,0.045333,0.046376,265,275766,0.05
20171213,0.046818,0.059520,0.044621,0.045999,2086,281579,0.05
20171212,0.041418,0.049788,0.038696,0.046779,382,249103,0.04
20171211,0.040709,0.045172,0.040254,0.041286,1805,244840,0.04
20171210,0.033834,0.042114,0.029786,0.041006,47,203492,0.04
20171209,0.036756,0.043719,0.030474,0.033698,30,221065,0.04
20171208,0.043562,0.044212,0.033797,0.036793,2238,261997,0.04
20171207,0.034614,0.043460,0.034172,0.043460,722,208183,0.04
20171206,0.028550,0.037945,0.028550,0.034674,383,171709,0.03
20171205,0.029024,0.029124,0.027826,0.028613,321,174561,0.03
20171204,0.025182,0.028967,0.025154,0.028967,1,151451,0.03
20171203,0.022519,0.028049,0.022215,0.025098,902,135439,0.03
20171202,0.023837,0.025301,0.021932,0.022498,17,143362,0.02
20171201,0.029979,0.031056,0.018100,0.023857,2143,180305,0.02
20171130,0.023294,0.030408,0.021327,0.030128,224,140098,0.03
20171129,0.026117,0.027939,0.021550,0.022942,390,157080,0.02
20171128,0.023315,0.023852,0.023090,0.023815,2,140226,0.02
20171127,0.022176,0.024086,0.022176,0.023255,4,133375,0.02
20171126,0.020729,0.025150,0.020706,0.022172,880,124669,0.02
20171125,0.021182,0.021290,0.016494,0.020736,1611,127394,0.02
20171124,0.022102,0.022474,0.020993,0.021225,0,132928,0.02
20171123,0.017437,0.022489,0.017177,0.022132,10,104874,0.02
20171122,0.018662,0.018806,0.016289,0.017443,43,112242,0.02
20171121,0.022746,0.024273,0.018343,0.018617,854,136804,0.02
20171120,0.022280,0.023111,0.022014,0.022742,869,134001,0.02
20171119,0.025230,0.025361,0.021319,0.022291,425,151739,0.02
20171118,0.026596,0.027062,0.021362,0.025277,399,159958,0.02
20171117,0.021730,0.035940,0.020961,0.026698,476,130690,0.03
20171116,0.020376,0.022404,0.019919,0.021765,499,122545,0.02
20171115,0.015868,0.020362,0.015868,0.020269,149,95435,0.02
20171114,0.016393,0.016870,0.015424,0.015857,54,98590,0.02
20171113,0.014090,0.016882,0.014038,0.016358,25,84742,0.02
20171112,0.016410,0.022705,0.013588,0.014070,190,98697,0.02
20171111,0.014333,0.014846,0.013585,0.013895,2,86205,0.01
20171110,0.013616,0.015112,0.011894,0.014384,80,81892,0.01
20171109,0.014636,0.014636,0.013531,0.013576,301,88027,0.01
20171108,0.013805,0.015215,0.013723,0.014651,3,83030,0.01
20171107,0.013570,0.014042,0.013557,0.013849,44,81615,0.01
20171106,0.013234,0.013629,0.012014,0.013592,42,79595,0.01
20171105,0.013374,0.013701,0.013059,0.013205,2,80436,0.01
20171104,0.012901,0.013357,0.012605,0.013320,19,77588,0.01
20171103,0.012712,0.017230,0.012571,0.012934,108,76455,0.01
20171102,0.012112,0.013307,0.012112,0.012729,72,72843,0.01
20171101,0.012888,0.013248,0.011747,0.012098,15,77512,0.01
20171031,0.014829,0.014901,0.012603,0.012897,115,89188,0.01
20171030,0.016070,0.016112,0.014606,0.014880,5,96648,0.02
20171029,0.012601,0.016502,0.012568,0.016164,10,30612,0.01
20171028,0.012679,0.015158,0.012557,0.012619,22,30801,0.01
20171027,0.012657,0.013870,0.012366,0.012645,137,30746,0.01
20171026,0.013705,0.015920,0.012639,0.012654,41,33293,0.01
20171025,0.015838,0.015965,0.013024,0.013707,22,38473,0.01
20171024,0.013667,0.016321,0.012967,0.015831,17,33200,0.01
20171023,0.020569,0.020871,0.013197,0.013697,2,49966,0.02
20171022,0.019605,0.020787,0.018889,0.020602,7,47624,0.02
20171021,0.015493,0.020081,0.015296,0.019599,57,37637,0.02
20171020,0.018540,0.018599,0.014530,0.015526,1,45037,0.02
20171019,0.016147,0.019152,0.014169,0.018535,15,39225,0.02
20171018,0.014282,0.016216,0.013093,0.016139,3,34694,0.01
20171017,0.021325,0.021386,0.013175,0.014281,65,51802,0.02
20171016,0.021122,0.021433,0.020542,0.021321,9,51309,0.02
20171014,0.020926,0.021136,0.020730,0.021041,1,50834,0.02
20171013,0.023123,0.024977,0.020373,0.020920,12,56171,0.02
20171012,0.020077,0.029573,0.019702,0.023052,196,48772,0.02
20171011,0.015241,0.021354,0.015120,0.020060,64,37023,0.02
20171010,0.014502,0.027564,0.014346,0.015243,416,35229,0.02
20171009,0.021725,0.021841,0.013765,0.014503,77,52775,0.02
20171008,0.016175,0.021770,0.016119,0.021720,5,39292,0.02
20171007,0.015966,0.016256,0.015746,0.016218,4,38784,0.02
20171005,0.015577,0.015956,0.015315,0.015949,40,37840,0.02
20171004,0.019266,0.024821,0.015484,0.015563,187,46801,0.02
20171003,0.019141,0.019571,0.019071,0.019221,54,46497,0.02
20171002,0.019993,0.020318,0.019874,0.020084,1,48568,0.02
20171001,0.019204,0.024581,0.018849,0.020002,35,46651,0.02
20170930,0.010013,0.019311,0.010013,0.019194,209,24323,0.01
20170929,0.010023,0.010169,0.009675,0.010012,3,24347,0.01
20170928,0.013085,0.014631,0.010002,0.010030,31,31787,0.01
20170927,0.014777,0.014994,0.006575,0.013085,478,35896,0.01
20170926,0.022617,0.022672,0.014130,0.014818,96,54941,0.02
20170925,0.014836,0.022827,0.014831,0.022619,142,36041,0.02
20170924,0.015126,0.016611,0.014805,0.014851,118,36744,0.02
20170923,0.014970,0.015834,0.014826,0.015582,1,36366,0.02
20170922,0.015570,0.016171,0.014587,0.015012,2,37822,0.02
20170921,0.017535,0.017653,0.015425,0.015588,56,42596,0.02
20170920,0.017689,0.018294,0.017382,0.017621,0,42972,0.02
20170919,0.021993,0.022109,0.017279,0.017713,66,53425,0.02
20170918,0.015556,0.022133,0.015556,0.021939,14,37790,0.02
20170917,0.015824,0.015995,0.014864,0.015588,1,38439,0.02
20170916,0.021254,0.022238,0.015586,0.015834,2,51631,0.02
20170915,0.019435,0.022126,0.017905,0.021310,1,47213,0.02
20170914,0.023612,0.023926,0.019285,0.019285,1,57358,0.02
20170913,0.019309,0.024134,0.016665,0.023613,15,46905,0.02
20170912,0.025956,0.026530,0.018134,0.019383,5,63053,0.02
20170911,0.017341,0.026047,0.016801,0.025931,29,42125,0.02
20170910,0.028500,0.028500,0.016939,0.017370,0,69232,0.02
20170909,0.019913,0.028891,0.017400,0.028573,3,48372,0.02
20170908,0.018628,0.028093,0.018466,0.019831,28,45251,0.02
20170907,0.032033,0.034663,0.018453,0.018624,131,77815,0.03
20170906,0.033017,0.036070,0.031677,0.032094,12,80207,0.03
20170905,0.023985,0.033602,0.022597,0.032980,139,58265,0.03
20170904,0.033210,0.033235,0.019452,0.023861,210,80676,0.03
20170903,0.034445,0.035313,0.031867,0.033199,83,83674,0.03
20170902,0.035403,0.035818,0.032339,0.034423,8,86001,0.03
20170901,0.034067,0.035375,0.033737,0.035359,7,82757,0.03
20170831,0.033110,0.034249,0.033104,0.034061,4,80430,0.03
20170830,0.033215,0.033625,0.032481,0.033167,3,80686,0.03
20170829,0.031612,0.033709,0.031577,0.033259,2,76793,0.03
20170828,0.032574,0.032675,0.031482,0.032570,0,79131,0.03
20170827,0.031278,0.032829,0.031103,0.032609,0,75980,0.03
20170826,0.031447,0.031518,0.030741,0.031285,0,76391,0.03
20170825,0.031124,0.032131,0.030953,0.031437,1,75606,0.03
20170824,0.029788,0.031400,0.029548,0.031173,166,72361,0.03
20170823,0.016916,0.030593,0.016859,0.029775,174,41093,0.02
20170822,0.016564,0.016951,0.014998,0.016951,2,40237,0.02
20170821,0.016605,0.016743,0.016492,0.016526,1,40338,0.02
20170819,0.020419,0.020796,0.020416,0.020743,0,49603,0.02
20170818,0.033211,0.033397,0.019756,0.020437,4,80678,0.03
20170817,0.037042,0.037178,0.021079,0.033313,6,89983,0.03
20170816,0.015535,0.037083,0.015535,0.037076,21,37738,0.03
20170815,0.021219,0.021266,0.014446,0.015518,96,51546,0.02
20170814,0.024616,0.026168,0.024123,0.025990,3,59797,0.03
20170813,0.034462,0.041895,0.024543,0.024600,24,83715,0.03
20170812,0.029604,0.034775,0.029296,0.034494,171,71915,0.03
20170811,0.027705,0.032176,0.027582,0.029627,1,67301,0.03
20170810,0.026242,0.027882,0.026050,0.027706,3,63749,0.03
20170809,0.029788,0.030007,0.025492,0.026240,65,72361,0.03
20170808,0.026455,0.027158,0.026129,0.026376,12,64266,0.03
20170807,0.022541,0.026532,0.022227,0.026429,63,54757,0.02
20170806,0.026887,0.026894,0.022520,0.022592,202,65315,0.02
20170805,0.022351,0.027439,0.022335,0.026881,135,54296,0.02
20170804,0.023745,0.024541,0.022146,0.022361,13,57682,0.02
20170803,0.022443,0.023866,0.022443,0.023751,23,54519,0.02
20170802,0.029422,0.030090,0.022056,0.022403,10,71473,0.03
20170801,0.022068,0.047283,0.021343,0.029428,112,53609,0.03
20170731,0.020774,0.022167,0.020000,0.022058,66,50464,0.02
20170730,0.023100,0.044980,0.018602,0.020752,71,56116,0.03
20170729,0.029510,0.040233,0.022763,0.023104,97,71687,0.03
20170728,0.028553,0.030244,0.028545,0.029623,8,69361,0.03
20170727,0.041280,0.044123,0.028466,0.028466,22,100277,0.04
20170726,0.042244,0.042997,0.039793,0.040892,41,102621,0.04
20170725,0.037924,0.042250,0.033697,0.042225,76,92126,0.04
20170724,0.044008,0.044408,0.037483,0.037928,105,106906,0.04
20170723,0.045259,0.045685,0.027959,0.044060,253,109944,0.04
20170722,0.042650,0.045915,0.042445,0.045259,105,103605,0.04
20170721,0.037268,0.043128,0.034056,0.042658,53,90532,0.04
20170720,0.027198,0.038277,0.027198,0.036994,45,66070,0.03
20170719,0.042715,0.044003,0.026877,0.027280,64,103765,0.04
20170718,0.041901,0.044250,0.040337,0.042647,0,101787,0.04
20170717,0.037208,0.041901,0.025198,0.041793,195,90388,0.03
20170716,0.043157,0.045661,0.024234,0.037250,299,104839,0.03
20170715,0.039935,0.046882,0.035484,0.043287,572,97010,0.04
20170714,0.027249,0.043527,0.027099,0.040003,520,66195,0.04
20170713,0.023147,0.032319,0.022836,0.027269,152,56229,0.03
20170712,0.022670,0.024334,0.021990,0.023130,71,55071,0.02
20170711,0.029301,0.029659,0.021824,0.022783,6,71179,0.03
20170710,0.033545,0.033690,0.022768,0.029364,180,81488,0.03
20170709,0.026780,0.033788,0.026505,0.033480,65,65053,0.03
20170708,0.027168,0.027648,0.026866,0.027648,12,65997,0.03
20170707,0.035444,0.035509,0.025552,0.027145,206,86100,0.03
20170706,0.043910,0.043940,0.026229,0.035418,39,106667,0.04
20170705,0.028336,0.043897,0.024404,0.043888,238,68834,0.03
20170704,0.028923,0.029115,0.025459,0.028351,191,70261,0.03
20170703,0.025019,0.025941,0.024827,0.025707,0,60777,0.03
20170702,0.024070,0.027142,0.023717,0.025112,34,58472,0.03
20170701,0.024003,0.024551,0.023259,0.024073,63,58308,0.02
20170630,0.027727,0.027835,0.017891,0.024012,59,67354,0.02
20170629,0.030350,0.030659,0.027672,0.027672,56,73726,0.03
20170628,0.028975,0.030780,0.023638,0.030378,28,70386,0.03
20170627,0.020341,0.028787,0.020023,0.028787,53,49413,0.02
20170626,0.021254,0.027963,0.019478,0.020341,316,51630,0.02
20170625,0.022447,0.023014,0.020658,0.021265,56,54530,0.02
20170624,0.028007,0.030963,0.022199,0.022499,26,68034,0.03
20170623,0.019609,0.032462,0.019609,0.028010,33,47635,0.03
20170622,0.017736,0.019609,0.017736,0.019609,2,43084,0.02
20170621,0.024331,0.030850,0.017736,0.017736,220,59104,0.02
20170620,0.024331,0.024331,0.024331,0.024331,6,59104,0.02
20170619,0.022532,0.024331,0.017611,0.024331,12,54735,0.02
20170618,0.024805,0.024805,0.018135,0.022532,9,60257,0.02
20170617,0.021258,0.024805,0.021258,0.024805,139,51640,0.02
20170616,0.021024,0.024955,0.020185,0.021258,17,51072,0.02
20170615,0.022903,0.023341,0.018538,0.021040,1,55636,0.02
20170614,0.024290,0.026105,0.021554,0.022904,186,59007,0.02
20170613,0.024882,0.027488,0.024177,0.025036,117,60443,0.03
20170612,0.032719,0.032813,0.023240,0.025575,69,79481,0.03
20170611,0.030127,0.034604,0.026725,0.032762,258,73185,0.03
20170610,0.035354,0.035730,0.025490,0.030144,196,85884,0.03
20170609,0.024287,0.035922,0.023834,0.035301,185,58999,0.03
20170608,0.026907,0.028725,0.022783,0.025392,299,65363,0.03
20170607,0.029125,0.030947,0.023385,0.026772,171,70751,0.03
20170606,0.031960,0.034664,0.027544,0.029118,257,77639,0.03
20170605,0.021997,0.043912,0.020973,0.031595,619,53435,0.03
20170604,0.020450,0.028267,0.019978,0.020986,1730,49678,0.02
20170603,0.020022,0.020715,0.019690,0.020505,1936,48638,0.02
20170602,0.019413,0.020031,0.019103,0.020031,2960,47159,0.02
20170601,0.018113,0.019762,0.017923,0.019357,3319,44001,0.02
20170531,0.017280,0.019260,0.016561,0.017686,4521,41977,0.02
20170530,0.016355,0.018538,0.015831,0.016733,1786,39730,0.02
20170529,0.016391,0.016883,0.015412,0.016222,1457,39818,0.02
20170528,0.014834,0.017601,0.014798,0.016424,1923,36036,0.02
20170527,0.018254,0.018659,0.013799,0.014644,1088,44344,0.02
20170526,0.018312,0.020814,0.016069,0.018194,3790,44483,0.02
20170525,0.017288,0.020762,0.016404,0.018447,2520,41998,0.02
20170524,0.013864,0.019597,0.013864,0.017321,2568,33679,0.02
20170523,0.012519,0.014063,0.012271,0.013848,947,30411,0.01
20170522,0.010646,0.013458,0.010608,0.012516,1339,25862,0.01
20170521,0.010947,0.011343,0.010194,0.010610,1175,26593,0.01
20170520,0.011637,0.012300,0.005249,0.010951,643,28270,0.01
20170519,0.011389,0.014649,0.002535,0.012161,1771,27667,0.01
20170518,0.016454,0.027313,0.009383,0.011383,938,39970,0.02
20170517,0.015892,0.017519,0.014416,0.016408,1212,38605,0.02
20170516,0.015710,0.017326,0.014383,0.014383,1003,38162,0.02
20170515,0.016081,0.017288,0.014328,0.015387,1179,39065,0.02
20170514,0.016476,0.017929,0.012490,0.016072,1082,40023,0.02
20170513,0.016820,0.016820,0.015012,0.016565,720,40859,0.02
20170512,0.017084,0.018102,0.015172,0.015631,470,41501,0.02
20170511,0.016978,0.018188,0.015260,0.017103,801,41243,0.02
20170510,0.017677,0.018027,0.014300,0.016508,572,42940,0.02
20170509,0.017613,0.018872,0.017123,0.017598,591,42785,0.02
20170508,0.017500,0.018634,0.015755,0.017713,782,42511,0.02
20170507,0.014461,0.017500,0.012647,0.017500,403,35130,0.02
20170506,0.014602,0.014825,0.012319,0.013972,643,35471,0.01
20170505,0.012686,0.014925,0.012161,0.014590,402,30817,0.01
20170504,0.013813,0.014476,0.011322,0.013238,1192,33555,0.01
20170503,0.013017,0.013707,0.010448,0.013697,1173,31622,0.01
20170502,0.012738,0.013466,0.012658,0.012988,1728,30942,0.01
20170501,0.012050,0.013322,0.012050,0.012746,2109,29272,0.01
20170430,0.011737,0.012877,0.011274,0.012252,605,28513,0.01
20170429,0.012414,0.012644,0.011406,0.011616,633,30157,0.01
20170428,0.012479,0.012680,0.011339,0.012418,833,30314,0.01
20170427,0.012708,0.013992,0.011223,0.012481,837,30871,0.01
20170426,0.012680,0.013468,0.011916,0.012375,553,30803,0.01
20170425,0.012564,0.012917,0.012411,0.012704,674,30521,0.01
20170424,0.012676,0.013456,0.012200,0.012566,724,30792,0.01
20170423,0.012514,0.013269,0.012147,0.012671,520,30400,0.01
20170422,0.012599,0.013406,0.012479,0.012518,721,30607,0.01
20170421,0.012647,0.013572,0.012345,0.012594,894,30723,0.01
20170420,0.012902,0.014083,0.011982,0.012524,201,31341,0.01
20170419,0.012844,0.013616,0.011998,0.012571,548,31200,0.01
20170418,0.011629,0.013189,0.011611,0.012844,494,28249,0.01
20170417,0.017744,0.056983,0.011481,0.012310,599,43104,0.03
20170416,0.011162,0.017769,0.011162,0.017748,816,27116,0.01
20170415,0.010963,0.011846,0.010927,0.011256,301,26632,0.01
20170414,0.009939,0.011516,0.007740,0.010966,677,24144,0.01
20170413,0.007406,0.009948,0.007203,0.009937,327,17992,0.01
20170412,0.007073,0.008485,0.006905,0.007962,475,17183,0.01
20170411,0.007004,0.007339,0.006693,0.007078,410,17014,0.01
20170410,0.006925,0.007385,0.006585,0.007001,516,16823,0.01
20170409,0.006574,0.007451,0.006538,0.006926,129,15969,0.01
20170408,0.006732,0.007106,0.006011,0.006560,295,16353,0.01
20170407,0.006753,0.006978,0.005959,0.006728,215,16405,0.01
20170406,0.007165,0.007357,0.005747,0.006804,311,17405,0.01
20170405,0.006867,0.008098,0.005635,0.005757,263,16683,0.01
20170404,0.005490,0.010132,0.005490,0.007069,259,13337,0.01
20170403,0.005401,0.005896,0.005401,0.005483,296,13119,0.01
20170402,0.005327,0.005737,0.004867,0.005499,277,12940,0.01
20170401,0.005894,0.005955,0.003958,0.005315,234,14317,0.00
20170331,0.003613,0.003757,0.003613,0.003745,0,8777,0.00
20170330,0.003655,0.005659,0.003597,0.003613,5,8878,0.00
20170328,0.009412,0.009582,0.009314,0.009518,46,22864,0.01
20170327,0.002779,0.009418,0.002779,0.009418,64,6752,0.01
20170326,0.003697,0.003830,0.003626,0.003752,8,8980,0.00
20170325,0.003485,0.003708,0.003353,0.003704,14,8467,0.00
20170324,0.003853,0.003860,0.003585,0.003593,0,9360,0.00
20170323,0.003924,0.003957,0.003846,0.003852,0,9532,0.00
20170322,0.004210,0.004210,0.003813,0.003925,0,10228,0.00
20170321,0.002614,0.002712,0.002614,0.002685,1,6351,0.00
